,funding
2026-04-07 08:00:00+00:00,-0.0001981590100995
2026-04-07 16:00:00+00:00,-0.00016419467683
2026-04-08 00:00:00+00:00,0.0001
2026-04-08 08:00:00+00:00,0.0001
2026-04-08 16:00:00+00:00,0.0001
2026-04-09 00:00:00+00:00,0.0001
2026-04-09 08:00:00+00:00,-4.31265791403e-05
2026-04-09 16:00:00+00:00,0.0001
2026-04-10 00:00:00+00:00,0.0001
2026-04-10 08:00:00+00:00,6.69480214378e-05
2026-04-10 16:00:00+00:00,0.0001
2026-04-11 00:00:00+00:00,0.0001
2026-04-11 08:00:00+00:00,3.49606587694e-05
2026-04-11 16:00:00+00:00,-0.0002474402017995
2026-04-12 00:00:00+00:00,0.0001
2026-04-12 08:00:00+00:00,-0.0003962555450791
2026-04-12 16:00:00+00:00,-0.0001980576362637
2026-04-13 00:00:00+00:00,-5.84940573274e-05
2026-04-13 08:00:00+00:00,-4.67332348625e-05
2026-04-13 16:00:00+00:00,1.27023339427e-05
2026-04-14 00:00:00+00:00,3.08767258484e-05
2026-04-14 08:00:00+00:00,0.0001
2026-04-14 16:00:00+00:00,0.0001
2026-04-15 00:00:00+00:00,-0.0001258010711594
2026-04-15 08:00:00+00:00,-0.0001964916668876
2026-04-15 16:00:00+00:00,6.73145591827e-05
2026-04-16 00:00:00+00:00,0.0001
2026-04-16 08:00:00+00:00,0.0001
2026-04-16 16:00:00+00:00,0.0001
2026-04-17 00:00:00+00:00,0.0001
2026-04-17 08:00:00+00:00,0.0001
2026-04-17 16:00:00+00:00,0.0001
2026-04-18 00:00:00+00:00,0.0001
2026-04-18 08:00:00+00:00,0.0001
2026-04-18 16:00:00+00:00,-2.02489918992e-05
2026-04-19 00:00:00+00:00,-5.03428508164e-05
2026-04-19 08:00:00+00:00,-0.0001320225014131
2026-04-19 16:00:00+00:00,0.0001
2026-04-20 00:00:00+00:00,-7.22329836756e-05
2026-04-20 08:00:00+00:00,-2.40804652784e-05
2026-04-20 16:00:00+00:00,3.82887590023e-05
2026-04-21 00:00:00+00:00,0.0001
2026-04-21 08:00:00+00:00,0.0001
2026-04-21 16:00:00+00:00,0.0001
2026-04-22 00:00:00+00:00,-2.08429342518e-05
2026-04-22 08:00:00+00:00,0.0001
2026-04-22 16:00:00+00:00,0.0001
2026-04-23 00:00:00+00:00,0.0001
2026-04-23 08:00:00+00:00,-0.0002051751409736
2026-04-23 16:00:00+00:00,6.81326333153e-05
2026-04-24 00:00:00+00:00,0.0001
2026-04-24 08:00:00+00:00,0.0001
2026-04-24 16:00:00+00:00,0.0001
2026-04-25 00:00:00+00:00,0.0001
2026-04-25 08:00:00+00:00,0.0001
2026-04-25 16:00:00+00:00,0.0001
2026-04-26 00:00:00+00:00,-9.76339449227e-05
2026-04-26 08:00:00+00:00,0.0001
2026-04-26 16:00:00+00:00,0.0001
2026-04-27 00:00:00+00:00,0.0001
2026-04-27 08:00:00+00:00,-0.0001249340569881
2026-04-27 16:00:00+00:00,-0.0002729684707093
2026-04-28 00:00:00+00:00,-0.0001274927558636
2026-04-28 08:00:00+00:00,0.0001
2026-04-28 16:00:00+00:00,0.0001
2026-04-29 00:00:00+00:00,0.0001
2026-04-29 08:00:00+00:00,0.0001
2026-04-29 16:00:00+00:00,0.0001
2026-04-30 00:00:00+00:00,-0.0001614346116258
2026-04-30 08:00:00+00:00,2.81432210017e-05
2026-04-30 16:00:00+00:00,0.0001
2026-05-01 00:00:00+00:00,-3.58546756652e-05
2026-05-01 08:00:00+00:00,0.0001
2026-05-01 16:00:00+00:00,0.0001
2026-05-02 00:00:00+00:00,0.0001
2026-05-02 08:00:00+00:00,-4.60324239963e-05
2026-05-02 16:00:00+00:00,0.0001
2026-05-03 00:00:00+00:00,0.0001
2026-05-03 08:00:00+00:00,-4.77743794569e-05
2026-05-03 16:00:00+00:00,0.0001
2026-05-04 00:00:00+00:00,0.0001
2026-05-04 08:00:00+00:00,0.0001
2026-05-04 16:00:00+00:00,6.20941705655e-05
2026-05-05 00:00:00+00:00,0.0001
2026-05-05 08:00:00+00:00,0.0001
2026-05-05 16:00:00+00:00,0.0001
2026-05-06 00:00:00+00:00,0.0001
2026-05-06 08:00:00+00:00,0.0001
2026-05-06 16:00:00+00:00,0.0001
2026-05-07 00:00:00+00:00,0.0001
2026-05-07 08:00:00+00:00,0.0001
2026-05-07 16:00:00+00:00,0.0001
2026-05-08 00:00:00+00:00,0.0001
2026-05-08 08:00:00+00:00,0.0001
2026-05-08 16:00:00+00:00,0.0001
2026-05-09 00:00:00+00:00,0.0001
2026-05-09 08:00:00+00:00,0.0001
2026-05-09 16:00:00+00:00,0.0001
2026-05-10 00:00:00+00:00,1.30343913059e-05
