ts,open,high,low,close,volume
2025-01-01 00:00:00+00:00,35.703,36.229,35.647,36.197,57530.9
2025-01-01 01:00:00+00:00,36.192,36.207,35.7,35.741,37826.1
2025-01-01 02:00:00+00:00,35.741,35.892,35.643,35.82,25587.2
2025-01-01 03:00:00+00:00,35.824,35.841,35.584,35.616,19330.3
2025-01-01 04:00:00+00:00,35.615,35.616,35.349,35.37,37731.6
2025-01-01 05:00:00+00:00,35.367,35.614,35.342,35.532,17348.4
2025-01-01 06:00:00+00:00,35.537,35.692,35.424,35.685,15498.4
2025-01-01 07:00:00+00:00,35.686,35.768,35.59,35.622,17840.7
2025-01-01 08:00:00+00:00,35.622,35.702,35.277,35.289,29986.8
2025-01-01 09:00:00+00:00,35.289,35.381,34.941,35.17,123195.9
2025-01-01 10:00:00+00:00,35.176,35.382,35.174,35.234,28252.2
2025-01-01 11:00:00+00:00,35.236,35.718,35.09,35.529,36544.4
2025-01-01 12:00:00+00:00,35.526,35.957,35.501,35.939,27000.1
2025-01-01 13:00:00+00:00,35.935,36.091,35.741,35.981,38114.1
2025-01-01 14:00:00+00:00,35.981,36.212,35.771,36.056,41835.3
2025-01-01 15:00:00+00:00,36.059,36.533,35.922,36.486,35031.4
2025-01-01 16:00:00+00:00,36.486,36.731,36.312,36.44,59959.3
2025-01-01 17:00:00+00:00,36.446,36.52,36.025,36.363,76457.8
2025-01-01 18:00:00+00:00,36.358,36.891,36.157,36.836,52511.8
2025-01-01 19:00:00+00:00,36.834,37.357,36.612,37.096,66912.8
2025-01-01 20:00:00+00:00,37.097,37.757,37.097,37.654,103023.7
2025-01-01 21:00:00+00:00,37.653,37.865,37.412,37.665,58978.6
2025-01-01 22:00:00+00:00,37.664,37.945,37.468,37.884,37837.6
2025-01-01 23:00:00+00:00,37.881,37.997,37.656,37.777,42824.0
2025-01-02 00:00:00+00:00,37.779,38.596,37.779,38.509,121335.8
2025-01-02 01:00:00+00:00,38.51,38.711,38.3,38.545,56380.5
2025-01-02 02:00:00+00:00,38.545,38.676,38.41,38.61,39737.5
2025-01-02 03:00:00+00:00,38.608,38.709,38.403,38.48,31163.6
2025-01-02 04:00:00+00:00,38.481,39.264,38.47,39.112,84094.5
2025-01-02 05:00:00+00:00,39.118,39.146,38.72,38.766,35526.2
2025-01-02 06:00:00+00:00,38.767,38.918,38.573,38.663,78340.9
2025-01-02 07:00:00+00:00,38.663,38.909,38.624,38.861,27723.0
2025-01-02 08:00:00+00:00,38.862,39.406,38.857,39.258,101062.1
2025-01-02 09:00:00+00:00,39.249,40.15,39.216,40.083,100227.7
2025-01-02 10:00:00+00:00,40.083,40.517,39.834,40.464,108176.1
2025-01-02 11:00:00+00:00,40.465,40.563,40.061,40.419,76745.8
2025-01-02 12:00:00+00:00,40.42,40.614,39.878,39.962,65188.7
2025-01-02 13:00:00+00:00,39.962,40.146,39.751,39.892,92956.0
2025-01-02 14:00:00+00:00,39.892,40.327,39.487,39.945,164757.0
2025-01-02 15:00:00+00:00,39.938,40.059,39.292,39.411,72451.7
2025-01-02 16:00:00+00:00,39.412,39.877,39.203,39.678,60012.3
2025-01-02 17:00:00+00:00,39.678,39.856,39.063,39.267,86689.6
2025-01-02 18:00:00+00:00,39.262,39.367,39.072,39.311,29935.1
2025-01-02 19:00:00+00:00,39.31,39.353,38.964,39.002,37260.5
2025-01-02 20:00:00+00:00,39.002,39.351,38.939,39.058,34422.1
2025-01-02 21:00:00+00:00,39.064,39.248,38.985,39.215,19600.5
2025-01-02 22:00:00+00:00,39.214,39.228,38.801,39.123,61300.4
2025-01-02 23:00:00+00:00,39.115,39.381,39.037,39.278,24240.2
2025-01-03 00:00:00+00:00,39.279,39.413,39.095,39.112,41513.2
2025-01-03 01:00:00+00:00,39.113,39.47,38.905,39.406,89037.7
2025-01-03 02:00:00+00:00,39.409,39.968,39.307,39.671,84816.8
