,funding
2026-04-07 08:00:00+00:00,-0.0004217102077826
2026-04-07 16:00:00+00:00,-0.0001614388259233
2026-04-08 00:00:00+00:00,0.0001
2026-04-08 08:00:00+00:00,0.0001
2026-04-08 16:00:00+00:00,0.0001
2026-04-09 00:00:00+00:00,8.64200265392e-05
2026-04-09 08:00:00+00:00,0.0001
2026-04-09 16:00:00+00:00,2.2619282715e-05
2026-04-10 00:00:00+00:00,0.0001
2026-04-10 08:00:00+00:00,0.0001
2026-04-10 16:00:00+00:00,0.0001
2026-04-11 00:00:00+00:00,9.47319990276e-05
2026-04-11 08:00:00+00:00,5.8839021553e-06
2026-04-11 16:00:00+00:00,2.15578939503e-05
2026-04-12 00:00:00+00:00,0.0001
2026-04-12 08:00:00+00:00,-0.0001202387138696
2026-04-12 16:00:00+00:00,-3.6809569377e-05
2026-04-13 00:00:00+00:00,-6.37207671412e-05
2026-04-13 08:00:00+00:00,4.83741020522e-05
2026-04-13 16:00:00+00:00,0.0001
2026-04-14 00:00:00+00:00,0.0001
2026-04-14 08:00:00+00:00,0.0001
2026-04-14 16:00:00+00:00,1.3906536706e-05
2026-04-15 00:00:00+00:00,-0.0001083421278998
2026-04-15 08:00:00+00:00,8.99261742301e-05
2026-04-15 16:00:00+00:00,0.0001
2026-04-16 00:00:00+00:00,0.0001
2026-04-16 08:00:00+00:00,0.0001
2026-04-16 16:00:00+00:00,5.59243354835e-05
2026-04-17 00:00:00+00:00,0.0001
2026-04-17 08:00:00+00:00,-3.83404495943e-05
2026-04-17 16:00:00+00:00,0.0001
2026-04-18 00:00:00+00:00,3.50086927786e-05
2026-04-18 08:00:00+00:00,3.46555579982e-05
2026-04-18 16:00:00+00:00,-0.0002369560068222
2026-04-19 00:00:00+00:00,-0.0001327708093277
2026-04-19 08:00:00+00:00,-0.0001536390684137
2026-04-19 16:00:00+00:00,2.46070714573e-05
2026-04-20 00:00:00+00:00,-0.000110039437485
2026-04-20 08:00:00+00:00,7.60110927582e-05
2026-04-20 16:00:00+00:00,2.34654354766e-05
2026-04-21 00:00:00+00:00,0.0001
2026-04-21 08:00:00+00:00,5.75003976567e-05
2026-04-21 16:00:00+00:00,0.0001
2026-04-22 00:00:00+00:00,7.9719574078e-06
2026-04-22 08:00:00+00:00,0.0001
2026-04-22 16:00:00+00:00,0.0001
2026-04-23 00:00:00+00:00,-1.80616865228e-05
2026-04-23 08:00:00+00:00,-0.0001177953192413
2026-04-23 16:00:00+00:00,1.0914982302e-05
2026-04-24 00:00:00+00:00,7.676226733e-07
2026-04-24 08:00:00+00:00,0.0001
2026-04-24 16:00:00+00:00,0.0001
2026-04-25 00:00:00+00:00,0.0001
2026-04-25 08:00:00+00:00,8.97826834289e-05
2026-04-25 16:00:00+00:00,-5.81818727306e-05
2026-04-26 00:00:00+00:00,-9.78003431055e-05
2026-04-26 08:00:00+00:00,0.0001
2026-04-26 16:00:00+00:00,0.0001
2026-04-27 00:00:00+00:00,2.231874294e-07
2026-04-27 08:00:00+00:00,-0.0002120325922941
2026-04-27 16:00:00+00:00,-0.0001764675174715
2026-04-28 00:00:00+00:00,-3.19137934712e-05
2026-04-28 08:00:00+00:00,1.48598642551e-05
2026-04-28 16:00:00+00:00,-6.31684995683e-05
2026-04-29 00:00:00+00:00,5.33607726644e-05
2026-04-29 08:00:00+00:00,0.0001
2026-04-29 16:00:00+00:00,-3.3587921213e-06
2026-04-30 00:00:00+00:00,-5.18306236184e-05
2026-04-30 08:00:00+00:00,4.16950205846e-05
2026-04-30 16:00:00+00:00,4.46745570379e-05
2026-05-01 00:00:00+00:00,5.32372894396e-05
2026-05-01 08:00:00+00:00,-3.48106267929e-05
2026-05-01 16:00:00+00:00,0.0001
2026-05-02 00:00:00+00:00,-0.0001078631509658
2026-05-02 08:00:00+00:00,-7.49253442383e-05
2026-05-02 16:00:00+00:00,6.4872962307e-05
2026-05-03 00:00:00+00:00,0.0001
2026-05-03 08:00:00+00:00,-0.0001934421664991
2026-05-03 16:00:00+00:00,9.92926055246e-05
2026-05-04 00:00:00+00:00,0.0001
2026-05-04 08:00:00+00:00,0.0001
2026-05-04 16:00:00+00:00,0.0001
2026-05-05 00:00:00+00:00,0.0001
2026-05-05 08:00:00+00:00,0.0001
2026-05-05 16:00:00+00:00,0.0001
2026-05-06 00:00:00+00:00,0.0001
2026-05-06 08:00:00+00:00,0.0001
2026-05-06 16:00:00+00:00,0.0001
2026-05-07 00:00:00+00:00,0.0001
2026-05-07 08:00:00+00:00,0.0001
2026-05-07 16:00:00+00:00,2.00397484542e-05
2026-05-08 00:00:00+00:00,0.0001
2026-05-08 08:00:00+00:00,0.0001
2026-05-08 16:00:00+00:00,0.0001
2026-05-09 00:00:00+00:00,0.0001
2026-05-09 08:00:00+00:00,0.0001
2026-05-09 16:00:00+00:00,2.02900218919e-05
2026-05-10 00:00:00+00:00,6.60479917558e-05
2026-05-10 08:00:00+00:00,0.0001
2026-05-10 16:00:00+00:00,0.0001
2026-05-11 00:00:00+00:00,0.0001
2026-05-11 08:00:00+00:00,6.3593735573e-06
2026-05-11 16:00:00+00:00,0.0001
2026-05-12 00:00:00+00:00,-7.1396787724e-06
2026-05-12 08:00:00+00:00,5.23306253102e-05
2026-05-12 16:00:00+00:00,-0.0001361858957639
2026-05-13 00:00:00+00:00,-1.0199007194e-06
2026-05-13 08:00:00+00:00,0.0001
2026-05-13 16:00:00+00:00,-0.0001299706801123
2026-05-14 00:00:00+00:00,-1.73485063007e-05
2026-05-14 08:00:00+00:00,-1.9998129327e-06
2026-05-14 16:00:00+00:00,0.0001
2026-05-15 00:00:00+00:00,0.0001
2026-05-15 08:00:00+00:00,-7.0780878413e-06
2026-05-15 16:00:00+00:00,-0.0001289266096522
2026-05-16 00:00:00+00:00,9.75585155874e-05
2026-05-16 08:00:00+00:00,-0.0001288471040756
2026-05-16 16:00:00+00:00,0.0001
2026-05-17 00:00:00+00:00,7.56839544399e-05
2026-05-17 08:00:00+00:00,-3.0151120858e-05
2026-05-17 16:00:00+00:00,-0.0001599850409346
