,funding
2026-04-07 08:00:00+00:00,6.5546637645e-05
2026-04-07 16:00:00+00:00,-0.0001563257280467
2026-04-08 00:00:00+00:00,4.32068428692e-05
2026-04-08 08:00:00+00:00,-4.19966448016e-05
2026-04-08 16:00:00+00:00,-8.90542115565e-05
2026-04-09 00:00:00+00:00,0.0001
2026-04-09 08:00:00+00:00,5.19715011652e-05
2026-04-09 16:00:00+00:00,-5.85733852419e-05
2026-04-10 00:00:00+00:00,-2.81094812898e-05
2026-04-10 08:00:00+00:00,0.0001
2026-04-10 16:00:00+00:00,-1.05147477112e-05
2026-04-11 00:00:00+00:00,-1.52382742359e-05
2026-04-11 08:00:00+00:00,4.14640241364e-05
2026-04-11 16:00:00+00:00,3.32842333725e-05
2026-04-12 00:00:00+00:00,-2.35063034119e-05
2026-04-12 08:00:00+00:00,-8.45605451313e-05
2026-04-12 16:00:00+00:00,3.65615004332e-05
2026-04-13 00:00:00+00:00,-5.64362514568e-05
2026-04-13 08:00:00+00:00,-3.88070751405e-05
2026-04-13 16:00:00+00:00,-8.29067126546e-05
2026-04-14 00:00:00+00:00,3.88778788884e-05
2026-04-14 08:00:00+00:00,1.04806921447e-05
2026-04-14 16:00:00+00:00,5.00876133543e-05
2026-04-15 00:00:00+00:00,1.12112213412e-05
2026-04-15 08:00:00+00:00,-4.47007034578e-05
2026-04-15 16:00:00+00:00,-0.0001080859056095
2026-04-16 00:00:00+00:00,9.8440169093e-06
2026-04-16 08:00:00+00:00,-1.40117473833e-05
2026-04-16 16:00:00+00:00,1.73928615429e-05
2026-04-17 00:00:00+00:00,1.46527416531e-05
2026-04-17 08:00:00+00:00,4.78974468337e-05
2026-04-17 16:00:00+00:00,-1.47434390531e-05
2026-04-18 00:00:00+00:00,4.04416781099e-05
2026-04-18 08:00:00+00:00,3.41038384438e-05
2026-04-18 16:00:00+00:00,4.80478681414e-05
2026-04-19 00:00:00+00:00,-7.05872330007e-05
2026-04-19 08:00:00+00:00,-8.64289618053e-05
2026-04-19 16:00:00+00:00,3.71620744913e-05
2026-04-20 00:00:00+00:00,5.37760228688e-05
2026-04-20 08:00:00+00:00,-9.4528425429e-06
2026-04-20 16:00:00+00:00,-3.96600568791e-05
2026-04-21 00:00:00+00:00,-6.33425161535e-05
2026-04-21 08:00:00+00:00,3.00926439264e-05
2026-04-21 16:00:00+00:00,1.24680540357e-05
2026-04-22 00:00:00+00:00,-0.0001277884015478
2026-04-22 08:00:00+00:00,-0.0002029246766608
2026-04-22 16:00:00+00:00,8.82453678362e-05
2026-04-23 00:00:00+00:00,-1.54969103187e-05
2026-04-23 08:00:00+00:00,2.77784013146e-05
2026-04-23 16:00:00+00:00,-3.4025568947e-06
2026-04-24 00:00:00+00:00,-6.15010501992e-05
2026-04-24 08:00:00+00:00,-3.97935956281e-05
2026-04-24 16:00:00+00:00,-4.70698830243e-05
2026-04-25 00:00:00+00:00,9.12475709604e-05
2026-04-25 08:00:00+00:00,5.85695069931e-05
2026-04-25 16:00:00+00:00,8.9492523763e-05
2026-04-26 00:00:00+00:00,4.68980691428e-05
2026-04-26 08:00:00+00:00,0.0001
2026-04-26 16:00:00+00:00,3.69325784062e-05
2026-04-27 00:00:00+00:00,8.7491728322e-06
2026-04-27 08:00:00+00:00,-0.0001121087440207
2026-04-27 16:00:00+00:00,-9.1957987316e-06
2026-04-28 00:00:00+00:00,-1.96970738192e-05
2026-04-28 08:00:00+00:00,0.0001
2026-04-28 16:00:00+00:00,6.69519224134e-05
2026-04-29 00:00:00+00:00,-2.13939420807e-05
2026-04-29 08:00:00+00:00,5.34732083416e-05
2026-04-29 16:00:00+00:00,6.24024680749e-05
2026-04-30 00:00:00+00:00,1.91835502252e-05
2026-04-30 08:00:00+00:00,0.0001
2026-04-30 16:00:00+00:00,7.92559361926e-05
2026-05-01 00:00:00+00:00,0.0001
2026-05-01 08:00:00+00:00,1.59037351303e-05
2026-05-01 16:00:00+00:00,1.24245562129e-05
2026-05-02 00:00:00+00:00,-3.84008848405e-05
2026-05-02 08:00:00+00:00,9.53737586949e-05
2026-05-02 16:00:00+00:00,2.36010875642e-05
2026-05-03 00:00:00+00:00,-3.65762313804e-05
2026-05-03 08:00:00+00:00,8.3060204321e-06
2026-05-03 16:00:00+00:00,0.0001
2026-05-04 00:00:00+00:00,1.37976214612e-05
2026-05-04 08:00:00+00:00,8.0726123819e-06
2026-05-04 16:00:00+00:00,1.72281483305e-05
2026-05-05 00:00:00+00:00,2.28645555497e-05
2026-05-05 08:00:00+00:00,4.17767567618e-05
2026-05-05 16:00:00+00:00,8.06953051313e-05
2026-05-06 00:00:00+00:00,5.88502462134e-05
2026-05-06 08:00:00+00:00,-2.5304152827e-06
2026-05-06 16:00:00+00:00,-2.15103800769e-05
2026-05-07 00:00:00+00:00,0.0001
2026-05-07 08:00:00+00:00,0.0001
2026-05-07 16:00:00+00:00,-2.02699415265e-05
2026-05-08 00:00:00+00:00,4.02767619463e-05
2026-05-08 08:00:00+00:00,-3.48502343154e-05
2026-05-08 16:00:00+00:00,-3.6845581563e-05
2026-05-09 00:00:00+00:00,4.7501770732e-05
2026-05-09 08:00:00+00:00,1.7885377777e-05
2026-05-09 16:00:00+00:00,-8.28121287979e-05
2026-05-10 00:00:00+00:00,2.45234801677e-05
2026-05-10 08:00:00+00:00,2.08998911229e-05
2026-05-10 16:00:00+00:00,4.9064134841e-06
2026-05-11 00:00:00+00:00,9.09163622826e-05
2026-05-11 08:00:00+00:00,2.4269274702e-05
2026-05-11 16:00:00+00:00,-0.0001283244832669
2026-05-12 00:00:00+00:00,-5.20578419138e-05
2026-05-12 08:00:00+00:00,-2.31159433375e-05
2026-05-12 16:00:00+00:00,-7.4747707559e-06
2026-05-13 00:00:00+00:00,-2.31077130651e-05
2026-05-13 08:00:00+00:00,-0.000128838558207
2026-05-13 16:00:00+00:00,-2.2279468822e-06
2026-05-14 00:00:00+00:00,-3.7412654217e-06
2026-05-14 08:00:00+00:00,-3.26813434939e-05
2026-05-14 16:00:00+00:00,3.66259302896e-05
2026-05-15 00:00:00+00:00,-5.49348693646e-05
2026-05-15 08:00:00+00:00,4.4129682106e-06
2026-05-15 16:00:00+00:00,-2.2395214019e-05
2026-05-16 00:00:00+00:00,6.9992765822e-05
2026-05-16 08:00:00+00:00,-5.62756159299e-05
2026-05-16 16:00:00+00:00,-3.67826347744e-05
2026-05-17 00:00:00+00:00,-2.38646267698e-05
2026-05-17 08:00:00+00:00,-2.969046563e-05
2026-05-17 16:00:00+00:00,-0.0001001685205229
2026-05-18 00:00:00+00:00,-2.87883179614e-05
2026-05-18 08:00:00+00:00,-0.0002837116864934
2026-05-18 16:00:00+00:00,-0.0003494734797608
2026-05-19 00:00:00+00:00,-0.0003430397140954
2026-05-19 08:00:00+00:00,-0.0002502628503718
2026-05-19 16:00:00+00:00,-7.28809842275e-05
2026-05-20 00:00:00+00:00,-0.000156908546982
2026-05-20 08:00:00+00:00,-0.0001192792972798
2026-05-20 16:00:00+00:00,-0.0001883821165951
2026-05-21 00:00:00+00:00,-3.44403284285e-05
2026-05-21 08:00:00+00:00,-2.93736909687e-05
2026-05-21 16:00:00+00:00,-2.79835618617e-05
2026-05-22 00:00:00+00:00,3.00109973887e-05
2026-05-22 08:00:00+00:00,-7.59608132389e-05
2026-05-22 16:00:00+00:00,-7.70707444021e-05
2026-05-23 00:00:00+00:00,-0.000136948421747
2026-05-23 08:00:00+00:00,5.5484608175e-06
2026-05-23 16:00:00+00:00,-0.0003000990993536
2026-05-24 00:00:00+00:00,-0.0003731622778885
2026-05-24 08:00:00+00:00,-0.0004983028958679
2026-05-24 16:00:00+00:00,-0.0004337043316134
2026-05-25 00:00:00+00:00,-0.0003823492659457
2026-05-25 08:00:00+00:00,-0.000374587891005
2026-05-25 16:00:00+00:00,-0.0003517050609417
2026-05-26 00:00:00+00:00,-0.0004064195909171
2026-05-26 08:00:00+00:00,-0.0002346736849152
2026-05-26 16:00:00+00:00,-0.0002043293982115
2026-05-27 00:00:00+00:00,-0.0002524237435722
2026-05-27 08:00:00+00:00,-0.0001285573767804
2026-05-27 16:00:00+00:00,-1.3720458238e-05
2026-05-28 00:00:00+00:00,-0.0001179821127957
2026-05-28 08:00:00+00:00,-0.0002707731141834
2026-05-28 16:00:00+00:00,7.2062507297e-06
2026-05-29 00:00:00+00:00,-0.0003845864775863
2026-05-29 08:00:00+00:00,-0.0005590690950581
2026-05-29 16:00:00+00:00,8.16586501196e-05
2026-05-30 00:00:00+00:00,-7.41942678513e-05
2026-05-30 08:00:00+00:00,-0.0002477160034243
2026-05-30 16:00:00+00:00,-0.0001699202098007
2026-05-31 00:00:00+00:00,-0.0002229866986623
2026-05-31 08:00:00+00:00,-0.000243807339311
2026-05-31 16:00:00+00:00,-0.0001403698562062
2026-06-01 00:00:00+00:00,-8.84058867988e-05
2026-06-01 08:00:00+00:00,-0.0002125522563702
2026-06-01 16:00:00+00:00,-0.0005095645945182
2026-06-02 00:00:00+00:00,-0.000380316553945
2026-06-02 08:00:00+00:00,-0.0002344868164658
2026-06-02 16:00:00+00:00,-0.0001924228361286
2026-06-03 00:00:00+00:00,-0.0001825672477391
2026-06-03 08:00:00+00:00,5.37312836885e-05
2026-06-03 16:00:00+00:00,7.64106377867e-05
2026-06-04 00:00:00+00:00,2.59599362341e-05
2026-06-04 08:00:00+00:00,0.0001
2026-06-04 16:00:00+00:00,-3.11282303731e-05
2026-06-05 00:00:00+00:00,-4.74175529967e-05
2026-06-05 08:00:00+00:00,5.73980810576e-05
2026-06-05 16:00:00+00:00,3.60594295877e-05
2026-06-06 00:00:00+00:00,-4.97208655636e-05
2026-06-06 08:00:00+00:00,-9.37486978451e-05
2026-06-06 16:00:00+00:00,-3.8105991909e-06
2026-06-07 00:00:00+00:00,4.40300084762e-05
2026-06-07 08:00:00+00:00,-0.000117867908611
2026-06-07 16:00:00+00:00,-6.60132933181e-05
2026-06-08 00:00:00+00:00,4.91793899306e-05
2026-06-08 08:00:00+00:00,-7.2187463907e-06
2026-06-08 16:00:00+00:00,0.0001
2026-06-09 00:00:00+00:00,1.99993288424e-05
2026-06-09 08:00:00+00:00,0.0001
2026-06-09 16:00:00+00:00,1.16216275879e-05
2026-06-10 00:00:00+00:00,0.0001
2026-06-10 08:00:00+00:00,-2.36528831057e-05
2026-06-10 16:00:00+00:00,2.0927870707e-05
2026-06-11 00:00:00+00:00,-1.31601348139e-05
2026-06-11 08:00:00+00:00,6.77747708657e-05
2026-06-11 16:00:00+00:00,-1.22883374332e-05
2026-06-12 00:00:00+00:00,-4.5525870624e-05
2026-06-12 08:00:00+00:00,1.82904100338e-05
2026-06-12 16:00:00+00:00,-4.03710968112e-05
2026-06-13 00:00:00+00:00,-7.44724958e-07
2026-06-13 08:00:00+00:00,5.09731707369e-05
