,funding
2026-04-07 08:00:00+00:00,6.5545513612e-05
2026-04-07 16:00:00+00:00,3.04524560141e-05
2026-04-08 00:00:00+00:00,0.0001
2026-04-08 08:00:00+00:00,0.0001
2026-04-08 16:00:00+00:00,-3.0199277383e-06
2026-04-09 00:00:00+00:00,0.0001
2026-04-09 08:00:00+00:00,-5.38303885255e-05
2026-04-09 16:00:00+00:00,0.0001
2026-04-10 00:00:00+00:00,0.0001
2026-04-10 08:00:00+00:00,0.0001
2026-04-10 16:00:00+00:00,1.85979082087e-05
2026-04-11 00:00:00+00:00,9.78370176838e-05
2026-04-11 08:00:00+00:00,2.71172195119e-05
2026-04-11 16:00:00+00:00,3.91381975411e-05
2026-04-12 00:00:00+00:00,0.0001
2026-04-12 08:00:00+00:00,4.73111997072e-05
2026-04-12 16:00:00+00:00,-1.2678714392e-05
2026-04-13 00:00:00+00:00,3.3117964025e-05
2026-04-13 08:00:00+00:00,2.22155691028e-05
2026-04-13 16:00:00+00:00,0.0001
2026-04-14 00:00:00+00:00,0.0001
2026-04-14 08:00:00+00:00,0.0001
2026-04-14 16:00:00+00:00,0.0001
2026-04-15 00:00:00+00:00,-3.76870016524e-05
2026-04-15 08:00:00+00:00,6.04610739699e-05
2026-04-15 16:00:00+00:00,-4.06759179241e-05
2026-04-16 00:00:00+00:00,0.0001
2026-04-16 08:00:00+00:00,6.70822611334e-05
2026-04-16 16:00:00+00:00,3.74555856779e-05
2026-04-17 00:00:00+00:00,7.29296704712e-05
2026-04-17 08:00:00+00:00,9.34604015374e-05
2026-04-17 16:00:00+00:00,3.39279698378e-05
2026-04-18 00:00:00+00:00,0.0001
2026-04-18 08:00:00+00:00,0.0001
2026-04-18 16:00:00+00:00,6.69101536292e-05
2026-04-19 00:00:00+00:00,-2.51356297165e-05
2026-04-19 08:00:00+00:00,-1.96859961181e-05
2026-04-19 16:00:00+00:00,6.43968191191e-05
2026-04-20 00:00:00+00:00,-2.6517388674e-06
2026-04-20 08:00:00+00:00,3.44780809853e-05
2026-04-20 16:00:00+00:00,1.78692911003e-05
2026-04-21 00:00:00+00:00,0.0001
2026-04-21 08:00:00+00:00,0.0001
