,funding
2026-04-07 16:00:00+00:00,-7.27904981757e-05
2026-04-08 00:00:00+00:00,4.78065171995e-05
2026-04-08 08:00:00+00:00,0.0001
2026-04-08 16:00:00+00:00,7.90951663743e-05
2026-04-09 00:00:00+00:00,-9.51206680306e-05
2026-04-09 08:00:00+00:00,-0.0001130799685557
2026-04-09 16:00:00+00:00,-0.0001181321272469
2026-04-10 00:00:00+00:00,-0.000127283391994
2026-04-10 08:00:00+00:00,-5.2537709527e-05
2026-04-10 16:00:00+00:00,-2.35124131045e-05
2026-04-11 00:00:00+00:00,6.75211767207e-05
2026-04-11 08:00:00+00:00,-0.0001342134712403
2026-04-11 16:00:00+00:00,-0.0002663726859941
2026-04-12 00:00:00+00:00,-8.25057346263e-05
2026-04-12 08:00:00+00:00,-0.0004320622785083
2026-04-12 16:00:00+00:00,-0.0013061856711399
2026-04-13 00:00:00+00:00,-0.0006160413481357
2026-04-13 08:00:00+00:00,-0.0014410824133216
2026-04-13 16:00:00+00:00,-0.0014277394047848
2026-04-14 00:00:00+00:00,-0.0018586270587986
2026-04-14 08:00:00+00:00,-0.0005636994196711
2026-04-14 16:00:00+00:00,-0.0010523293695296
2026-04-15 00:00:00+00:00,-0.0027277031220839
2026-04-15 08:00:00+00:00,-0.0006816946451092
2026-04-15 16:00:00+00:00,-0.0009021509085717
2026-04-16 00:00:00+00:00,-0.0003055533112543
2026-04-16 08:00:00+00:00,3.87203389522e-05
2026-04-16 16:00:00+00:00,0.0001
2026-04-17 00:00:00+00:00,0.0001
2026-04-17 08:00:00+00:00,0.0001
2026-04-17 16:00:00+00:00,6.20952017801e-05
2026-04-18 00:00:00+00:00,0.0001
2026-04-18 08:00:00+00:00,-2.71456907671e-05
2026-04-18 16:00:00+00:00,-2.14915616357e-05
2026-04-19 00:00:00+00:00,-1.0226552217e-05
2026-04-19 08:00:00+00:00,3.54813318586e-05
2026-04-19 16:00:00+00:00,5.30126787857e-05
2026-04-20 00:00:00+00:00,0.0001
2026-04-20 08:00:00+00:00,-0.000238621150305
2026-04-20 16:00:00+00:00,6.22136431395e-05
2026-04-21 00:00:00+00:00,0.0001
2026-04-21 08:00:00+00:00,2.10305859011e-05
2026-04-21 16:00:00+00:00,0.0001
2026-04-22 00:00:00+00:00,0.0001
2026-04-22 08:00:00+00:00,0.0001
2026-04-22 16:00:00+00:00,0.0001
2026-04-23 00:00:00+00:00,-6.52870297186e-05
2026-04-23 08:00:00+00:00,-0.0002039757871316
2026-04-23 16:00:00+00:00,-5.97109383834e-05
2026-04-24 00:00:00+00:00,-0.0002974462003131
2026-04-24 08:00:00+00:00,-0.000167997036393
2026-04-24 16:00:00+00:00,-0.0001241333713679
2026-04-25 00:00:00+00:00,0.0001
2026-04-25 08:00:00+00:00,2.33927781196e-05
2026-04-25 16:00:00+00:00,-2.04741096627e-05
2026-04-26 00:00:00+00:00,8.05854370263e-05
2026-04-26 08:00:00+00:00,2.40430196037e-05
2026-04-26 16:00:00+00:00,4.21567791076e-05
2026-04-27 00:00:00+00:00,0.0001
2026-04-27 08:00:00+00:00,-0.000194217560167
2026-04-27 16:00:00+00:00,-0.0002937722674467
2026-04-28 00:00:00+00:00,-6.22432642618e-05
2026-04-28 08:00:00+00:00,0.0001
2026-04-28 16:00:00+00:00,-1.21233646299e-05
2026-04-29 00:00:00+00:00,1.8551480563e-05
2026-04-29 08:00:00+00:00,0.0001
2026-04-29 16:00:00+00:00,-0.0001191395555522
2026-04-30 00:00:00+00:00,-0.0002175492012296
2026-04-30 08:00:00+00:00,9.4843902621e-05
2026-04-30 16:00:00+00:00,-0.0001910811198874
2026-05-01 00:00:00+00:00,0.0001
2026-05-01 08:00:00+00:00,9.7435130578e-05
2026-05-01 16:00:00+00:00,0.0001
2026-05-02 00:00:00+00:00,0.0001
2026-05-02 08:00:00+00:00,-7.51428464126e-05
2026-05-02 16:00:00+00:00,0.0001
2026-05-03 00:00:00+00:00,0.0001
2026-05-03 08:00:00+00:00,-4.53328649872e-05
2026-05-03 16:00:00+00:00,0.0001
2026-05-04 00:00:00+00:00,0.0001
2026-05-04 08:00:00+00:00,0.0001
2026-05-04 16:00:00+00:00,0.0001
2026-05-05 00:00:00+00:00,0.0001
2026-05-05 08:00:00+00:00,0.0001
2026-05-05 16:00:00+00:00,0.0001
2026-05-06 00:00:00+00:00,0.0001
2026-05-06 08:00:00+00:00,0.0001
2026-05-06 16:00:00+00:00,0.0001
2026-05-07 00:00:00+00:00,0.0001
2026-05-07 08:00:00+00:00,6.42501437583e-05
2026-05-07 16:00:00+00:00,0.0001
2026-05-08 00:00:00+00:00,0.0001
2026-05-08 08:00:00+00:00,0.0001
2026-05-08 16:00:00+00:00,0.0001
2026-05-09 00:00:00+00:00,0.0001
2026-05-09 08:00:00+00:00,0.0001
2026-05-09 16:00:00+00:00,0.0001
2026-05-10 00:00:00+00:00,0.0001
