,funding
2026-04-07 08:00:00+00:00,6.78187027317e-05
2026-04-07 16:00:00+00:00,2.55200076551e-05
2026-04-08 00:00:00+00:00,0.0001
2026-04-08 08:00:00+00:00,0.0001
2026-04-08 16:00:00+00:00,4.94982600225e-05
2026-04-09 00:00:00+00:00,6.341715238e-07
2026-04-09 08:00:00+00:00,-0.0001200575744816
2026-04-09 16:00:00+00:00,1.50091480763e-05
2026-04-10 00:00:00+00:00,0.0001
2026-04-10 08:00:00+00:00,4.71837133497e-05
2026-04-10 16:00:00+00:00,6.8279574157e-05
2026-04-11 00:00:00+00:00,0.0001
2026-04-11 08:00:00+00:00,-2.14249719444e-05
2026-04-11 16:00:00+00:00,-7.76186465514e-05
2026-04-12 00:00:00+00:00,0.0001
2026-04-12 08:00:00+00:00,-0.0002139001281316
2026-04-12 16:00:00+00:00,-6.3317482753e-06
2026-04-13 00:00:00+00:00,-5.55850391013e-05
2026-04-13 08:00:00+00:00,0.0001
2026-04-13 16:00:00+00:00,4.05414588791e-05
2026-04-14 00:00:00+00:00,0.0001
2026-04-14 08:00:00+00:00,8.60361771912e-05
2026-04-14 16:00:00+00:00,1.81776087289e-05
2026-04-15 00:00:00+00:00,-8.90545976664e-05
2026-04-15 08:00:00+00:00,4.24449357134e-05
2026-04-15 16:00:00+00:00,0.0001
2026-04-16 00:00:00+00:00,0.0001
2026-04-16 08:00:00+00:00,0.0001
2026-04-16 16:00:00+00:00,0.0001
2026-04-17 00:00:00+00:00,0.0001
2026-04-17 08:00:00+00:00,8.60233694059e-05
2026-04-17 16:00:00+00:00,7.64294560574e-05
2026-04-18 00:00:00+00:00,8.97940125962e-05
2026-04-18 08:00:00+00:00,2.25093004126e-05
2026-04-18 16:00:00+00:00,-1.23601577437e-05
2026-04-19 00:00:00+00:00,-3.48519097268e-05
2026-04-19 08:00:00+00:00,-8.63352284345e-05
2026-04-19 16:00:00+00:00,-0.0001047441289267
2026-04-20 00:00:00+00:00,6.9743340718e-06
2026-04-20 08:00:00+00:00,3.73781089415e-05
2026-04-20 16:00:00+00:00,4.48434088231e-05
2026-04-21 00:00:00+00:00,3.69079468761e-05
2026-04-21 08:00:00+00:00,6.46783239128e-05
2026-04-21 16:00:00+00:00,5.07589106131e-05
2026-04-22 00:00:00+00:00,1.45173299998e-05
2026-04-22 08:00:00+00:00,0.0001
2026-04-22 16:00:00+00:00,8.21338897357e-05
2026-04-23 00:00:00+00:00,-8.44990163695e-05
2026-04-23 08:00:00+00:00,-0.0001910178704838
2026-04-23 16:00:00+00:00,2.9808046821e-06
2026-04-24 00:00:00+00:00,-1.00484388419e-05
2026-04-24 08:00:00+00:00,7.88024908329e-05
2026-04-24 16:00:00+00:00,6.6649278506e-06
2026-04-25 00:00:00+00:00,0.0001
2026-04-25 08:00:00+00:00,0.0001
2026-04-25 16:00:00+00:00,2.3998743736e-06
2026-04-26 00:00:00+00:00,-7.0544562202e-05
2026-04-26 08:00:00+00:00,6.21521934016e-05
2026-04-26 16:00:00+00:00,0.0001
2026-04-27 00:00:00+00:00,3.2825257793e-06
2026-04-27 08:00:00+00:00,-4.59680895466e-05
2026-04-27 16:00:00+00:00,-2.15050491964e-05
2026-04-28 00:00:00+00:00,1.67335562337e-05
2026-04-28 08:00:00+00:00,3.53568189602e-05
2026-04-28 16:00:00+00:00,2.84130844836e-05
2026-04-29 00:00:00+00:00,6.37165032593e-05
2026-04-29 08:00:00+00:00,8.84548167988e-05
2026-04-29 16:00:00+00:00,-0.0001151319707631
2026-04-30 00:00:00+00:00,-0.000119252537261
2026-04-30 08:00:00+00:00,3.42804874937e-05
2026-04-30 16:00:00+00:00,-9.08533168556e-05
2026-05-01 00:00:00+00:00,-0.0001493369050171
2026-05-01 08:00:00+00:00,0.0001
2026-05-01 16:00:00+00:00,0.0001
2026-05-02 00:00:00+00:00,-1.39683201012e-05
2026-05-02 08:00:00+00:00,-7.91521018678e-05
2026-05-02 16:00:00+00:00,5.68856719212e-05
2026-05-03 00:00:00+00:00,0.0001
2026-05-03 08:00:00+00:00,-5.43291701048e-05
2026-05-03 16:00:00+00:00,0.0001
2026-05-04 00:00:00+00:00,5.33600217948e-05
2026-05-04 08:00:00+00:00,0.0001
2026-05-04 16:00:00+00:00,4.54479844349e-05
2026-05-05 00:00:00+00:00,0.0001
2026-05-05 08:00:00+00:00,0.0001
2026-05-05 16:00:00+00:00,0.0001
2026-05-06 00:00:00+00:00,0.0001
2026-05-06 08:00:00+00:00,0.0001
2026-05-06 16:00:00+00:00,0.0001
2026-05-07 00:00:00+00:00,0.0001
2026-05-07 08:00:00+00:00,0.0001
2026-05-07 16:00:00+00:00,3.96234211422e-05
2026-05-08 00:00:00+00:00,0.0001
2026-05-08 08:00:00+00:00,2.68314800135e-05
2026-05-08 16:00:00+00:00,9.30118688875e-05
2026-05-09 00:00:00+00:00,0.0001
2026-05-09 08:00:00+00:00,0.0001
2026-05-09 16:00:00+00:00,-6.1231284937e-05
2026-05-10 00:00:00+00:00,5.6698287835e-05
2026-05-10 08:00:00+00:00,-4.39650274318e-05
2026-05-10 16:00:00+00:00,8.88895453459e-05
2026-05-11 00:00:00+00:00,0.0001
2026-05-11 08:00:00+00:00,6.88277541408e-05
2026-05-11 16:00:00+00:00,0.0001
2026-05-12 00:00:00+00:00,-3.89162223458e-05
2026-05-12 08:00:00+00:00,8.0398180769e-05
2026-05-12 16:00:00+00:00,-1.78857838185e-05
2026-05-13 00:00:00+00:00,0.0001
2026-05-13 08:00:00+00:00,0.0001
2026-05-13 16:00:00+00:00,-2.7372304039e-05
2026-05-14 00:00:00+00:00,-2.00576336819e-05
2026-05-14 08:00:00+00:00,2.9469734512e-06
2026-05-14 16:00:00+00:00,0.0001
2026-05-15 00:00:00+00:00,0.0001
2026-05-15 08:00:00+00:00,-7.93490397552e-05
2026-05-15 16:00:00+00:00,-4.97165783605e-05
2026-05-16 00:00:00+00:00,-7.6195426756e-06
2026-05-16 08:00:00+00:00,-8.19902830466e-05
2026-05-16 16:00:00+00:00,3.66295077332e-05
2026-05-17 00:00:00+00:00,-5.8715568601e-06
2026-05-17 08:00:00+00:00,-1.11516200016e-05
2026-05-17 16:00:00+00:00,-2.4250477977e-06
2026-05-18 00:00:00+00:00,4.56773273075e-05
2026-05-18 08:00:00+00:00,0.0001
2026-05-18 16:00:00+00:00,-1.98736832212e-05
2026-05-19 00:00:00+00:00,2.79504755567e-05
2026-05-19 08:00:00+00:00,4.5253216577e-05
2026-05-19 16:00:00+00:00,-3.0290162231e-05
2026-05-20 00:00:00+00:00,5.15059005328e-05
2026-05-20 08:00:00+00:00,0.0001
2026-05-20 16:00:00+00:00,0.0001
2026-05-21 00:00:00+00:00,0.0001
2026-05-21 08:00:00+00:00,4.98466900717e-05
2026-05-21 16:00:00+00:00,5.6860418859e-06
2026-05-22 00:00:00+00:00,0.0001
2026-05-22 08:00:00+00:00,5.90652332242e-05
2026-05-22 16:00:00+00:00,8.96620108401e-05
2026-05-23 00:00:00+00:00,-3.01871506021e-05
2026-05-23 08:00:00+00:00,-8.72076509221e-05
2026-05-23 16:00:00+00:00,-0.0001140447591931
2026-05-24 00:00:00+00:00,0.0001
2026-05-24 08:00:00+00:00,3.39425355748e-05
2026-05-24 16:00:00+00:00,8.9721593279e-06
2026-05-25 00:00:00+00:00,-5.65022333023e-05
2026-05-25 08:00:00+00:00,9.75309782902e-05
2026-05-25 16:00:00+00:00,8.54747523922e-05
2026-05-26 00:00:00+00:00,8.0418967316e-06
2026-05-26 08:00:00+00:00,5.42797147301e-05
2026-05-26 16:00:00+00:00,0.0001
2026-05-27 00:00:00+00:00,1.90303787742e-05
2026-05-27 08:00:00+00:00,5.1906918505e-05
2026-05-27 16:00:00+00:00,0.0001
2026-05-28 00:00:00+00:00,0.0001
2026-05-28 08:00:00+00:00,-0.000129698668871
2026-05-28 16:00:00+00:00,6.32822049508e-05
2026-05-29 00:00:00+00:00,4.03866832583e-05
2026-05-29 08:00:00+00:00,5.64906064099e-05
2026-05-29 16:00:00+00:00,5.13962690857e-05
2026-05-30 00:00:00+00:00,8.61489634562e-05
2026-05-30 08:00:00+00:00,0.0001
2026-05-30 16:00:00+00:00,-2.86161210172e-05
2026-05-31 00:00:00+00:00,1.8057199253e-05
2026-05-31 08:00:00+00:00,6.6432746865e-05
2026-05-31 16:00:00+00:00,9.3941454999e-05
2026-06-01 00:00:00+00:00,7.4874630586e-05
2026-06-01 08:00:00+00:00,6.75108501555e-05
2026-06-01 16:00:00+00:00,6.47321607516e-05
2026-06-02 00:00:00+00:00,6.41834194706e-05
2026-06-02 08:00:00+00:00,5.3948805723e-05
2026-06-02 16:00:00+00:00,-7.8209292126e-05
2026-06-03 00:00:00+00:00,1.01580629173e-05
2026-06-03 08:00:00+00:00,5.7684710846e-05
2026-06-03 16:00:00+00:00,8.58963360332e-05
2026-06-04 00:00:00+00:00,-4.26870448221e-05
2026-06-04 08:00:00+00:00,3.22389777567e-05
2026-06-04 16:00:00+00:00,-2.00143077567e-05
2026-06-05 00:00:00+00:00,-0.0001245433113206
2026-06-05 08:00:00+00:00,3.1937251335e-06
2026-06-05 16:00:00+00:00,1.93804844806e-05
2026-06-06 00:00:00+00:00,1.38497903841e-05
2026-06-06 08:00:00+00:00,-5.33270230088e-05
2026-06-06 16:00:00+00:00,-6.00641855263e-05
2026-06-07 00:00:00+00:00,-0.0001168575634427
2026-06-07 08:00:00+00:00,-4.98141461477e-05
2026-06-07 16:00:00+00:00,5.34596980438e-05
2026-06-08 00:00:00+00:00,-4.538730222e-06
2026-06-08 08:00:00+00:00,2.53742671818e-05
2026-06-08 16:00:00+00:00,-2.16853850097e-05
2026-06-09 00:00:00+00:00,-8.25637929362e-05
2026-06-09 08:00:00+00:00,5.0508113357e-05
2026-06-09 16:00:00+00:00,9.810103158e-06
2026-06-10 00:00:00+00:00,0.0001
2026-06-10 08:00:00+00:00,-1.20601543891e-05
2026-06-10 16:00:00+00:00,-2.7618448983e-06
2026-06-11 00:00:00+00:00,-0.0001486354693585
2026-06-11 08:00:00+00:00,-8.24559870281e-05
2026-06-11 16:00:00+00:00,5.44983915264e-05
