ts,open,high,low,close,volume
2025-01-01 00:00:00+00:00,103.26,105.12,103.24,105.04,43116.4
2025-01-01 01:00:00+00:00,105.04,105.86,104.67,104.98,59987.8
2025-01-01 02:00:00+00:00,104.99,105.28,104.2,104.91,40410.8
2025-01-01 03:00:00+00:00,104.92,104.94,104.24,104.25,15647.6
2025-01-01 04:00:00+00:00,104.25,104.44,103.76,104.22,17871.2
2025-01-01 05:00:00+00:00,104.19,105.5,104.1,105.3,45283.5
2025-01-01 06:00:00+00:00,105.31,105.32,104.68,105.15,17535.4
2025-01-01 07:00:00+00:00,105.16,105.17,104.14,104.15,14246.8
2025-01-01 08:00:00+00:00,104.16,104.31,102.77,102.78,35262.9
2025-01-01 09:00:00+00:00,102.81,103.4,102.05,102.9,59264.8
2025-01-01 10:00:00+00:00,102.88,103.36,102.66,102.72,37104.7
2025-01-01 11:00:00+00:00,102.72,104.33,102.29,103.75,32976.8
2025-01-01 12:00:00+00:00,103.73,104.89,103.58,104.83,32607.0
2025-01-01 13:00:00+00:00,104.83,105.3,104.06,104.31,43746.0
2025-01-01 14:00:00+00:00,104.3,104.97,103.64,104.74,37591.7
2025-01-01 15:00:00+00:00,104.76,105.22,103.67,104.93,42654.8
2025-01-01 16:00:00+00:00,104.91,106.16,104.77,105.22,61471.0
2025-01-01 17:00:00+00:00,105.23,105.44,104.0,104.86,26380.0
2025-01-01 18:00:00+00:00,104.86,106.71,104.08,106.59,44805.1
2025-01-01 19:00:00+00:00,106.59,107.23,104.95,107.19,66069.4
2025-01-01 20:00:00+00:00,107.2,108.17,105.78,106.02,75502.3
2025-01-01 21:00:00+00:00,106.02,106.26,105.2,105.51,24376.6
2025-01-01 22:00:00+00:00,105.49,105.55,104.79,105.02,19986.0
2025-01-01 23:00:00+00:00,105.02,105.5,104.68,105.24,23718.3
2025-01-02 00:00:00+00:00,105.24,108.09,105.07,107.54,91415.1
2025-01-02 01:00:00+00:00,107.55,108.09,106.27,106.72,42292.2
2025-01-02 02:00:00+00:00,106.71,106.88,105.9,106.09,19470.5
2025-01-02 03:00:00+00:00,106.09,106.45,105.6,105.6,22107.5
2025-01-02 04:00:00+00:00,105.62,107.14,105.41,106.39,54005.3
2025-01-02 05:00:00+00:00,106.41,106.63,105.66,105.81,29714.8
2025-01-02 06:00:00+00:00,105.82,106.25,105.4,105.95,20704.0
2025-01-02 07:00:00+00:00,105.94,106.16,105.64,106.04,13981.6
2025-01-02 08:00:00+00:00,106.04,106.51,105.57,106.3,26425.8
2025-01-02 09:00:00+00:00,106.29,107.06,106.12,106.91,41794.8
2025-01-02 10:00:00+00:00,106.92,106.97,106.34,106.69,23249.2
2025-01-02 11:00:00+00:00,106.71,106.84,105.87,106.35,40964.6
2025-01-02 12:00:00+00:00,106.36,106.88,106.09,106.66,23175.9
2025-01-02 13:00:00+00:00,106.67,107.87,106.49,107.38,53550.4
2025-01-02 14:00:00+00:00,107.39,108.76,106.14,107.23,113930.7
2025-01-02 15:00:00+00:00,107.2,107.35,105.75,106.28,51167.7
2025-01-02 16:00:00+00:00,106.29,106.91,105.61,106.3,46117.8
2025-01-02 17:00:00+00:00,106.31,106.78,104.73,105.31,52193.2
2025-01-02 18:00:00+00:00,105.32,105.86,105.08,105.66,16137.4
2025-01-02 19:00:00+00:00,105.66,105.97,105.06,105.15,14394.7
2025-01-02 20:00:00+00:00,105.14,105.58,104.75,104.91,21398.7
2025-01-02 21:00:00+00:00,104.96,105.48,104.63,105.47,13765.6
2025-01-02 22:00:00+00:00,105.44,105.6,104.89,105.35,19293.5
2025-01-02 23:00:00+00:00,105.35,105.6,105.12,105.14,11303.9
2025-01-03 00:00:00+00:00,105.15,106.03,105.15,105.3,23783.3
2025-01-03 01:00:00+00:00,105.3,105.98,104.85,105.74,18346.6
2025-01-03 02:00:00+00:00,105.74,106.86,105.42,106.4,33388.7
2025-01-03 03:00:00+00:00,106.41,106.9,105.74,106.37,28615.4
2025-01-03 04:00:00+00:00,106.36,106.36,105.4,105.58,18191.8
2025-01-03 05:00:00+00:00,105.59,105.66,104.77,105.16,25824.1
2025-01-03 06:00:00+00:00,105.16,105.59,104.86,104.88,19723.6
2025-01-03 07:00:00+00:00,104.88,104.91,104.1,104.63,38158.9
2025-01-03 08:00:00+00:00,104.63,105.28,104.55,105.19,20018.9
2025-01-03 09:00:00+00:00,105.17,106.38,105.16,105.91,37136.1
2025-01-03 10:00:00+00:00,105.92,106.3,105.65,106.1,19492.6
2025-01-03 11:00:00+00:00,106.1,107.65,106.05,107.53,41880.4
2025-01-03 12:00:00+00:00,107.52,108.38,107.32,107.37,50902.5
2025-01-03 13:00:00+00:00,107.37,108.24,107.23,107.76,40903.3
2025-01-03 14:00:00+00:00,107.75,109.35,107.75,109.0,69552.1
2025-01-03 15:00:00+00:00,109.01,109.78,108.76,109.34,42797.8
2025-01-03 16:00:00+00:00,109.34,110.81,108.91,110.21,71859.7
2025-01-03 17:00:00+00:00,110.23,110.94,109.93,110.2,33302.3
2025-01-03 18:00:00+00:00,110.21,111.53,110.19,111.34,37659.4
2025-01-03 19:00:00+00:00,111.32,113.77,111.09,113.33,119155.4
2025-01-03 20:00:00+00:00,113.31,114.35,112.45,114.13,50957.2
2025-01-03 21:00:00+00:00,114.13,114.42,113.17,114.4,36622.9
2025-01-03 22:00:00+00:00,114.42,114.88,113.46,113.49,40759.2
2025-01-03 23:00:00+00:00,113.48,113.88,112.61,112.73,38701.1
2025-01-04 00:00:00+00:00,112.73,112.9,111.5,111.55,38924.6
2025-01-04 01:00:00+00:00,111.55,111.66,110.74,111.37,37494.6
2025-01-04 02:00:00+00:00,111.36,112.26,111.36,112.16,42866.4
2025-01-04 03:00:00+00:00,112.17,112.28,111.61,112.13,17259.1
2025-01-04 04:00:00+00:00,112.14,112.16,111.0,111.47,22073.8
2025-01-04 05:00:00+00:00,111.47,111.6,111.23,111.49,14119.4
2025-01-04 06:00:00+00:00,111.5,111.78,111.27,111.44,17084.8
2025-01-04 07:00:00+00:00,111.43,111.97,111.23,111.77,25150.1
2025-01-04 08:00:00+00:00,111.78,112.14,110.75,110.75,34556.2
2025-01-04 09:00:00+00:00,110.75,111.37,110.51,111.24,23490.7
2025-01-04 10:00:00+00:00,111.24,112.22,110.78,112.08,24008.6
2025-01-04 11:00:00+00:00,112.08,112.26,111.27,111.39,29042.3
2025-01-04 12:00:00+00:00,111.38,112.05,111.29,111.64,27751.2
2025-01-04 13:00:00+00:00,111.64,112.2,111.32,111.94,22590.1
2025-01-04 14:00:00+00:00,111.95,112.78,111.93,112.29,25492.6
2025-01-04 15:00:00+00:00,112.3,112.32,110.04,110.73,66835.8
2025-01-04 16:00:00+00:00,110.72,111.36,110.44,111.15,20821.3
2025-01-04 17:00:00+00:00,111.16,111.23,110.79,111.21,11878.8
