,funding
2026-04-07 08:00:00+00:00,7.35619019888e-05
2026-04-07 16:00:00+00:00,4.6846189603e-06
2026-04-08 00:00:00+00:00,0.0001
2026-04-08 08:00:00+00:00,0.0001
2026-04-08 16:00:00+00:00,0.0001
2026-04-09 00:00:00+00:00,-3.91606213303e-05
2026-04-09 08:00:00+00:00,-1.23051245001e-05
2026-04-09 16:00:00+00:00,-2.36109291132e-05
2026-04-10 00:00:00+00:00,0.0001
2026-04-10 08:00:00+00:00,5.92187182894e-05
2026-04-10 16:00:00+00:00,6.90875098751e-05
2026-04-11 00:00:00+00:00,0.0001
2026-04-11 08:00:00+00:00,-1.84848214497e-05
2026-04-11 16:00:00+00:00,9.0859797765e-06
2026-04-12 00:00:00+00:00,6.70730506574e-05
2026-04-12 08:00:00+00:00,-1.95168700039e-05
2026-04-12 16:00:00+00:00,-5.6591255205e-06
2026-04-13 00:00:00+00:00,1.35998227686e-05
2026-04-13 08:00:00+00:00,9.85304227006e-05
2026-04-13 16:00:00+00:00,3.58655296575e-05
2026-04-14 00:00:00+00:00,7.23510122808e-05
2026-04-14 08:00:00+00:00,0.0001
2026-04-14 16:00:00+00:00,0.0001
2026-04-15 00:00:00+00:00,0.0001
2026-04-15 08:00:00+00:00,4.37751055814e-05
2026-04-15 16:00:00+00:00,0.0001
2026-04-16 00:00:00+00:00,0.0001
2026-04-16 08:00:00+00:00,0.0001
2026-04-16 16:00:00+00:00,6.88376729168e-05
2026-04-17 00:00:00+00:00,0.0001
2026-04-17 08:00:00+00:00,0.0001
2026-04-17 16:00:00+00:00,8.99839059678e-05
2026-04-18 00:00:00+00:00,0.0001
2026-04-18 08:00:00+00:00,6.73954147681e-05
2026-04-18 16:00:00+00:00,3.26527487198e-05
2026-04-19 00:00:00+00:00,7.82138192367e-05
2026-04-19 08:00:00+00:00,-1.44857792948e-05
2026-04-19 16:00:00+00:00,3.02969483095e-05
2026-04-20 00:00:00+00:00,3.00988047873e-05
2026-04-20 08:00:00+00:00,7.08613666603e-05
2026-04-20 16:00:00+00:00,2.57486256252e-05
2026-04-21 00:00:00+00:00,0.0001
2026-04-21 08:00:00+00:00,0.0001
2026-04-21 16:00:00+00:00,8.31327398157e-05
2026-04-22 00:00:00+00:00,-4.78855820084e-05
2026-04-22 08:00:00+00:00,6.66081477442e-05
2026-04-22 16:00:00+00:00,0.0001
2026-04-23 00:00:00+00:00,5.65515357767e-05
2026-04-23 08:00:00+00:00,-0.000132865366997
2026-04-23 16:00:00+00:00,1.8910946642e-06
2026-04-24 00:00:00+00:00,3.6841502781e-05
2026-04-24 08:00:00+00:00,9.26882278065e-05
2026-04-24 16:00:00+00:00,0.0001
2026-04-25 00:00:00+00:00,-1.03545394099e-05
2026-04-25 08:00:00+00:00,0.0001
2026-04-25 16:00:00+00:00,2.03343674958e-05
2026-04-26 00:00:00+00:00,8.00039061965e-05
2026-04-26 08:00:00+00:00,0.0001
2026-04-26 16:00:00+00:00,0.0001
2026-04-27 00:00:00+00:00,5.31249529302e-05
2026-04-27 08:00:00+00:00,-7.47737324846e-05
2026-04-27 16:00:00+00:00,-2.92249137331e-05
2026-04-28 00:00:00+00:00,-0.0001128150491785
2026-04-28 08:00:00+00:00,7.4343877798e-05
2026-04-28 16:00:00+00:00,0.0001
2026-04-29 00:00:00+00:00,-5.2004671605e-06
2026-04-29 08:00:00+00:00,0.0001
2026-04-29 16:00:00+00:00,1.25698094333e-05
2026-04-30 00:00:00+00:00,-5.4055708992e-06
2026-04-30 08:00:00+00:00,4.64704748313e-05
2026-04-30 16:00:00+00:00,-2.00082424066e-05
2026-05-01 00:00:00+00:00,-1.83374041708e-05
2026-05-01 08:00:00+00:00,9.12406484212e-05
2026-05-01 16:00:00+00:00,1.50254316638e-05
2026-05-02 00:00:00+00:00,6.55653754235e-05
2026-05-02 08:00:00+00:00,-3.1794795299e-06
2026-05-02 16:00:00+00:00,4.80775919758e-05
2026-05-03 00:00:00+00:00,4.12459977305e-05
2026-05-03 08:00:00+00:00,3.80602906525e-05
2026-05-03 16:00:00+00:00,1.45856335305e-05
2026-05-04 00:00:00+00:00,-2.3712794412e-06
2026-05-04 08:00:00+00:00,0.0001
2026-05-04 16:00:00+00:00,1.9844155585e-05
2026-05-05 00:00:00+00:00,0.0001
2026-05-05 08:00:00+00:00,3.52861771142e-05
2026-05-05 16:00:00+00:00,0.0001
2026-05-06 00:00:00+00:00,0.0001
2026-05-06 08:00:00+00:00,4.83193712743e-05
2026-05-06 16:00:00+00:00,8.63232480478e-05
2026-05-07 00:00:00+00:00,6.69407562902e-05
2026-05-07 08:00:00+00:00,4.38113027814e-05
2026-05-07 16:00:00+00:00,1.13531895295e-05
2026-05-08 00:00:00+00:00,0.0001
2026-05-08 08:00:00+00:00,0.0001
2026-05-08 16:00:00+00:00,5.7499177784e-06
2026-05-09 00:00:00+00:00,0.0001
2026-05-09 08:00:00+00:00,0.0001
2026-05-09 16:00:00+00:00,-2.80305747785e-05
2026-05-10 00:00:00+00:00,-2.97228309885e-05
2026-05-10 08:00:00+00:00,0.0001
2026-05-10 16:00:00+00:00,0.0001
2026-05-11 00:00:00+00:00,-6.4782681311e-06
2026-05-11 08:00:00+00:00,-2.16981313644e-05
2026-05-11 16:00:00+00:00,9.75007020985e-05
2026-05-12 00:00:00+00:00,7.03519973281e-05
2026-05-12 08:00:00+00:00,2.26750848768e-05
2026-05-12 16:00:00+00:00,-2.1687299488e-05
2026-05-13 00:00:00+00:00,1.23702915197e-05
2026-05-13 08:00:00+00:00,2.54255274967e-05
2026-05-13 16:00:00+00:00,-2.26738783048e-05
2026-05-14 00:00:00+00:00,5.52330993632e-05
2026-05-14 08:00:00+00:00,7.66423012559e-05
2026-05-14 16:00:00+00:00,-4.5268929096e-06
2026-05-15 00:00:00+00:00,-5.04057871927e-05
2026-05-15 08:00:00+00:00,2.5195706121e-05
2026-05-15 16:00:00+00:00,-2.07891576372e-05
2026-05-16 00:00:00+00:00,0.0001
2026-05-16 08:00:00+00:00,-9.56102521069e-05
2026-05-16 16:00:00+00:00,5.03182422365e-05
2026-05-17 00:00:00+00:00,5.37373929098e-05
2026-05-17 08:00:00+00:00,1.35747643549e-05
2026-05-17 16:00:00+00:00,-5.39723245764e-05
2026-05-18 00:00:00+00:00,-2.4065955759e-06
2026-05-18 08:00:00+00:00,8.19425117962e-05
2026-05-18 16:00:00+00:00,-2.24828642211e-05
2026-05-19 00:00:00+00:00,7.7889459808e-06
2026-05-19 08:00:00+00:00,-5.82373838025e-05
2026-05-19 16:00:00+00:00,2.15579175661e-05
2026-05-20 00:00:00+00:00,-4.88728203622e-05
2026-05-20 08:00:00+00:00,9.12084358654e-05
2026-05-20 16:00:00+00:00,4.56574660239e-05
2026-05-21 00:00:00+00:00,0.0001
2026-05-21 08:00:00+00:00,0.0001
2026-05-21 16:00:00+00:00,7.62040405133e-05
2026-05-22 00:00:00+00:00,9.44132152243e-05
2026-05-22 08:00:00+00:00,5.99370611781e-05
2026-05-22 16:00:00+00:00,6.69561521995e-05
2026-05-23 00:00:00+00:00,1.08288342172e-05
2026-05-23 08:00:00+00:00,4.95482628938e-05
2026-05-23 16:00:00+00:00,-0.0001138345713593
2026-05-24 00:00:00+00:00,7.61161559092e-05
2026-05-24 08:00:00+00:00,-2.31132983643e-05
2026-05-24 16:00:00+00:00,0.0001
2026-05-25 00:00:00+00:00,4.00097928225e-05
2026-05-25 08:00:00+00:00,0.0001
2026-05-25 16:00:00+00:00,0.0001
2026-05-26 00:00:00+00:00,-5.21078990436e-05
2026-05-26 08:00:00+00:00,5.78982524147e-05
2026-05-26 16:00:00+00:00,8.94622464184e-05
2026-05-27 00:00:00+00:00,2.66988497984e-05
2026-05-27 08:00:00+00:00,3.37604279831e-05
2026-05-27 16:00:00+00:00,-1.32119123823e-05
2026-05-28 00:00:00+00:00,-1.66322792433e-05
2026-05-28 08:00:00+00:00,-5.39423947856e-05
2026-05-28 16:00:00+00:00,-6.07564259037e-05
2026-05-29 00:00:00+00:00,4.59877235497e-05
2026-05-29 08:00:00+00:00,0.0001
2026-05-29 16:00:00+00:00,4.99132063873e-05
2026-05-30 00:00:00+00:00,0.0001
2026-05-30 08:00:00+00:00,-1.64542408382e-05
2026-05-30 16:00:00+00:00,-3.15146076269e-05
2026-05-31 00:00:00+00:00,2.13978780553e-05
2026-05-31 08:00:00+00:00,-8.90282587252e-05
2026-05-31 16:00:00+00:00,2.75728651714e-05
2026-06-01 00:00:00+00:00,5.51900418534e-05
2026-06-01 08:00:00+00:00,0.0001
2026-06-01 16:00:00+00:00,0.0001
2026-06-02 00:00:00+00:00,0.0001
2026-06-02 08:00:00+00:00,0.0001
2026-06-02 16:00:00+00:00,-2.85387889226e-05
2026-06-03 00:00:00+00:00,0.0001
2026-06-03 08:00:00+00:00,-3.2263787936e-05
2026-06-03 16:00:00+00:00,-1.79707790431e-05
2026-06-04 00:00:00+00:00,7.91483176079e-05
2026-06-04 08:00:00+00:00,1.20755301466e-05
2026-06-04 16:00:00+00:00,-7.3997176523e-06
2026-06-05 00:00:00+00:00,4.068271787e-07
2026-06-05 08:00:00+00:00,3.28235334634e-05
2026-06-05 16:00:00+00:00,8.74694401617e-05
2026-06-06 00:00:00+00:00,-7.13223937586e-05
2026-06-06 08:00:00+00:00,-3.7841260137e-06
2026-06-06 16:00:00+00:00,2.57917266448e-05
2026-06-07 00:00:00+00:00,1.28817199654e-05
2026-06-07 08:00:00+00:00,4.04084031511e-05
2026-06-07 16:00:00+00:00,-6.59502257251e-05
2026-06-08 00:00:00+00:00,-3.1985696426e-06
2026-06-08 08:00:00+00:00,6.47162217876e-05
2026-06-08 16:00:00+00:00,5.7579929476e-06
2026-06-09 00:00:00+00:00,3.4276841689e-06
2026-06-09 08:00:00+00:00,3.30712512606e-05
2026-06-09 16:00:00+00:00,-9.01894333401e-05
2026-06-10 00:00:00+00:00,1.81839643807e-05
2026-06-10 08:00:00+00:00,5.51132092394e-05
2026-06-10 16:00:00+00:00,-1.78985138593e-05
2026-06-11 00:00:00+00:00,-2.02446779055e-05
2026-06-11 08:00:00+00:00,3.45620666709e-05
2026-06-11 16:00:00+00:00,9.99452858105e-05
2026-06-12 00:00:00+00:00,9.20713796763e-05
2026-06-12 08:00:00+00:00,-5.87944833407e-05
2026-06-12 16:00:00+00:00,2.34522550891e-05
2026-06-13 00:00:00+00:00,8.56666739633e-05
2026-06-13 08:00:00+00:00,4.82905586996e-05
2026-06-13 16:00:00+00:00,-3.56438926275e-05
2026-06-14 00:00:00+00:00,4.8906386201e-06
2026-06-14 08:00:00+00:00,-4.42423009552e-05
2026-06-14 16:00:00+00:00,-6.08098032518e-05
2026-06-15 00:00:00+00:00,-6.723248703e-07
2026-06-15 08:00:00+00:00,6.7954358197e-05
2026-06-15 16:00:00+00:00,9.16379844241e-05
2026-06-16 00:00:00+00:00,5.34100385006e-05
2026-06-16 08:00:00+00:00,0.0001
2026-06-16 16:00:00+00:00,1.75550267907e-05
2026-06-17 00:00:00+00:00,8.7892561002e-05
2026-06-17 08:00:00+00:00,9.51987599666e-05
2026-06-17 16:00:00+00:00,4.15947211693e-05
2026-06-18 00:00:00+00:00,0.0001
2026-06-18 08:00:00+00:00,2.23917710545e-05
2026-06-18 16:00:00+00:00,2.87228956604e-05
2026-06-19 00:00:00+00:00,0.0001
2026-06-19 08:00:00+00:00,6.6867481505e-06
2026-06-19 16:00:00+00:00,2.6989722215e-05
2026-06-20 00:00:00+00:00,9.39581038564e-05
2026-06-20 08:00:00+00:00,4.9529615211e-05
2026-06-20 16:00:00+00:00,-1.48886212835e-05
2026-06-21 00:00:00+00:00,4.9547179395e-06
2026-06-21 08:00:00+00:00,-0.0001070466965091
2026-06-21 16:00:00+00:00,9.5081311642e-06
2026-06-22 00:00:00+00:00,7.58818459695e-05
2026-06-22 08:00:00+00:00,2.33611778049e-05
2026-06-22 16:00:00+00:00,6.88438414817e-05
2026-06-23 00:00:00+00:00,1.33412025656e-05
2026-06-23 08:00:00+00:00,2.82885037077e-05
2026-06-23 16:00:00+00:00,1.42333109878e-05
2026-06-24 00:00:00+00:00,-0.0001031388108757
2026-06-24 08:00:00+00:00,1.95327025137e-05
2026-06-24 16:00:00+00:00,-6.97197673524e-05
2026-06-25 00:00:00+00:00,-1.14551406355e-05
2026-06-25 08:00:00+00:00,5.43066482044e-05
2026-06-25 16:00:00+00:00,-3.89666955867e-05
2026-06-26 00:00:00+00:00,1.30617045915e-05
2026-06-26 08:00:00+00:00,-0.0001303723951658
2026-06-26 16:00:00+00:00,7.85374852925e-05
2026-06-27 00:00:00+00:00,-7.02521467925e-05
2026-06-27 08:00:00+00:00,-0.0001265301745404
2026-06-27 16:00:00+00:00,3.7082158903e-06
2026-06-28 00:00:00+00:00,8.4236908611e-05
2026-06-28 08:00:00+00:00,1.39726411953e-05
2026-06-28 16:00:00+00:00,-7.9267147046e-06
2026-06-29 00:00:00+00:00,-7.4475972628e-06
2026-06-29 08:00:00+00:00,0.0001
2026-06-29 16:00:00+00:00,5.42351767036e-05
2026-06-30 00:00:00+00:00,2.21900219077e-05
2026-06-30 08:00:00+00:00,-2.345923922e-07
2026-06-30 16:00:00+00:00,3.23611825522e-05
2026-07-01 00:00:00+00:00,-2.32035439543e-05
2026-07-01 08:00:00+00:00,-6.75025940411e-05
2026-07-01 16:00:00+00:00,-2.615593639e-07
2026-07-02 00:00:00+00:00,-6.6422608384e-05
2026-07-02 08:00:00+00:00,5.3833808549e-06
2026-07-02 16:00:00+00:00,9.57579713665e-05
2026-07-03 00:00:00+00:00,-5.3363436283e-06
2026-07-03 08:00:00+00:00,-1.86898942e-07
2026-07-03 16:00:00+00:00,9.2813031248e-05
2026-07-04 00:00:00+00:00,-5.71807909208e-05
2026-07-04 08:00:00+00:00,4.05196208289e-05
2026-07-04 16:00:00+00:00,8.11984909583e-05
2026-07-05 00:00:00+00:00,-4.06236808896e-05
2026-07-05 08:00:00+00:00,1.50331498037e-05
2026-07-05 16:00:00+00:00,6.4939662509e-06
2026-07-06 00:00:00+00:00,-1.92837891968e-05
2026-07-06 08:00:00+00:00,0.0001
2026-07-06 16:00:00+00:00,8.28342958703e-05
2026-07-07 00:00:00+00:00,0.0001
2026-07-07 08:00:00+00:00,1.73582240539e-05
2026-07-07 16:00:00+00:00,6.36490512683e-05
2026-07-08 00:00:00+00:00,2.7317278677e-06
