ts,open,high,low,close,volume
2024-11-25 10:00:00+00:00,0.8292,0.925,0.793,0.9176,2884151.0
2024-11-25 11:00:00+00:00,0.9185,1.04,0.8687,0.9535,8928271.0
2024-11-25 12:00:00+00:00,0.9529,1.0074,0.9076,0.9459,7530395.0
2024-11-25 13:00:00+00:00,0.9459,0.9542,0.8757,0.9268,5646368.0
2024-11-25 14:00:00+00:00,0.9283,0.9356,0.855,0.865,3730047.0
2024-11-25 15:00:00+00:00,0.8651,1.0548,0.85,1.0146,6938863.0
2024-11-25 16:00:00+00:00,1.0145,1.1414,0.9495,0.993,15124482.0
2024-11-25 17:00:00+00:00,0.9942,1.0318,0.94,0.9982,4034088.0
2024-11-25 18:00:00+00:00,0.9968,1.015,0.9531,0.972,1553181.0
2024-11-25 19:00:00+00:00,0.972,1.0335,0.9535,0.9859,1970808.0
2024-11-25 20:00:00+00:00,0.9856,0.9981,0.9261,0.931,1752285.0
2024-11-25 21:00:00+00:00,0.9324,0.9503,0.8488,0.893,3235320.0
2024-11-25 22:00:00+00:00,0.8924,0.9525,0.8778,0.9459,1539933.0
2024-11-25 23:00:00+00:00,0.9474,0.9704,0.9289,0.9369,1328481.0
2024-11-26 00:00:00+00:00,0.9369,0.9872,0.9186,0.9339,1816348.0
2024-11-26 01:00:00+00:00,0.934,0.9944,0.934,0.9671,1389464.0
2024-11-26 02:00:00+00:00,0.9655,0.981,0.938,0.9648,892245.0
2024-11-26 03:00:00+00:00,0.9639,1.0585,0.94,1.0435,3569802.0
2024-11-26 04:00:00+00:00,1.0437,1.1285,1.0234,1.0736,7780918.0
2024-11-26 05:00:00+00:00,1.074,1.1216,1.0234,1.0764,5688266.0
2024-11-26 06:00:00+00:00,1.0747,1.0827,1.03,1.0445,2721850.0
2024-11-26 07:00:00+00:00,1.0443,1.097,1.0121,1.0493,4490966.0
2024-11-26 08:00:00+00:00,1.0492,1.0882,1.0245,1.082,3914447.0
2024-11-26 09:00:00+00:00,1.0819,1.1129,0.9687,0.9862,6418528.0
2024-11-26 10:00:00+00:00,0.9866,0.99,0.941,0.9465,3698194.0
2024-11-26 11:00:00+00:00,0.9476,0.97,0.9086,0.9578,3099968.0
2024-11-26 12:00:00+00:00,0.9578,0.9765,0.92,0.937,2297240.0
2024-11-26 13:00:00+00:00,0.9369,0.9763,0.927,0.9445,1984584.0
2024-11-26 14:00:00+00:00,0.9445,0.992,0.9287,0.9736,2796966.0
2024-11-26 15:00:00+00:00,0.9736,0.9754,0.9248,0.9256,2209696.0
2024-11-26 16:00:00+00:00,0.9264,0.9411,0.89,0.9049,3694667.0
2024-11-26 17:00:00+00:00,0.9051,0.9662,0.8941,0.9274,4058985.0
2024-11-26 18:00:00+00:00,0.9279,0.9642,0.8961,0.9575,2668435.0
2024-11-26 19:00:00+00:00,0.9576,0.9958,0.9238,0.9651,2706969.0
2024-11-26 20:00:00+00:00,0.9653,1.1346,0.9488,1.0639,7313671.0
