,funding
2026-04-07 08:00:00+00:00,5e-05
2026-04-07 12:00:00+00:00,5e-05
2026-04-07 16:00:00+00:00,-0.0001639563422425
2026-04-07 20:00:00+00:00,5e-05
2026-04-08 00:00:00+00:00,3.43599474985e-05
2026-04-08 04:00:00+00:00,-0.0001996076291863
2026-04-08 08:00:00+00:00,-9.37731103341e-05
2026-04-08 12:00:00+00:00,5e-05
2026-04-08 16:00:00+00:00,5e-05
2026-04-08 20:00:00+00:00,5e-05
2026-04-09 00:00:00+00:00,5e-05
2026-04-09 04:00:00+00:00,-4.67773273181e-05
2026-04-09 08:00:00+00:00,5e-05
2026-04-09 12:00:00+00:00,-2.5695268744e-06
2026-04-09 16:00:00+00:00,-1.7863476944e-06
2026-04-09 20:00:00+00:00,5e-05
2026-04-10 00:00:00+00:00,5e-05
2026-04-10 04:00:00+00:00,5e-05
2026-04-10 08:00:00+00:00,5e-05
2026-04-10 12:00:00+00:00,5e-05
2026-04-10 16:00:00+00:00,-2.07402553617e-05
2026-04-10 20:00:00+00:00,-9.08715172688e-05
2026-04-11 00:00:00+00:00,5e-05
2026-04-11 04:00:00+00:00,-2.50039341729e-05
2026-04-11 08:00:00+00:00,-0.0001844034903546
2026-04-11 12:00:00+00:00,5e-05
2026-04-11 16:00:00+00:00,-9.61749244587e-05
2026-04-11 20:00:00+00:00,-6.26490051171e-05
2026-04-12 00:00:00+00:00,5e-05
2026-04-12 04:00:00+00:00,5e-05
2026-04-12 08:00:00+00:00,4.77618921497e-05
2026-04-12 12:00:00+00:00,-0.0001352105410434
2026-04-12 16:00:00+00:00,-0.0003872768160527
2026-04-12 20:00:00+00:00,-9.52451325403e-05
2026-04-13 00:00:00+00:00,5e-05
2026-04-13 04:00:00+00:00,2.44039195342e-05
2026-04-13 08:00:00+00:00,-0.000219478890694
2026-04-13 12:00:00+00:00,-0.0003335543617972
2026-04-13 16:00:00+00:00,5e-05
2026-04-13 20:00:00+00:00,-6.17620462621e-05
2026-04-14 00:00:00+00:00,-0.0001808589434653
2026-04-14 04:00:00+00:00,-8.79806503965e-05
2026-04-14 08:00:00+00:00,-0.0002073401756377
2026-04-14 12:00:00+00:00,-0.0001987115647678
2026-04-14 16:00:00+00:00,-0.0001605004845613
2026-04-14 20:00:00+00:00,5e-05
2026-04-15 00:00:00+00:00,-0.0002323604811564
2026-04-15 04:00:00+00:00,-0.0003113524325454
2026-04-15 08:00:00+00:00,8.5839797631e-06
2026-04-15 12:00:00+00:00,-0.0002376868929844
2026-04-15 16:00:00+00:00,3.11095561291e-05
2026-04-15 20:00:00+00:00,5e-05
2026-04-16 00:00:00+00:00,-6.66166124919e-05
2026-04-16 04:00:00+00:00,5e-05
2026-04-16 08:00:00+00:00,-0.0002984723305828
2026-04-16 12:00:00+00:00,6.5232389432e-06
2026-04-16 16:00:00+00:00,5e-05
2026-04-16 20:00:00+00:00,5e-05
2026-04-17 00:00:00+00:00,-1.95308701104e-05
2026-04-17 04:00:00+00:00,4.46210631997e-05
2026-04-17 08:00:00+00:00,-2.17669309766e-05
2026-04-17 12:00:00+00:00,1.18792789829e-05
2026-04-17 16:00:00+00:00,-1.68368249847e-05
2026-04-17 20:00:00+00:00,5e-05
2026-04-18 00:00:00+00:00,3.89316597249e-05
2026-04-18 04:00:00+00:00,5e-05
2026-04-18 08:00:00+00:00,5e-05
2026-04-18 12:00:00+00:00,3.58672945156e-05
2026-04-18 16:00:00+00:00,5e-05
2026-04-18 20:00:00+00:00,5e-05
2026-04-19 00:00:00+00:00,3.3767427254e-06
2026-04-19 04:00:00+00:00,5e-05
2026-04-19 08:00:00+00:00,1.73841263502e-05
2026-04-19 12:00:00+00:00,5e-05
2026-04-19 16:00:00+00:00,5e-05
2026-04-19 20:00:00+00:00,5e-05
2026-04-20 00:00:00+00:00,2.33010574741e-05
2026-04-20 04:00:00+00:00,4.72457208398e-05
2026-04-20 08:00:00+00:00,5e-05
