ts,open,high,low,close,volume
2024-08-06 10:00:00+00:00,0.7326,0.7461,0.7055,0.7094,145950.0
2024-08-06 11:00:00+00:00,0.7085,0.713,0.6915,0.6984,661780.0
2024-08-06 12:00:00+00:00,0.698,0.709,0.6875,0.6937,513050.0
2024-08-06 13:00:00+00:00,0.6938,0.7008,0.677,0.7005,583390.0
2024-08-06 14:00:00+00:00,0.6997,0.7333,0.6969,0.7192,817380.0
2024-08-06 15:00:00+00:00,0.7195,0.7277,0.707,0.7265,434050.0
2024-08-06 16:00:00+00:00,0.7262,0.734,0.7169,0.729,398680.0
2024-08-06 17:00:00+00:00,0.7289,0.733,0.7129,0.7151,366180.0
2024-08-06 18:00:00+00:00,0.7144,0.7289,0.7133,0.7189,108600.0
2024-08-06 19:00:00+00:00,0.7188,0.7216,0.7115,0.7182,66200.0
2024-08-06 20:00:00+00:00,0.7175,0.721,0.7086,0.7153,152890.0
2024-08-06 21:00:00+00:00,0.7155,0.7223,0.7128,0.7197,25740.0
2024-08-06 22:00:00+00:00,0.7216,0.7374,0.7116,0.7151,288910.0
2024-08-06 23:00:00+00:00,0.7156,0.7202,0.7014,0.7069,132550.0
2024-08-07 00:00:00+00:00,0.7073,0.71,0.692,0.703,143540.0
2024-08-07 01:00:00+00:00,0.703,0.7245,0.6919,0.7225,304510.0
2024-08-07 02:00:00+00:00,0.7218,0.7389,0.7122,0.7235,366450.0
2024-08-07 03:00:00+00:00,0.7246,0.7339,0.723,0.7295,222780.0
2024-08-07 04:00:00+00:00,0.7284,0.7465,0.7279,0.7354,240670.0
2024-08-07 05:00:00+00:00,0.7352,0.745,0.7276,0.7327,346980.0
2024-08-07 06:00:00+00:00,0.7323,0.7355,0.7223,0.7232,254340.0
2024-08-07 07:00:00+00:00,0.7236,0.7345,0.7177,0.73,182760.0
2024-08-07 08:00:00+00:00,0.7297,0.7386,0.7246,0.7337,292900.0
2024-08-07 09:00:00+00:00,0.7346,0.7464,0.7268,0.7368,343920.0
2024-08-07 10:00:00+00:00,0.7369,0.743,0.7111,0.7315,499290.0
2024-08-07 11:00:00+00:00,0.7315,0.7315,0.714,0.717,590720.0
2024-08-07 12:00:00+00:00,0.7171,0.726,0.7103,0.7236,392410.0
2024-08-07 13:00:00+00:00,0.7243,0.73,0.7086,0.7125,394140.0
2024-08-07 14:00:00+00:00,0.7133,0.7167,0.6805,0.6903,829280.0
2024-08-07 15:00:00+00:00,0.69,0.6995,0.6847,0.6904,459910.0
2024-08-07 16:00:00+00:00,0.6899,0.6924,0.6815,0.6854,270200.0
2024-08-07 17:00:00+00:00,0.6852,0.6878,0.6699,0.6745,521100.0
2024-08-07 18:00:00+00:00,0.6738,0.6764,0.6587,0.6613,282310.0
2024-08-07 19:00:00+00:00,0.6615,0.6686,0.6576,0.6614,139980.0
2024-08-07 20:00:00+00:00,0.6611,0.6649,0.6465,0.655,312380.0
2024-08-07 21:00:00+00:00,0.6562,0.6662,0.6485,0.6653,300690.0
2024-08-07 22:00:00+00:00,0.664,0.6652,0.6442,0.6582,219550.0
2024-08-07 23:00:00+00:00,0.658,0.6633,0.6507,0.6538,164690.0
2024-08-08 00:00:00+00:00,0.6546,0.6634,0.6447,0.6613,273330.0
2024-08-08 01:00:00+00:00,0.6611,0.7004,0.6588,0.7004,745750.0
2024-08-08 02:00:00+00:00,0.7007,0.7146,0.6994,0.7034,837260.0
2024-08-08 03:00:00+00:00,0.7035,0.7192,0.7035,0.7079,753380.0
2024-08-08 04:00:00+00:00,0.7074,0.7158,0.6996,0.6996,406770.0
2024-08-08 05:00:00+00:00,0.6998,0.7111,0.699,0.707,496880.0
2024-08-08 06:00:00+00:00,0.7071,0.718,0.7034,0.7147,583040.0
2024-08-08 07:00:00+00:00,0.7152,0.7163,0.705,0.7053,411920.0
2024-08-08 08:00:00+00:00,0.7053,0.7177,0.7036,0.7126,351180.0
2024-08-08 09:00:00+00:00,0.7126,0.7183,0.7091,0.712,243840.0
2024-08-08 10:00:00+00:00,0.7125,0.7284,0.7088,0.7245,552840.0
2024-08-08 11:00:00+00:00,0.7261,0.7266,0.7161,0.7167,394720.0
