,funding
2026-04-07 08:00:00+00:00,-6.78878982798e-05
2026-04-07 12:00:00+00:00,-2.91827459612e-05
2026-04-07 16:00:00+00:00,5e-05
2026-04-07 20:00:00+00:00,-0.0001206015468995
2026-04-08 00:00:00+00:00,2.46368995928e-05
2026-04-08 04:00:00+00:00,5e-05
2026-04-08 08:00:00+00:00,5e-05
2026-04-08 12:00:00+00:00,5e-05
2026-04-08 16:00:00+00:00,5e-05
2026-04-08 20:00:00+00:00,5e-05
2026-04-09 00:00:00+00:00,5e-05
2026-04-09 04:00:00+00:00,5e-05
2026-04-09 08:00:00+00:00,5e-05
2026-04-09 12:00:00+00:00,-5.34607416288e-05
2026-04-09 16:00:00+00:00,-0.0001103197121647
2026-04-09 20:00:00+00:00,-0.0001332889000827
2026-04-10 00:00:00+00:00,5e-05
2026-04-10 04:00:00+00:00,-2.91011968475e-05
2026-04-10 08:00:00+00:00,-0.000141173631889
2026-04-10 12:00:00+00:00,-1.23421385883e-05
2026-04-10 16:00:00+00:00,-0.0002559891500324
2026-04-10 20:00:00+00:00,-7.2589364044e-06
2026-04-11 00:00:00+00:00,5e-05
2026-04-11 04:00:00+00:00,1.74054982845e-05
2026-04-11 08:00:00+00:00,5e-05
2026-04-11 12:00:00+00:00,5e-05
2026-04-11 16:00:00+00:00,-6.22673797132e-05
2026-04-11 20:00:00+00:00,1.98806572584e-05
2026-04-12 00:00:00+00:00,5e-05
2026-04-12 04:00:00+00:00,-0.0001579912974702
2026-04-12 08:00:00+00:00,-1.44628818475e-05
2026-04-12 12:00:00+00:00,5e-05
2026-04-12 16:00:00+00:00,-3.02240294181e-05
2026-04-12 20:00:00+00:00,-7.48437479424e-05
2026-04-13 00:00:00+00:00,-9.62544702456e-05
2026-04-13 04:00:00+00:00,-0.0001035514924978
2026-04-13 08:00:00+00:00,-0.0001192305040701
2026-04-13 12:00:00+00:00,5e-05
2026-04-13 16:00:00+00:00,5e-05
2026-04-13 20:00:00+00:00,-0.0001912722590202
2026-04-14 00:00:00+00:00,5e-05
2026-04-14 04:00:00+00:00,5e-05
2026-04-14 08:00:00+00:00,5e-05
2026-04-14 12:00:00+00:00,5e-05
2026-04-14 16:00:00+00:00,-2.01560705841e-05
2026-04-14 20:00:00+00:00,-7.84951006453e-05
2026-04-15 00:00:00+00:00,5e-05
2026-04-15 04:00:00+00:00,5e-05
2026-04-15 08:00:00+00:00,3.64078018863e-05
2026-04-15 12:00:00+00:00,5e-05
2026-04-15 16:00:00+00:00,5e-05
2026-04-15 20:00:00+00:00,-1.28571889669e-05
2026-04-16 00:00:00+00:00,5e-05
2026-04-16 04:00:00+00:00,5e-05
2026-04-16 08:00:00+00:00,5e-05
2026-04-16 12:00:00+00:00,5e-05
2026-04-16 16:00:00+00:00,5e-05
2026-04-16 20:00:00+00:00,5e-05
2026-04-17 00:00:00+00:00,5e-05
2026-04-17 04:00:00+00:00,5e-05
2026-04-17 08:00:00+00:00,5e-05
2026-04-17 12:00:00+00:00,-0.0001111985185721
2026-04-17 16:00:00+00:00,5e-05
2026-04-17 20:00:00+00:00,5e-05
2026-04-18 00:00:00+00:00,5e-05
2026-04-18 04:00:00+00:00,5e-05
2026-04-18 08:00:00+00:00,5e-05
2026-04-18 12:00:00+00:00,-2.55709774696e-05
2026-04-18 16:00:00+00:00,-8.3301435075e-05
2026-04-18 20:00:00+00:00,-9.16249751663e-05
2026-04-19 00:00:00+00:00,-0.0002848589404348
