ts,open,high,low,close,volume
2025-03-25 13:00:00+00:00,0.3406,0.4398,0.3313,0.4093,121908300.0
2025-03-25 14:00:00+00:00,0.4091,0.4271,0.3635,0.3795,210770790.0
2025-03-25 15:00:00+00:00,0.3794,0.3859,0.3326,0.3423,151224790.0
2025-03-25 16:00:00+00:00,0.3423,0.3796,0.328,0.3623,165306430.0
2025-03-25 17:00:00+00:00,0.3623,0.3791,0.3501,0.3611,82829770.0
2025-03-25 18:00:00+00:00,0.3609,0.3628,0.3345,0.3427,53740860.0
2025-03-25 19:00:00+00:00,0.3426,0.3554,0.3377,0.3479,32170750.0
2025-03-25 20:00:00+00:00,0.3479,0.3507,0.3163,0.3222,40602200.0
2025-03-25 21:00:00+00:00,0.3221,0.333,0.3135,0.324,34689350.0
2025-03-25 22:00:00+00:00,0.324,0.326,0.3,0.3042,32766130.0
2025-03-25 23:00:00+00:00,0.3042,0.3427,0.3026,0.3285,68995110.0
2025-03-26 00:00:00+00:00,0.3284,0.3325,0.312,0.3242,54782460.0
2025-03-26 01:00:00+00:00,0.3242,0.3613,0.3241,0.3483,78200800.0
2025-03-26 02:00:00+00:00,0.3484,0.3689,0.3413,0.3631,73630880.0
2025-03-26 03:00:00+00:00,0.3631,0.3728,0.348,0.3526,65967410.0
2025-03-26 04:00:00+00:00,0.3525,0.3773,0.3486,0.3689,60219120.0
2025-03-26 05:00:00+00:00,0.3689,0.371,0.3551,0.3592,46087850.0
2025-03-26 06:00:00+00:00,0.3591,0.3625,0.3501,0.3562,38457350.0
2025-03-26 07:00:00+00:00,0.3561,0.3592,0.345,0.3556,41379090.0
2025-03-26 08:00:00+00:00,0.3554,0.4076,0.354,0.3912,137775390.0
2025-03-26 09:00:00+00:00,0.3914,0.4,0.3767,0.3852,74140930.0
2025-03-26 10:00:00+00:00,0.385,0.3966,0.3776,0.3809,50625000.0
2025-03-26 11:00:00+00:00,0.3811,0.3916,0.3737,0.3863,41509430.0
2025-03-26 12:00:00+00:00,0.3864,0.4017,0.3824,0.389,69228370.0
2025-03-26 13:00:00+00:00,0.3889,0.395,0.3521,0.3605,95067170.0
2025-03-26 14:00:00+00:00,0.3606,0.3699,0.3562,0.3639,57732280.0
2025-03-26 15:00:00+00:00,0.364,0.3657,0.3485,0.3537,44938960.0
2025-03-26 16:00:00+00:00,0.3536,0.3616,0.3302,0.3376,70337730.0
2025-03-26 17:00:00+00:00,0.3375,0.3378,0.3162,0.3229,68721300.0
2025-03-26 18:00:00+00:00,0.3229,0.3364,0.3126,0.3252,57646110.0
2025-03-26 19:00:00+00:00,0.3252,0.3379,0.3208,0.3301,40062740.0
2025-03-26 20:00:00+00:00,0.3299,0.3507,0.3275,0.3476,27483100.0
2025-03-26 21:00:00+00:00,0.3477,0.3588,0.3425,0.3451,31366860.0
2025-03-26 22:00:00+00:00,0.3451,0.3483,0.3372,0.3391,16194700.0
2025-03-26 23:00:00+00:00,0.3391,0.3488,0.3333,0.343,25108990.0
2025-03-27 00:00:00+00:00,0.3431,0.3699,0.3335,0.3607,47846600.0
2025-03-27 01:00:00+00:00,0.3608,0.3699,0.3579,0.3612,26355520.0
2025-03-27 02:00:00+00:00,0.3613,0.384,0.3601,0.3727,43292100.0
2025-03-27 03:00:00+00:00,0.3728,0.3779,0.3655,0.3702,31808280.0
2025-03-27 04:00:00+00:00,0.3701,0.3749,0.3637,0.3661,26108280.0
2025-03-27 05:00:00+00:00,0.3662,0.3784,0.3614,0.3709,32692970.0
2025-03-27 06:00:00+00:00,0.3708,0.3752,0.361,0.3614,24956780.0
2025-03-27 07:00:00+00:00,0.3616,0.3726,0.352,0.3693,42887800.0
2025-03-27 08:00:00+00:00,0.3692,0.3741,0.3603,0.3622,40840190.0
2025-03-27 09:00:00+00:00,0.3623,0.3643,0.3506,0.3565,33824140.0
2025-03-27 10:00:00+00:00,0.3566,0.3569,0.34,0.3431,36190380.0
2025-03-27 11:00:00+00:00,0.343,0.3501,0.3389,0.3425,27892290.0
2025-03-27 12:00:00+00:00,0.3426,0.3427,0.331,0.3359,38164470.0
2025-03-27 13:00:00+00:00,0.3357,0.3491,0.3355,0.3482,42071870.0
2025-03-27 14:00:00+00:00,0.3481,0.3556,0.3394,0.3523,35122990.0
2025-03-27 15:00:00+00:00,0.3522,0.3568,0.3425,0.3438,35484680.0
2025-03-27 16:00:00+00:00,0.3438,0.3473,0.3407,0.345,22892990.0
2025-03-27 17:00:00+00:00,0.345,0.3508,0.3365,0.3452,29150340.0
2025-03-27 18:00:00+00:00,0.3453,0.3537,0.3401,0.3439,23771820.0
2025-03-27 19:00:00+00:00,0.3439,0.3463,0.3402,0.3415,9594200.0
2025-03-27 20:00:00+00:00,0.3415,0.3423,0.3223,0.3269,33678880.0
2025-03-27 21:00:00+00:00,0.3271,0.3441,0.3258,0.3422,14659630.0
2025-03-27 22:00:00+00:00,0.3422,0.3455,0.3374,0.3396,16073910.0
2025-03-27 23:00:00+00:00,0.3397,0.345,0.3375,0.3422,15333770.0
2025-03-28 00:00:00+00:00,0.3422,0.3589,0.3345,0.3501,38488600.0
2025-03-28 01:00:00+00:00,0.3504,0.3584,0.3456,0.3481,34533560.0
2025-03-28 02:00:00+00:00,0.3482,0.356,0.345,0.3475,23803050.0
2025-03-28 03:00:00+00:00,0.3475,0.3552,0.3455,0.3542,20229800.0
2025-03-28 04:00:00+00:00,0.3542,0.3562,0.3319,0.3395,45860080.0
2025-03-28 05:00:00+00:00,0.3394,0.3401,0.3255,0.3287,30056940.0
2025-03-28 06:00:00+00:00,0.3287,0.3363,0.3271,0.3313,23088440.0
2025-03-28 07:00:00+00:00,0.3312,0.3353,0.3123,0.316,41651370.0
2025-03-28 08:00:00+00:00,0.316,0.3212,0.3106,0.3169,29334340.0
2025-03-28 09:00:00+00:00,0.317,0.3268,0.3132,0.3184,25823670.0
2025-03-28 10:00:00+00:00,0.3185,0.3208,0.3003,0.3038,50886530.0
2025-03-28 11:00:00+00:00,0.3038,0.318,0.297,0.3151,53507060.0
2025-03-28 12:00:00+00:00,0.3151,0.3218,0.312,0.3165,29563830.0
2025-03-28 13:00:00+00:00,0.3165,0.3192,0.311,0.3126,20157920.0
2025-03-28 14:00:00+00:00,0.3127,0.3185,0.3104,0.3173,23208970.0
2025-03-28 15:00:00+00:00,0.3173,0.3197,0.3127,0.3147,17939290.0
2025-03-28 16:00:00+00:00,0.3147,0.3194,0.3126,0.3139,21226100.0
2025-03-28 17:00:00+00:00,0.3138,0.334,0.3127,0.3235,32578540.0
2025-03-28 18:00:00+00:00,0.3235,0.3265,0.317,0.3183,12292600.0
2025-03-28 19:00:00+00:00,0.3182,0.3199,0.3161,0.318,6530660.0
2025-03-28 20:00:00+00:00,0.3179,0.3207,0.3131,0.3144,7399260.0
2025-03-28 21:00:00+00:00,0.3144,0.319,0.3113,0.3152,6282410.0
2025-03-28 22:00:00+00:00,0.3152,0.3205,0.3147,0.3189,8174970.0
2025-03-28 23:00:00+00:00,0.3191,0.3193,0.31,0.3115,9200910.0
2025-03-29 00:00:00+00:00,0.3114,0.3165,0.3068,0.3103,16992070.0
2025-03-29 01:00:00+00:00,0.3102,0.3115,0.2995,0.3018,24088070.0
2025-03-29 02:00:00+00:00,0.3018,0.305,0.2944,0.2967,22583420.0
2025-03-29 03:00:00+00:00,0.2967,0.2975,0.2889,0.2893,26964100.0
2025-03-29 04:00:00+00:00,0.2893,0.2968,0.2891,0.2918,18046780.0
2025-03-29 05:00:00+00:00,0.2916,0.2919,0.2784,0.281,37804280.0
2025-03-29 06:00:00+00:00,0.281,0.2825,0.2762,0.2783,22744500.0
2025-03-29 07:00:00+00:00,0.2783,0.2785,0.2683,0.2706,32416170.0
2025-03-29 08:00:00+00:00,0.2706,0.2731,0.2658,0.268,24770960.0
2025-03-29 09:00:00+00:00,0.2682,0.2697,0.2514,0.2568,50891690.0
