,funding
2026-04-07 08:00:00+00:00,5e-05
2026-04-07 12:00:00+00:00,9.8677082967e-06
2026-04-07 16:00:00+00:00,5e-05
2026-04-07 20:00:00+00:00,5e-05
2026-04-08 00:00:00+00:00,5e-05
2026-04-08 04:00:00+00:00,-5.9852142334e-06
2026-04-08 08:00:00+00:00,5e-05
2026-04-08 12:00:00+00:00,3.27294596713e-05
2026-04-08 16:00:00+00:00,-1.14076327504e-05
2026-04-08 20:00:00+00:00,-5.3875127561e-06
2026-04-09 00:00:00+00:00,-1.38375732811e-05
2026-04-09 04:00:00+00:00,-3.46209734491e-05
2026-04-09 08:00:00+00:00,-7.28189127887e-05
2026-04-09 12:00:00+00:00,-4.99553511706e-05
2026-04-09 16:00:00+00:00,5e-05
2026-04-09 20:00:00+00:00,5e-05
2026-04-10 00:00:00+00:00,4.5919568851e-05
2026-04-10 04:00:00+00:00,2.676631528e-06
2026-04-10 08:00:00+00:00,-3.91474261642e-05
2026-04-10 12:00:00+00:00,-5.61075579021e-05
2026-04-10 16:00:00+00:00,-6.3426174606e-05
2026-04-10 20:00:00+00:00,-9.1651091883e-06
2026-04-11 00:00:00+00:00,2.90230417997e-05
2026-04-11 04:00:00+00:00,-6.60720222003e-05
2026-04-11 08:00:00+00:00,5e-05
2026-04-11 12:00:00+00:00,-2.49041013661e-05
2026-04-11 16:00:00+00:00,-4.90745542818e-05
2026-04-11 20:00:00+00:00,5e-05
2026-04-12 00:00:00+00:00,5e-05
2026-04-12 04:00:00+00:00,-9.672171061e-06
2026-04-12 08:00:00+00:00,5e-05
2026-04-12 12:00:00+00:00,5e-05
2026-04-12 16:00:00+00:00,5e-05
2026-04-12 20:00:00+00:00,2.48294579475e-05
2026-04-13 00:00:00+00:00,1.35906453771e-05
2026-04-13 04:00:00+00:00,5e-05
2026-04-13 08:00:00+00:00,7.5086083256e-06
2026-04-13 12:00:00+00:00,2.64684183196e-05
2026-04-13 16:00:00+00:00,1.3015868132e-05
2026-04-13 20:00:00+00:00,5e-05
2026-04-14 00:00:00+00:00,5e-05
2026-04-14 04:00:00+00:00,5e-05
2026-04-14 08:00:00+00:00,5e-05
2026-04-14 12:00:00+00:00,-1.6621792641e-06
2026-04-14 16:00:00+00:00,3.25059764104e-05
2026-04-14 20:00:00+00:00,5e-05
2026-04-15 00:00:00+00:00,-2.63878190089e-05
2026-04-15 04:00:00+00:00,1.62429454374e-05
2026-04-15 08:00:00+00:00,5e-05
2026-04-15 12:00:00+00:00,5e-05
2026-04-15 16:00:00+00:00,-3.61607746982e-05
2026-04-15 20:00:00+00:00,-2.93366329121e-05
2026-04-16 00:00:00+00:00,4.27846807808e-05
2026-04-16 04:00:00+00:00,2.09572139479e-05
2026-04-16 08:00:00+00:00,5e-05
2026-04-16 12:00:00+00:00,5e-05
2026-04-16 16:00:00+00:00,2.61357041062e-05
2026-04-16 20:00:00+00:00,5e-05
2026-04-17 00:00:00+00:00,5e-05
2026-04-17 04:00:00+00:00,5e-05
2026-04-17 08:00:00+00:00,5e-05
2026-04-17 12:00:00+00:00,-4.40205657517e-05
2026-04-17 16:00:00+00:00,1.04264496793e-05
2026-04-17 20:00:00+00:00,-6.7245498084e-06
2026-04-18 00:00:00+00:00,2.21664385127e-05
2026-04-18 04:00:00+00:00,5e-05
2026-04-18 08:00:00+00:00,2.30348869733e-05
2026-04-18 12:00:00+00:00,5e-05
2026-04-18 16:00:00+00:00,1.29651243283e-05
2026-04-18 20:00:00+00:00,4.88076387342e-05
2026-04-19 00:00:00+00:00,-0.0001066773098965
2026-04-19 04:00:00+00:00,5e-05
2026-04-19 08:00:00+00:00,5e-05
2026-04-19 12:00:00+00:00,2.64301002769e-05
2026-04-19 16:00:00+00:00,1.11794604994e-05
2026-04-19 20:00:00+00:00,1.4330462875e-05
2026-04-20 00:00:00+00:00,5e-05
2026-04-20 04:00:00+00:00,-6.35786535687e-05
2026-04-20 08:00:00+00:00,5e-05
2026-04-20 12:00:00+00:00,5e-05
2026-04-20 16:00:00+00:00,5e-05
2026-04-20 20:00:00+00:00,-7.01590508787e-05
2026-04-21 00:00:00+00:00,5e-05
2026-04-21 04:00:00+00:00,1.86378702189e-05
2026-04-21 08:00:00+00:00,1.05462696754e-05
2026-04-21 12:00:00+00:00,5e-05
2026-04-21 16:00:00+00:00,5e-05
2026-04-21 20:00:00+00:00,5e-05
2026-04-22 00:00:00+00:00,5e-05
2026-04-22 04:00:00+00:00,4.679932357e-06
2026-04-22 08:00:00+00:00,-2.19666362177e-05
2026-04-22 12:00:00+00:00,-3.49482717336e-05
2026-04-22 16:00:00+00:00,5e-05
2026-04-22 20:00:00+00:00,5e-05
2026-04-23 00:00:00+00:00,5e-05
2026-04-23 04:00:00+00:00,-2.31607589281e-05
2026-04-23 08:00:00+00:00,3.61536076518e-05
2026-04-23 12:00:00+00:00,5e-05
2026-04-23 16:00:00+00:00,-2.08319890108e-05
