,funding
2026-04-07 08:00:00+00:00,-0.0002805724712029
2026-04-07 12:00:00+00:00,-0.0002116568459307
2026-04-07 16:00:00+00:00,-0.0002743116682812
2026-04-07 20:00:00+00:00,-6.48473329135e-05
2026-04-08 00:00:00+00:00,5e-05
2026-04-08 04:00:00+00:00,5e-05
2026-04-08 08:00:00+00:00,5e-05
2026-04-08 12:00:00+00:00,-4.23826639721e-05
2026-04-08 16:00:00+00:00,-0.0002932517303232
2026-04-08 20:00:00+00:00,-5.66663210687e-05
2026-04-09 00:00:00+00:00,-9.59730660716e-05
2026-04-09 04:00:00+00:00,5e-05
2026-04-09 08:00:00+00:00,3.32021044585e-05
2026-04-09 12:00:00+00:00,-0.0001764079625402
2026-04-09 16:00:00+00:00,-0.0002806238235304
2026-04-09 20:00:00+00:00,-0.0003819787632375
2026-04-10 00:00:00+00:00,-0.0003497194581622
2026-04-10 04:00:00+00:00,-1.91655163121e-05
2026-04-10 08:00:00+00:00,5e-05
2026-04-10 12:00:00+00:00,-0.0005400555863422
2026-04-10 16:00:00+00:00,-0.0007649913884331
2026-04-10 20:00:00+00:00,-0.0010152861958728
2026-04-11 00:00:00+00:00,-0.0008123853298322
2026-04-11 04:00:00+00:00,-0.0012271315416291
2026-04-11 08:00:00+00:00,-0.0019907362555361
2026-04-11 12:00:00+00:00,-0.0016785630267466
2026-04-11 16:00:00+00:00,-0.0017079463117628
2026-04-11 20:00:00+00:00,-0.0006879729872042
2026-04-12 00:00:00+00:00,-0.0005148949089457
2026-04-12 04:00:00+00:00,-0.0018528749127052
2026-04-12 08:00:00+00:00,-0.0020243255659104
2026-04-12 12:00:00+00:00,-0.0004218992590164
2026-04-12 16:00:00+00:00,-0.0008122583392814
2026-04-12 20:00:00+00:00,-0.0012523947108319
2026-04-13 00:00:00+00:00,-0.0009805004289092
2026-04-13 04:00:00+00:00,-0.0006917525083564
2026-04-13 08:00:00+00:00,-0.0010447988814012
2026-04-13 12:00:00+00:00,-0.0006985992802327
2026-04-13 16:00:00+00:00,-0.0009888084633418
2026-04-13 20:00:00+00:00,-0.0006473341364337
2026-04-14 00:00:00+00:00,-0.0003559300908875
2026-04-14 04:00:00+00:00,-0.0004691274495587
2026-04-14 08:00:00+00:00,-0.0004729830060562
2026-04-14 12:00:00+00:00,-0.0006555155006902
2026-04-14 16:00:00+00:00,-0.0005238109401277
2026-04-14 20:00:00+00:00,-0.0002959218507438
2026-04-15 00:00:00+00:00,-0.0001562634922655
2026-04-15 04:00:00+00:00,-8.1690577154e-05
2026-04-15 08:00:00+00:00,-9.710585225e-05
2026-04-15 12:00:00+00:00,-0.0001137159127158
2026-04-15 16:00:00+00:00,2.69519607122e-05
2026-04-15 20:00:00+00:00,3.17044199534e-05
2026-04-16 00:00:00+00:00,-1.78556888637e-05
2026-04-16 04:00:00+00:00,3.57992185865e-05
2026-04-16 08:00:00+00:00,-8.42019613447e-05
2026-04-16 12:00:00+00:00,5e-05
2026-04-16 16:00:00+00:00,5e-05
2026-04-16 20:00:00+00:00,5e-05
2026-04-17 00:00:00+00:00,5e-05
2026-04-17 04:00:00+00:00,5e-05
2026-04-17 08:00:00+00:00,5e-05
2026-04-17 12:00:00+00:00,-0.0002113200735167
2026-04-17 16:00:00+00:00,-7.597716754e-07
2026-04-17 20:00:00+00:00,5e-05
2026-04-18 00:00:00+00:00,5e-05
2026-04-18 04:00:00+00:00,5e-05
2026-04-18 08:00:00+00:00,5e-05
2026-04-18 12:00:00+00:00,-8.1251743971e-05
2026-04-18 16:00:00+00:00,-6.83737525102e-05
2026-04-18 20:00:00+00:00,-0.0002208385103091
2026-04-19 00:00:00+00:00,-1.75283409839e-05
2026-04-19 04:00:00+00:00,-5.506401779e-06
2026-04-19 08:00:00+00:00,-7.92669713047e-05
2026-04-19 12:00:00+00:00,-0.0001556536707359
2026-04-19 16:00:00+00:00,-0.0001493638085984
