,funding
2026-04-07 16:00:00+00:00,-0.0003864842675055
2026-04-08 00:00:00+00:00,6.29995710521e-05
2026-04-08 08:00:00+00:00,-0.0001007180043599
2026-04-08 16:00:00+00:00,0.0001
2026-04-09 00:00:00+00:00,1.63116145959e-05
2026-04-09 08:00:00+00:00,-4.8367631237e-06
2026-04-09 16:00:00+00:00,0.0001
2026-04-10 00:00:00+00:00,9.28167468002e-05
2026-04-10 08:00:00+00:00,-5.14646596106e-05
2026-04-10 16:00:00+00:00,-0.0001249099616562
2026-04-11 00:00:00+00:00,2.13898089426e-05
2026-04-11 08:00:00+00:00,9.83632821065e-05
2026-04-11 16:00:00+00:00,9.591424487e-06
2026-04-12 00:00:00+00:00,0.0001
2026-04-12 08:00:00+00:00,8.70016116641e-05
2026-04-12 16:00:00+00:00,9.51486251434e-05
2026-04-13 00:00:00+00:00,-5.1970270982e-05
2026-04-13 08:00:00+00:00,-1.62307466182e-05
2026-04-13 16:00:00+00:00,-6.07309388032e-05
2026-04-14 00:00:00+00:00,5.56694870147e-05
2026-04-14 08:00:00+00:00,0.0001
2026-04-14 16:00:00+00:00,5.55702723438e-05
2026-04-15 00:00:00+00:00,0.0001
2026-04-15 08:00:00+00:00,6.223500452e-07
2026-04-15 16:00:00+00:00,2.95757925772e-05
2026-04-16 00:00:00+00:00,0.0001
2026-04-16 08:00:00+00:00,6.07428179584e-05
2026-04-16 16:00:00+00:00,6.65856383439e-05
2026-04-17 00:00:00+00:00,0.0001
2026-04-17 08:00:00+00:00,6.7232025355e-06
2026-04-17 16:00:00+00:00,-6.26371977067e-05
2026-04-18 00:00:00+00:00,0.0001
2026-04-18 08:00:00+00:00,0.0001
2026-04-18 16:00:00+00:00,0.0001
2026-04-19 00:00:00+00:00,-8.24454324344e-05
2026-04-19 08:00:00+00:00,0.0001
2026-04-19 16:00:00+00:00,0.0001
2026-04-20 00:00:00+00:00,-7.18352000056e-05
2026-04-20 08:00:00+00:00,0.0001
2026-04-20 16:00:00+00:00,-0.0002849959987194
2026-04-21 00:00:00+00:00,0.0001
2026-04-21 08:00:00+00:00,-1.3082316776e-06
2026-04-21 16:00:00+00:00,0.0001
2026-04-22 00:00:00+00:00,-8.57939565558e-05
2026-04-22 08:00:00+00:00,7.16117402339e-05
2026-04-22 16:00:00+00:00,-0.0002200525653277
2026-04-23 00:00:00+00:00,0.0001
2026-04-23 08:00:00+00:00,-0.0002241247989659
2026-04-23 16:00:00+00:00,-0.0001294741981297
2026-04-24 00:00:00+00:00,7.40994422176e-05
2026-04-24 08:00:00+00:00,-0.000189174886301
2026-04-24 16:00:00+00:00,-0.0002069915804991
2026-04-25 00:00:00+00:00,-0.0004863237993217
2026-04-25 08:00:00+00:00,-0.0001073391345852
2026-04-25 16:00:00+00:00,-0.0005081378211628
2026-04-26 00:00:00+00:00,9.159465839e-06
2026-04-26 08:00:00+00:00,-7.99935205873e-05
2026-04-26 16:00:00+00:00,-0.0002146942637351
2026-04-27 00:00:00+00:00,-5.74774889739e-05
2026-04-27 08:00:00+00:00,-6.08693828715e-05
2026-04-27 16:00:00+00:00,-8.4367143711e-06
2026-04-28 00:00:00+00:00,-4.07277034861e-05
2026-04-28 08:00:00+00:00,-0.0002875258224381
2026-04-28 16:00:00+00:00,-0.0001055854177892
2026-04-29 00:00:00+00:00,1.01014582781e-05
2026-04-29 08:00:00+00:00,-0.0004913504020101
2026-04-29 16:00:00+00:00,1.77008038559e-05
2026-04-30 00:00:00+00:00,0.0001
2026-04-30 08:00:00+00:00,0.0001
2026-04-30 16:00:00+00:00,6.93869079484e-05
2026-05-01 00:00:00+00:00,-5.07493353546e-05
2026-05-01 08:00:00+00:00,2.09207573652e-05
2026-05-01 16:00:00+00:00,-4.08205732783e-05
2026-05-02 00:00:00+00:00,0.0001
2026-05-02 08:00:00+00:00,6.14268065399e-05
2026-05-02 16:00:00+00:00,-2.5678815858e-06
2026-05-03 00:00:00+00:00,-0.00016851280503
2026-05-03 08:00:00+00:00,9.96334351017e-05
2026-05-03 16:00:00+00:00,0.0001
2026-05-04 00:00:00+00:00,2.68352831465e-05
2026-05-04 08:00:00+00:00,3.53623427129e-05
2026-05-04 16:00:00+00:00,4.85193451211e-05
2026-05-05 00:00:00+00:00,0.0001
2026-05-05 08:00:00+00:00,-1.07812426566e-05
2026-05-05 16:00:00+00:00,9.88066033317e-05
2026-05-06 00:00:00+00:00,0.0001
2026-05-06 08:00:00+00:00,8.76659995785e-05
2026-05-06 16:00:00+00:00,6.30398387138e-05
2026-05-07 00:00:00+00:00,1.14949389452e-05
2026-05-07 08:00:00+00:00,3.8912151236e-06
2026-05-07 16:00:00+00:00,9.19320770414e-05
2026-05-08 00:00:00+00:00,-9.05947307815e-05
2026-05-08 08:00:00+00:00,-7.41227591322e-05
2026-05-08 16:00:00+00:00,6.97594884746e-05
2026-05-09 00:00:00+00:00,-5.73416517253e-05
2026-05-09 08:00:00+00:00,0.0001
2026-05-09 16:00:00+00:00,0.0001
2026-05-10 00:00:00+00:00,8.694700835e-07
2026-05-10 08:00:00+00:00,-3.24696486748e-05
2026-05-10 16:00:00+00:00,-3.12599521885e-05
2026-05-11 00:00:00+00:00,2.29240617767e-05
2026-05-11 08:00:00+00:00,0.0001
2026-05-11 16:00:00+00:00,-2.39194042815e-05
2026-05-12 00:00:00+00:00,-0.0001010166207106
2026-05-12 08:00:00+00:00,0.0001
2026-05-12 16:00:00+00:00,-4.64574035281e-05
2026-05-13 00:00:00+00:00,6.37921983718e-05
2026-05-13 08:00:00+00:00,8.32018400786e-05
2026-05-13 16:00:00+00:00,6.89934643788e-05
2026-05-14 00:00:00+00:00,7.11181692481e-05
2026-05-14 08:00:00+00:00,0.0001
2026-05-14 16:00:00+00:00,6.65664390543e-05
2026-05-15 00:00:00+00:00,2.51553164881e-05
2026-05-15 08:00:00+00:00,4.07850487042e-05
