ts,open,high,low,close,volume
2024-12-11 10:00:00+00:00,1.706,1.7421,1.6745,1.6936,187563.0
2024-12-11 11:00:00+00:00,1.6948,1.7178,1.6654,1.6848,116629.0
2024-12-11 12:00:00+00:00,1.6835,1.7187,1.6718,1.6958,212808.0
2024-12-11 13:00:00+00:00,1.6957,1.7065,1.6215,1.6803,404634.0
2024-12-11 14:00:00+00:00,1.6803,1.7405,1.6626,1.7397,313820.0
2024-12-11 15:00:00+00:00,1.7399,1.7883,1.7297,1.7496,390712.0
2024-12-11 16:00:00+00:00,1.7493,1.7764,1.7317,1.756,288345.0
2024-12-11 17:00:00+00:00,1.7549,1.8044,1.7549,1.7842,192741.0
2024-12-11 18:00:00+00:00,1.7847,1.822,1.7724,1.8117,161798.0
2024-12-11 19:00:00+00:00,1.8121,1.8233,1.79,1.7967,113969.0
2024-12-11 20:00:00+00:00,1.7981,1.8431,1.7953,1.8387,133338.0
2024-12-11 21:00:00+00:00,1.8375,1.886,1.8332,1.8817,240958.0
2024-12-11 22:00:00+00:00,1.8808,1.9467,1.8715,1.9393,347733.0
2024-12-11 23:00:00+00:00,1.938,1.9664,1.9065,1.9118,283081.0
2024-12-12 00:00:00+00:00,1.9123,1.9342,1.8975,1.9134,281049.0
2024-12-12 01:00:00+00:00,1.9122,1.9203,1.8145,1.8496,600552.0
2024-12-12 02:00:00+00:00,1.8497,1.9029,1.8497,1.8966,205926.0
2024-12-12 03:00:00+00:00,1.8968,1.9712,1.8875,1.9341,315155.0
2024-12-12 04:00:00+00:00,1.9342,1.947,1.8943,1.9017,179260.0
2024-12-12 05:00:00+00:00,1.9016,1.9195,1.8849,1.8849,160853.0
2024-12-12 06:00:00+00:00,1.885,1.9017,1.8519,1.8921,190375.0
2024-12-12 07:00:00+00:00,1.8925,1.9022,1.8492,1.8509,155398.0
2024-12-12 08:00:00+00:00,1.8511,1.8636,1.8341,1.8542,166835.0
2024-12-12 09:00:00+00:00,1.8551,1.882,1.8551,1.8657,99666.0
2024-12-12 10:00:00+00:00,1.8656,1.8691,1.8323,1.8656,128188.0
2024-12-12 11:00:00+00:00,1.8652,1.905,1.8507,1.9041,198712.0
2024-12-12 12:00:00+00:00,1.9033,1.9469,1.9,1.9162,345207.0
2024-12-12 13:00:00+00:00,1.9173,1.979,1.8931,1.9102,418313.0
2024-12-12 14:00:00+00:00,1.9104,1.9345,1.8659,1.9142,216391.0
2024-12-12 15:00:00+00:00,1.9119,1.933,1.8898,1.9211,142808.0
2024-12-12 16:00:00+00:00,1.9211,1.971,1.9204,1.9485,174534.0
2024-12-12 17:00:00+00:00,1.9488,1.9529,1.9,1.9492,81557.0
2024-12-12 18:00:00+00:00,1.9484,1.9614,1.9251,1.9436,237858.0
2024-12-12 19:00:00+00:00,1.9441,2.0171,1.8885,1.9311,815313.0
2024-12-12 20:00:00+00:00,1.9339,2.0285,1.9318,2.0031,394518.0
2024-12-12 21:00:00+00:00,2.0026,2.0126,1.9724,1.9956,291791.0
2024-12-12 22:00:00+00:00,1.9951,2.0967,1.9943,2.0673,710616.0
2024-12-12 23:00:00+00:00,2.0678,2.1815,2.063,2.1774,797320.0
2024-12-13 00:00:00+00:00,2.1766,2.21,2.1437,2.163,1253306.0
2024-12-13 01:00:00+00:00,2.1625,2.1625,2.0939,2.1405,1173995.0
2024-12-13 02:00:00+00:00,2.142,2.1999,2.1271,2.1781,1003891.0
2024-12-13 03:00:00+00:00,2.1774,2.2636,2.1744,2.2274,1473550.0
2024-12-13 04:00:00+00:00,2.228,2.2342,2.1378,2.1559,1281500.0
2024-12-13 05:00:00+00:00,2.1568,2.1801,2.1298,2.1418,761818.0
2024-12-13 06:00:00+00:00,2.1416,2.2643,2.1318,2.2388,1871064.0
2024-12-13 07:00:00+00:00,2.2395,2.395,2.2052,2.3515,4000089.0
2024-12-13 08:00:00+00:00,2.3515,2.396,2.3237,2.3785,2028671.0
2024-12-13 09:00:00+00:00,2.3779,2.3785,2.2702,2.3006,2830158.0
2024-12-13 10:00:00+00:00,2.3002,2.3729,2.2885,2.3456,1829388.0
2024-12-13 11:00:00+00:00,2.3453,2.3659,2.2956,2.317,1440072.0
2024-12-13 12:00:00+00:00,2.3157,2.3314,2.2514,2.285,1629035.0
2024-12-13 13:00:00+00:00,2.2854,2.329,2.2677,2.3109,1224404.0
2024-12-13 14:00:00+00:00,2.3104,2.3679,2.2976,2.3518,1539628.0
2024-12-13 15:00:00+00:00,2.353,2.3869,2.3255,2.3379,2531910.0
2024-12-13 16:00:00+00:00,2.3367,2.449,2.3093,2.4023,2456520.0
2024-12-13 17:00:00+00:00,2.4022,2.4444,2.354,2.3772,1761890.0
2024-12-13 18:00:00+00:00,2.3772,2.4372,2.3167,2.3827,1673303.0
2024-12-13 19:00:00+00:00,2.3827,2.4427,2.3646,2.4082,1254521.0
2024-12-13 20:00:00+00:00,2.4074,2.5689,2.4029,2.5364,1465760.0
2024-12-13 21:00:00+00:00,2.537,2.6235,2.4926,2.5168,2362824.0
2024-12-13 22:00:00+00:00,2.5168,2.5439,2.4689,2.4826,1026426.0
2024-12-13 23:00:00+00:00,2.4826,2.5104,2.44,2.4578,1130112.0
2024-12-14 00:00:00+00:00,2.4577,2.5205,2.4323,2.4757,1464584.0
2024-12-14 01:00:00+00:00,2.4762,2.55,2.4762,2.5316,1032610.0
2024-12-14 02:00:00+00:00,2.5313,2.5571,2.4774,2.5177,1010745.0
2024-12-14 03:00:00+00:00,2.5177,2.5551,2.5001,2.5148,811679.0
2024-12-14 04:00:00+00:00,2.5155,2.5242,2.443,2.4466,743171.0
2024-12-14 05:00:00+00:00,2.4461,2.4842,2.4235,2.4693,831137.0
2024-12-14 06:00:00+00:00,2.4692,2.4849,2.432,2.4565,710305.0
2024-12-14 07:00:00+00:00,2.4561,2.4744,2.4347,2.4675,538072.0
2024-12-14 08:00:00+00:00,2.4671,2.4691,2.4118,2.4572,786137.0
2024-12-14 09:00:00+00:00,2.4583,2.5436,2.4563,2.531,892430.0
2024-12-14 10:00:00+00:00,2.5304,2.6129,2.5204,2.6008,1586636.0
2024-12-14 11:00:00+00:00,2.5993,2.646,2.543,2.5583,1566408.0
2024-12-14 12:00:00+00:00,2.5577,2.5699,2.495,2.5053,1123928.0
2024-12-14 13:00:00+00:00,2.5045,2.5418,2.4781,2.501,926556.0
2024-12-14 14:00:00+00:00,2.5004,2.6288,2.4932,2.5918,1771548.0
2024-12-14 15:00:00+00:00,2.5897,2.615,2.5619,2.583,1111328.0
2024-12-14 16:00:00+00:00,2.5813,2.6159,2.5399,2.6064,1309497.0
2024-12-14 17:00:00+00:00,2.6064,2.6264,2.512,2.5256,1322458.0
2024-12-14 18:00:00+00:00,2.527,2.5462,2.4715,2.4803,1053427.0
2024-12-14 19:00:00+00:00,2.4803,2.5303,2.4736,2.521,664831.0
2024-12-14 20:00:00+00:00,2.5217,2.5418,2.4512,2.4757,717417.0
2024-12-14 21:00:00+00:00,2.4759,2.5184,2.4682,2.5007,387340.0
2024-12-14 22:00:00+00:00,2.5012,2.514,2.4639,2.4692,425137.0
2024-12-14 23:00:00+00:00,2.4695,2.4997,2.4394,2.45,514828.0
2024-12-15 00:00:00+00:00,2.45,2.4833,2.4234,2.4252,778936.0
2024-12-15 01:00:00+00:00,2.4258,2.5068,2.4258,2.4847,871934.0
2024-12-15 02:00:00+00:00,2.4847,2.5252,2.4791,2.4984,426054.0
2024-12-15 03:00:00+00:00,2.4971,2.5026,2.424,2.4346,635660.0
2024-12-15 04:00:00+00:00,2.434,2.5059,2.4315,2.4868,706252.0
2024-12-15 05:00:00+00:00,2.4876,2.4894,2.4392,2.4623,521766.0
2024-12-15 06:00:00+00:00,2.4632,2.4737,2.4209,2.4303,646873.0
2024-12-15 07:00:00+00:00,2.43,2.438,2.3492,2.3576,956999.0
2024-12-15 08:00:00+00:00,2.3583,2.37,2.3379,2.3478,614529.0
2024-12-15 09:00:00+00:00,2.3474,2.3615,2.3223,2.3505,540784.0
2024-12-15 10:00:00+00:00,2.3504,2.3906,2.343,2.3689,502706.0
2024-12-15 11:00:00+00:00,2.3691,2.4246,2.3671,2.4229,500019.0
2024-12-15 12:00:00+00:00,2.4218,2.4451,2.4073,2.412,628333.0
2024-12-15 13:00:00+00:00,2.4119,2.4712,2.3966,2.4352,585741.0
2024-12-15 14:00:00+00:00,2.435,2.4686,2.4291,2.4522,289593.0
2024-12-15 15:00:00+00:00,2.4524,2.4834,2.4248,2.4723,388409.0
2024-12-15 16:00:00+00:00,2.4723,2.55,2.4569,2.5267,738455.0
2024-12-15 17:00:00+00:00,2.5261,2.6152,2.5042,2.5879,1147030.0
2024-12-15 18:00:00+00:00,2.5873,2.5954,2.5201,2.5519,941124.0
2024-12-15 19:00:00+00:00,2.5507,2.7086,2.5504,2.6423,1864417.0
2024-12-15 20:00:00+00:00,2.6439,2.695,2.6068,2.6771,895149.0
2024-12-15 21:00:00+00:00,2.6771,2.691,2.5683,2.5872,879650.0
