ts,open,high,low,close,volume
2025-08-28 11:00:00+00:00,0.585,0.6666,0.585,0.6404,14703720.0
2025-08-28 12:00:00+00:00,0.6404,0.7123,0.6278,0.6932,14219270.0
2025-08-28 13:00:00+00:00,0.6938,0.7051,0.6594,0.6698,13341450.0
2025-08-28 14:00:00+00:00,0.6699,0.6862,0.6478,0.6691,8779270.0
2025-08-28 15:00:00+00:00,0.669,0.7081,0.6674,0.6892,9649520.0
2025-08-28 16:00:00+00:00,0.6893,0.7171,0.6545,0.674,9471860.0
2025-08-28 17:00:00+00:00,0.674,0.7064,0.6708,0.6949,3970040.0
2025-08-28 18:00:00+00:00,0.6948,0.75,0.6862,0.733,5440710.0
2025-08-28 19:00:00+00:00,0.733,0.783,0.7211,0.7523,8301170.0
2025-08-28 20:00:00+00:00,0.7528,0.7738,0.7413,0.7707,4377260.0
2025-08-28 21:00:00+00:00,0.771,0.811,0.7616,0.7822,5880480.0
2025-08-28 22:00:00+00:00,0.7822,0.8101,0.7579,0.7691,3169620.0
2025-08-28 23:00:00+00:00,0.769,0.7887,0.7655,0.7812,2965910.0
2025-08-29 00:00:00+00:00,0.7815,0.8,0.7656,0.7806,4337940.0
2025-08-29 01:00:00+00:00,0.7805,0.8225,0.7417,0.764,10827350.0
2025-08-29 02:00:00+00:00,0.7642,0.8516,0.7593,0.7882,16519420.0
2025-08-29 03:00:00+00:00,0.788,0.8074,0.7499,0.7994,11843050.0
2025-08-29 04:00:00+00:00,0.7996,0.8223,0.7821,0.7967,6136560.0
2025-08-29 05:00:00+00:00,0.7967,0.8131,0.7828,0.8057,3873560.0
2025-08-29 06:00:00+00:00,0.8056,0.8229,0.7423,0.7832,12106500.0
2025-08-29 07:00:00+00:00,0.7829,0.792,0.7675,0.7887,5809100.0
2025-08-29 08:00:00+00:00,0.7885,0.8097,0.7656,0.7673,8433540.0
2025-08-29 09:00:00+00:00,0.7677,0.7821,0.7516,0.7722,7781090.0
2025-08-29 10:00:00+00:00,0.7725,0.7765,0.713,0.7312,10384660.0
2025-08-29 11:00:00+00:00,0.7309,0.7645,0.7186,0.7218,7891230.0
2025-08-29 12:00:00+00:00,0.7217,0.7605,0.6939,0.75,14239140.0
2025-08-29 13:00:00+00:00,0.75,0.7659,0.7224,0.726,6756040.0
2025-08-29 14:00:00+00:00,0.7262,0.7797,0.7242,0.7664,8291870.0
2025-08-29 15:00:00+00:00,0.7662,0.8067,0.7577,0.7624,8446510.0
2025-08-29 16:00:00+00:00,0.7624,0.7734,0.7391,0.7485,5539660.0
2025-08-29 17:00:00+00:00,0.749,0.7578,0.7265,0.7519,3649460.0
2025-08-29 18:00:00+00:00,0.7519,0.7549,0.7329,0.7418,2213570.0
2025-08-29 19:00:00+00:00,0.7416,0.7696,0.7399,0.7545,4508020.0
2025-08-29 20:00:00+00:00,0.7546,0.7571,0.7111,0.7277,2866160.0
2025-08-29 21:00:00+00:00,0.7278,0.7327,0.6875,0.7095,3773020.0
2025-08-29 22:00:00+00:00,0.7095,0.72,0.7029,0.7091,1636440.0
2025-08-29 23:00:00+00:00,0.7091,0.7146,0.687,0.6967,2994730.0
2025-08-30 00:00:00+00:00,0.6969,0.7256,0.6931,0.7078,4973130.0
2025-08-30 01:00:00+00:00,0.7078,0.7125,0.6802,0.6817,3350770.0
2025-08-30 02:00:00+00:00,0.6818,0.7091,0.6789,0.6973,3681660.0
2025-08-30 03:00:00+00:00,0.6972,0.7111,0.68,0.7053,4300310.0
2025-08-30 04:00:00+00:00,0.7055,0.7241,0.6913,0.6922,4386070.0
2025-08-30 05:00:00+00:00,0.6923,0.7032,0.6854,0.6965,3645090.0
2025-08-30 06:00:00+00:00,0.6967,0.7013,0.6848,0.6999,3656040.0
2025-08-30 07:00:00+00:00,0.7002,0.7288,0.6904,0.7115,9079470.0
