,funding
2026-04-07 08:00:00+00:00,-1.32373694053e-05
2026-04-07 16:00:00+00:00,-4.18462485247e-05
2026-04-08 00:00:00+00:00,6.86352598115e-05
2026-04-08 08:00:00+00:00,0.0001
2026-04-08 16:00:00+00:00,0.0001
2026-04-09 00:00:00+00:00,4.09657372868e-05
2026-04-09 08:00:00+00:00,-5.32419064639e-05
2026-04-09 16:00:00+00:00,-2.61384530762e-05
2026-04-10 00:00:00+00:00,0.0001
2026-04-10 08:00:00+00:00,1.06432366644e-05
2026-04-10 16:00:00+00:00,7.862315171e-05
2026-04-11 00:00:00+00:00,0.0001
2026-04-11 08:00:00+00:00,-5.5356299278e-06
2026-04-11 16:00:00+00:00,-8.32637958207e-05
2026-04-12 00:00:00+00:00,0.0001
2026-04-12 08:00:00+00:00,-0.0001080387130122
2026-04-12 16:00:00+00:00,-5.45231788201e-05
2026-04-13 00:00:00+00:00,-1.23895678586e-05
2026-04-13 08:00:00+00:00,4.30908845376e-05
2026-04-13 16:00:00+00:00,6.21205627379e-05
2026-04-14 00:00:00+00:00,0.0001
2026-04-14 08:00:00+00:00,0.0001
2026-04-14 16:00:00+00:00,0.0001
2026-04-15 00:00:00+00:00,-2.05672895526e-05
2026-04-15 08:00:00+00:00,2.15958817179e-05
2026-04-15 16:00:00+00:00,0.0001
2026-04-16 00:00:00+00:00,0.0001
2026-04-16 08:00:00+00:00,0.0001
2026-04-16 16:00:00+00:00,0.0001
2026-04-17 00:00:00+00:00,0.0001
2026-04-17 08:00:00+00:00,0.0001
2026-04-17 16:00:00+00:00,0.0001
2026-04-18 00:00:00+00:00,0.0001
2026-04-18 08:00:00+00:00,0.0001
2026-04-18 16:00:00+00:00,0.0001
2026-04-19 00:00:00+00:00,4.82415180257e-05
2026-04-19 08:00:00+00:00,0.0001
2026-04-19 16:00:00+00:00,5.11030758199e-05
2026-04-20 00:00:00+00:00,0.0001
2026-04-20 08:00:00+00:00,0.0001
2026-04-20 16:00:00+00:00,2.7271641397e-05
2026-04-21 00:00:00+00:00,-1.38543140395e-05
2026-04-21 08:00:00+00:00,7.15934478492e-05
2026-04-21 16:00:00+00:00,6.22638030351e-05
2026-04-22 00:00:00+00:00,0.0001
2026-04-22 08:00:00+00:00,0.0001
2026-04-22 16:00:00+00:00,8.85638288587e-05
2026-04-23 00:00:00+00:00,-1.68665812022e-05
2026-04-23 08:00:00+00:00,2.2214546358e-05
2026-04-23 16:00:00+00:00,7.81666045676e-05
2026-04-24 00:00:00+00:00,1.79686197322e-05
2026-04-24 08:00:00+00:00,0.0001
2026-04-24 16:00:00+00:00,7.6085299376e-05
2026-04-25 00:00:00+00:00,6.85185757263e-05
2026-04-25 08:00:00+00:00,5.73350543096e-05
2026-04-25 16:00:00+00:00,-8.58679838808e-05
2026-04-26 00:00:00+00:00,0.0001
2026-04-26 08:00:00+00:00,2.36266220016e-05
2026-04-26 16:00:00+00:00,6.37809848006e-05
2026-04-27 00:00:00+00:00,-2.7387433978e-05
2026-04-27 08:00:00+00:00,-7.55706583511e-05
2026-04-27 16:00:00+00:00,-1.26844820074e-05
2026-04-28 00:00:00+00:00,-3.69599942177e-05
2026-04-28 08:00:00+00:00,5.63597938337e-05
2026-04-28 16:00:00+00:00,0.0001
2026-04-29 00:00:00+00:00,-7.49541392067e-05
2026-04-29 08:00:00+00:00,8.89701189282e-05
2026-04-29 16:00:00+00:00,-6.64964571986e-05
2026-04-30 00:00:00+00:00,1.63691919685e-05
2026-04-30 08:00:00+00:00,4.28571479306e-05
2026-04-30 16:00:00+00:00,-2.69304670324e-05
2026-05-01 00:00:00+00:00,-0.0001191375684047
2026-05-01 08:00:00+00:00,7.95217584174e-05
2026-05-01 16:00:00+00:00,3.9928078497e-05
2026-05-02 00:00:00+00:00,2.73434961467e-05
2026-05-02 08:00:00+00:00,0.0001
2026-05-02 16:00:00+00:00,5.66083595422e-05
2026-05-03 00:00:00+00:00,0.0001
2026-05-03 08:00:00+00:00,2.16793481191e-05
2026-05-03 16:00:00+00:00,0.0001
2026-05-04 00:00:00+00:00,0.0001
2026-05-04 08:00:00+00:00,0.0001
2026-05-04 16:00:00+00:00,1.05758832552e-05
2026-05-05 00:00:00+00:00,1.91549400709e-05
2026-05-05 08:00:00+00:00,0.0001
2026-05-05 16:00:00+00:00,0.0001
2026-05-06 00:00:00+00:00,0.0001
2026-05-06 08:00:00+00:00,0.0001
2026-05-06 16:00:00+00:00,-2.91912067214e-05
2026-05-07 00:00:00+00:00,-4.66055151066e-05
2026-05-07 08:00:00+00:00,-6.4632679209e-06
2026-05-07 16:00:00+00:00,-4.15260175016e-05
2026-05-08 00:00:00+00:00,4.30941372419e-05
2026-05-08 08:00:00+00:00,-0.000130880564252
2026-05-08 16:00:00+00:00,-5.7999138294e-05
2026-05-09 00:00:00+00:00,0.0001
2026-05-09 08:00:00+00:00,0.0001
2026-05-09 16:00:00+00:00,7.12173149301e-05
