ts,open,high,low,close,volume
1672531200000,0.2459,0.24599,0.24404,0.2445,38584.0
1672534800000,0.24446,0.24558,0.2442,0.24524,26774.0
1672538400000,0.24524,0.24619,0.24481,0.24558,26153.0
1672542000000,0.24559,0.24567,0.245,0.24537,24479.0
1672545600000,0.24542,0.24549,0.24439,0.2446,26915.0
1672549200000,0.2446,0.24521,0.24444,0.24458,30077.0
1672552800000,0.2446,0.24501,0.24434,0.24463,15289.0
1672556400000,0.24464,0.24532,0.24443,0.24523,24293.0
1672560000000,0.24523,0.24544,0.24438,0.2444,24053.0
1672563600000,0.2444,0.2452,0.24338,0.24515,33522.0
1672567200000,0.2452,0.24534,0.24452,0.24505,15488.0
1672570800000,0.24505,0.24592,0.24505,0.24581,25116.0
1672574400000,0.24581,0.24608,0.2454,0.24608,25511.0
1672578000000,0.24605,0.24623,0.24497,0.24515,19374.0
1672581600000,0.24516,0.24598,0.24513,0.24551,12186.0
1672585200000,0.2455,0.24618,0.24538,0.24609,21407.0
1672588800000,0.24609,0.24714,0.24607,0.24673,38459.0
1672592400000,0.24673,0.24895,0.24673,0.24795,40325.0
1672596000000,0.248,0.24946,0.248,0.24866,37722.0
1672599600000,0.24867,0.24968,0.24803,0.24835,20162.0
1672603200000,0.24831,0.24952,0.24831,0.2484,19130.0
1672606800000,0.24845,0.24955,0.24813,0.24915,18913.0
1672610400000,0.24917,0.24936,0.24834,0.24916,9295.0
1672614000000,0.24913,0.24994,0.24854,0.2499,19008.0
1672617600000,0.24995,0.2506,0.24832,0.2486,33852.0
1672621200000,0.24859,0.24879,0.24653,0.24747,61505.0
1672624800000,0.2474,0.24868,0.24704,0.24816,16911.0
1672628400000,0.24817,0.25023,0.24817,0.24972,28257.0
1672632000000,0.24967,0.24999,0.24895,0.24957,19004.0
1672635600000,0.24965,0.25024,0.24915,0.24975,19285.0
1672639200000,0.24976,0.25073,0.24924,0.24959,20003.0
1672642800000,0.24959,0.25586,0.24959,0.25401,140629.0
1672646400000,0.25403,0.25598,0.25365,0.25425,37882.0
1672650000000,0.25423,0.25537,0.25374,0.25385,21719.0
1672653600000,0.25381,0.25485,0.25341,0.25381,20104.0
1672657200000,0.25377,0.25418,0.2529,0.25401,18910.0
1672660800000,0.254,0.25467,0.25362,0.25394,18962.0
1672664400000,0.25391,0.25418,0.25283,0.25287,14616.0
1672668000000,0.25291,0.2536,0.2525,0.25317,12545.0
1672671600000,0.25314,0.25502,0.25304,0.25461,43871.0
1672675200000,0.25459,0.25536,0.254,0.25418,27535.0
1672678800000,0.25418,0.25479,0.25411,0.25422,10558.0
1672682400000,0.25425,0.25536,0.25409,0.25506,14280.0
1672686000000,0.25506,0.25546,0.25465,0.25539,10926.0
1672689600000,0.25539,0.25543,0.25412,0.25471,11557.0
1672693200000,0.25472,0.25655,0.25445,0.25569,15626.0
1672696800000,0.25567,0.25587,0.2532,0.25358,13687.0
1672700400000,0.25359,0.25451,0.25299,0.25374,21802.0
1672704000000,0.25373,0.25432,0.25341,0.25391,16325.0
1672707600000,0.25385,0.25399,0.25164,0.25289,34729.0
1672711200000,0.25271,0.25316,0.25224,0.25236,16635.0
1672714800000,0.2523,0.25338,0.25205,0.25312,15761.0
1672718400000,0.25307,0.25339,0.25244,0.25256,11847.0
