ts,open,high,low,close,volume
1672531200000,10.9,10.9,10.81,10.85,9278.0
1672534800000,10.84,10.86,10.82,10.85,5385.0
1672538400000,10.85,10.88,10.83,10.85,6923.0
1672542000000,10.84,10.84,10.8,10.82,18209.0
1672545600000,10.81,10.82,10.69,10.75,98886.0
1672549200000,10.75,10.76,10.7,10.75,82912.0
1672552800000,10.75,10.77,10.74,10.75,9853.0
1672556400000,10.75,10.75,10.68,10.71,31682.0
1672560000000,10.71,10.72,10.65,10.67,19197.0
1672563600000,10.67,10.72,10.64,10.71,20688.0
1672567200000,10.71,10.71,10.66,10.69,12799.0
1672570800000,10.69,10.75,10.68,10.75,19363.0
1672574400000,10.74,10.77,10.72,10.76,15808.0
1672578000000,10.77,10.77,10.71,10.73,14332.0
1672581600000,10.73,10.77,10.71,10.74,10841.0
1672585200000,10.74,10.76,10.71,10.76,8209.0
1672588800000,10.76,10.77,10.75,10.77,7305.0
1672592400000,10.77,10.84,10.76,10.84,20462.0
1672596000000,10.84,10.88,10.83,10.86,20696.0
1672599600000,10.86,10.91,10.86,10.89,20258.0
1672603200000,10.89,10.94,10.88,10.88,33505.0
1672606800000,10.88,10.9,10.86,10.88,11632.0
1672610400000,10.88,10.91,10.84,10.9,17454.0
1672614000000,10.9,10.93,10.84,10.87,23233.0
1672617600000,10.87,10.89,10.79,10.81,13647.0
1672621200000,10.81,10.81,10.69,10.74,75783.0
1672624800000,10.74,10.78,10.72,10.77,17673.0
1672628400000,10.77,10.91,10.76,10.83,101028.0
1672632000000,10.84,10.96,10.82,10.86,99618.0
1672635600000,10.87,10.87,10.82,10.86,27257.0
1672639200000,10.86,10.89,10.85,10.88,19176.0
1672642800000,10.87,11.27,10.87,11.12,392816.0
1672646400000,11.11,11.19,11.1,11.14,57722.0
1672650000000,11.15,11.18,11.12,11.13,37571.0
1672653600000,11.13,11.18,11.09,11.16,58812.0
1672657200000,11.16,11.17,11.11,11.15,32769.0
1672660800000,11.15,11.22,11.15,11.16,35527.0
1672664400000,11.16,11.17,11.11,11.14,19316.0
1672668000000,11.13,11.16,11.11,11.14,14439.0
1672671600000,11.14,11.22,11.13,11.18,30323.0
1672675200000,11.18,11.2,11.16,11.16,31118.0
1672678800000,11.16,11.16,11.13,11.14,11916.0
1672682400000,11.15,11.21,11.15,11.17,22475.0
1672686000000,11.18,11.2,11.16,11.2,26556.0
1672689600000,11.2,11.2,11.15,11.18,16529.0
1672693200000,11.18,11.27,11.18,11.23,27982.0
1672696800000,11.24,11.24,11.06,11.12,20160.0
1672700400000,11.13,11.17,11.1,11.15,13534.0
1672704000000,11.15,11.2,11.1,11.17,39966.0
1672707600000,11.16,11.17,11.06,11.07,72674.0
1672711200000,11.07,11.19,11.07,11.1,125992.0
1672714800000,11.1,11.14,11.05,11.14,116108.0
1672718400000,11.13,11.2,11.13,11.19,24015.0
1672722000000,11.19,11.34,11.18,11.33,77906.0
1672725600000,11.33,11.36,11.24,11.26,43046.0
1672729200000,11.26,11.29,11.24,11.27,20677.0
1672732800000,11.27,11.29,11.17,11.21,29624.0
1672736400000,11.21,11.3,11.21,11.27,21274.0
1672740000000,11.28,11.35,11.26,11.31,29757.0
1672743600000,11.31,11.36,11.27,11.27,25841.0
1672747200000,11.27,11.41,11.25,11.3,53692.0
1672750800000,11.3,11.39,11.29,11.36,27468.0
1672754400000,11.36,11.44,11.24,11.26,97662.0
1672758000000,11.26,11.41,11.26,11.4,54366.0
1672761600000,11.4,11.56,11.32,11.33,168678.0
1672765200000,11.33,11.43,11.32,11.36,48433.0
1672768800000,11.36,11.38,11.28,11.31,39610.0
1672772400000,11.31,11.32,11.26,11.3,43618.0
1672776000000,11.3,11.37,11.3,11.32,36961.0
1672779600000,11.32,11.36,11.32,11.34,14438.0
1672783200000,11.34,11.36,11.3,11.34,11962.0
1672786800000,11.34,11.39,11.32,11.38,7339.0
1672790400000,11.38,11.41,11.34,11.39,21915.0
1672794000000,11.39,11.59,11.37,11.52,65079.0
1672797600000,11.52,11.73,11.5,11.68,65343.0
1672801200000,11.68,11.86,11.68,11.83,118104.0
1672804800000,11.83,11.86,11.73,11.73,36002.0
1672808400000,11.73,11.81,11.73,11.8,22616.0
1672812000000,11.8,11.92,11.79,11.91,32429.0
1672815600000,11.9,11.95,11.8,11.9,84600.0
1672819200000,11.9,11.98,11.79,11.85,58013.0
1672822800000,11.86,11.88,11.8,11.83,26550.0
1672826400000,11.83,11.86,11.82,11.84,15028.0
1672830000000,11.84,11.84,11.69,11.77,48516.0
1672833600000,11.76,11.85,11.76,11.78,29122.0
1672837200000,11.78,11.87,11.77,11.86,10730.0
1672840800000,11.86,11.94,11.82,11.86,23656.0
1672844400000,11.87,12.13,11.75,12.1,108650.0
1672848000000,12.1,12.16,11.98,11.98,47736.0
1672851600000,11.99,12.13,11.94,12.06,47778.0
1672855200000,12.07,12.29,12.04,12.18,90080.0
1672858800000,12.16,12.2,11.98,12.14,85026.0
1672862400000,12.14,12.14,11.94,12.02,56551.0
1672866000000,12.02,12.08,11.96,11.98,41095.0
1672869600000,11.97,12.06,11.97,12.01,28187.0
1672873200000,12.01,12.09,12.01,12.08,15955.0
1672876800000,12.08,12.15,11.99,12.0,41437.0
1672880400000,12.0,12.11,11.96,12.05,19365.0
1672884000000,12.06,12.09,12.0,12.07,18959.0
1672887600000,12.07,12.13,12.05,12.11,20385.0
1672891200000,12.1,12.17,12.08,12.09,34837.0
1672894800000,12.09,12.14,12.04,12.08,28420.0
1672898400000,12.08,12.12,11.99,12.02,38411.0
1672902000000,12.02,12.04,11.95,12.0,35945.0
1672905600000,12.0,12.02,11.9,11.93,50405.0
1672909200000,11.93,11.95,11.85,11.91,46554.0
1672912800000,11.9,11.95,11.87,11.92,39300.0
1672916400000,11.92,11.93,11.8,11.9,56387.0
1672920000000,11.89,11.92,11.84,11.88,38162.0
1672923600000,11.88,11.88,11.76,11.77,63585.0
1672927200000,11.77,11.84,11.73,11.82,50969.0
1672930800000,11.82,11.88,11.76,11.77,60241.0
1672934400000,11.77,11.81,11.72,11.77,50770.0
1672938000000,11.77,11.77,11.7,11.72,25165.0
1672941600000,11.72,11.79,11.72,11.79,27916.0
1672945200000,11.78,11.85,11.77,11.83,29469.0
1672948800000,11.83,11.85,11.79,11.83,32042.0
1672952400000,11.83,11.84,11.78,11.8,19953.0
1672956000000,11.8,11.82,11.75,11.77,9098.0
1672959600000,11.77,11.8,11.66,11.75,64065.0
1672963200000,11.74,11.82,11.69,11.8,46728.0
1672966800000,11.79,11.81,11.74,11.76,18090.0
1672970400000,11.75,11.76,11.68,11.74,28204.0
1672974000000,11.74,11.74,11.68,11.69,17078.0
1672977600000,11.68,11.71,11.57,11.64,45091.0
1672981200000,11.64,11.64,11.56,11.6,37738.0
1672984800000,11.6,11.62,11.49,11.52,49143.0
1672988400000,11.51,11.55,11.48,11.54,36125.0
1672992000000,11.54,11.59,11.53,11.56,22869.0
1672995600000,11.56,11.56,11.45,11.52,30572.0
1672999200000,11.51,11.52,11.43,11.45,22369.0
1673002800000,11.44,11.46,11.38,11.46,46864.0
1673006400000,11.45,11.46,11.4,11.42,27349.0
1673010000000,11.42,11.6,11.35,11.49,151257.0
1673013600000,11.49,11.51,11.42,11.46,49795.0
1673017200000,11.47,11.61,11.46,11.59,62487.0
1673020800000,11.6,11.63,11.53,11.6,53682.0
1673024400000,11.6,11.62,11.55,11.58,20181.0
1673028000000,11.58,11.68,11.58,11.64,41453.0
1673031600000,11.64,11.75,11.61,11.75,48303.0
1673035200000,11.75,11.78,11.64,11.65,50755.0
1673038800000,11.65,11.72,11.65,11.68,21799.0
1673042400000,11.68,11.76,11.67,11.75,18841.0
1673046000000,11.76,11.82,11.74,11.77,30736.0
1673049600000,11.78,11.85,11.74,11.84,31213.0
1673053200000,11.84,11.87,11.8,11.81,38495.0
1673056800000,11.83,11.85,11.81,11.81,12110.0
1673060400000,11.81,11.83,11.78,11.82,12363.0
1673064000000,11.82,11.82,11.77,11.78,17461.0
1673067600000,11.77,11.8,11.75,11.78,13511.0
1673071200000,11.78,11.83,11.74,11.82,25635.0
1673074800000,11.83,11.86,11.81,11.82,33791.0
1673078400000,11.82,11.84,11.74,11.76,22984.0
1673082000000,11.75,11.79,11.73,11.78,15789.0
1673085600000,11.77,11.77,11.73,11.74,16106.0
1673089200000,11.74,11.74,11.69,11.72,19622.0
1673092800000,11.71,11.72,11.69,11.72,7245.0
1673096400000,11.72,11.75,11.7,11.71,14474.0
1673100000000,11.7,11.73,11.68,11.71,11897.0
1673103600000,11.71,11.74,11.7,11.72,6110.0
1673107200000,11.72,11.72,11.65,11.66,15448.0
1673110800000,11.66,11.67,11.64,11.66,8543.0
1673114400000,11.66,11.75,11.65,11.73,26247.0
1673118000000,11.74,11.77,11.72,11.77,8143.0
1673121600000,11.77,11.78,11.72,11.75,15101.0
1673125200000,11.75,11.76,11.72,11.73,16247.0
1673128800000,11.73,11.73,11.68,11.7,12884.0
1673132400000,11.7,11.75,11.66,11.74,11273.0
1673136000000,11.74,11.77,11.57,11.65,53371.0
1673139600000,11.65,11.67,11.6,11.65,23041.0
1673143200000,11.65,11.66,11.59,11.63,22607.0
1673146800000,11.63,11.68,11.62,11.68,13387.0
1673150400000,11.67,11.69,11.66,11.68,6738.0
1673154000000,11.68,11.71,11.66,11.71,10168.0
1673157600000,11.71,11.73,11.69,11.73,21617.0
1673161200000,11.73,11.74,11.71,11.73,10834.0
1673164800000,11.73,11.81,11.72,11.8,25537.0
1673168400000,11.8,11.86,11.78,11.81,31483.0
1673172000000,11.82,11.84,11.79,11.83,12967.0
1673175600000,11.83,11.86,11.8,11.8,13307.0
1673179200000,11.81,11.84,11.78,11.82,10012.0
1673182800000,11.83,11.86,11.81,11.82,8983.0
1673186400000,11.83,11.92,11.82,11.91,42366.0
1673190000000,11.92,11.98,11.86,11.94,30874.0
1673193600000,11.95,11.97,11.79,11.84,57855.0
1673197200000,11.84,11.88,11.81,11.82,16949.0
1673200800000,11.82,11.85,11.8,11.84,6048.0
1673204400000,11.83,11.89,11.8,11.87,19479.0
1673208000000,11.87,11.99,11.86,11.96,65791.0
1673211600000,11.96,12.0,11.92,11.92,31462.0
1673215200000,11.93,12.02,11.92,11.99,14066.0
1673218800000,12.0,12.15,11.99,12.09,107379.0
1673222400000,12.09,12.4,12.07,12.37,172157.0
1673226000000,12.37,12.43,12.26,12.4,157471.0
1673229600000,12.4,12.62,12.31,12.4,189262.0
1673233200000,12.41,12.59,12.37,12.52,73590.0
1673236800000,12.52,12.54,12.44,12.45,69997.0
1673240400000,12.46,12.57,12.43,12.44,60600.0
1673244000000,12.45,12.52,12.4,12.42,47437.0
1673247600000,12.42,12.52,12.4,12.46,44661.0
1673251200000,12.45,12.49,12.29,12.3,126852.0
1673254800000,12.3,12.5,12.3,12.46,64496.0
1673258400000,12.45,12.58,12.45,12.49,66574.0
1673262000000,12.49,12.58,12.38,12.4,74787.0
1673265600000,12.4,12.46,12.39,12.45,46777.0
1673269200000,12.45,12.55,12.29,12.35,79467.0
1673272800000,12.35,12.52,12.27,12.48,100619.0
1673276400000,12.49,12.65,12.38,12.54,131040.0
1673280000000,12.53,12.63,12.48,12.53,131782.0
1673283600000,12.53,12.63,12.49,12.54,92547.0
1673287200000,12.54,12.58,12.33,12.41,86948.0
1673290800000,12.41,12.42,12.31,12.31,66620.0
1673294400000,12.31,12.35,12.07,12.16,184503.0
1673298000000,12.16,12.27,12.13,12.16,72324.0
1673301600000,12.16,12.25,12.1,12.21,45521.0
1673305200000,12.21,12.23,12.1,12.18,25287.0
1673308800000,12.18,12.41,12.18,12.37,64683.0
1673312400000,12.37,12.38,12.27,12.32,54036.0
1673316000000,12.32,12.38,12.01,12.17,132345.0
1673319600000,12.18,12.32,12.15,12.31,46711.0
1673323200000,12.3,12.38,12.25,12.38,57019.0
