ts,open,high,low,close,volume
1672531200000,245.97,246.57,245.49,245.67,79580.0
1672534800000,245.68,246.01,245.43,245.96,44370.0
1672538400000,245.9,245.9,245.24,245.56,59605.0
1672542000000,245.37,245.51,245.08,245.26,43115.0
1672545600000,245.26,245.26,243.71,243.81,135046.0
1672549200000,243.84,244.41,243.39,244.37,98838.0
1672552800000,244.09,244.48,244.0,244.02,29968.0
1672556400000,244.0,244.31,243.79,244.15,38787.0
1672560000000,244.04,244.09,243.5,243.63,29534.0
1672563600000,243.58,244.63,243.5,244.44,80528.0
1672567200000,244.44,244.44,243.96,244.21,91616.0
1672570800000,244.21,244.83,244.13,244.35,91620.0
1672574400000,244.33,244.64,244.12,244.16,30338.0
1672578000000,244.23,244.48,244.0,244.12,27281.0
1672581600000,244.12,244.7,244.09,244.1,156969.0
1672585200000,244.1,244.78,244.09,244.66,46619.0
1672588800000,244.46,245.0,244.04,244.98,133132.0
1672592400000,244.93,245.83,244.83,245.44,114652.0
1672596000000,245.42,245.75,244.68,244.7,57849.0
1672599600000,244.77,245.6,244.76,245.17,44358.0
1672603200000,245.17,245.74,245.17,245.23,25972.0
1672606800000,245.25,245.41,245.07,245.17,12869.0
1672610400000,245.17,245.17,244.6,244.73,20699.0
1672614000000,244.71,244.77,243.6,244.34,47505.0
1672617600000,244.32,244.37,243.6,243.6,71774.0
1672621200000,243.6,243.66,240.62,242.07,309905.0
1672624800000,242.04,242.81,241.64,242.53,108329.0
1672628400000,242.42,244.34,242.29,243.84,139338.0
1672632000000,243.74,243.94,242.95,243.37,109455.0
1672635600000,243.43,244.39,243.43,244.07,33159.0
1672639200000,244.02,244.4,243.5,243.89,61429.0
1672642800000,244.02,247.05,243.92,246.37,388483.0
1672646400000,246.39,247.72,246.39,247.19,220131.0
1672650000000,247.12,248.0,246.33,246.7,104033.0
1672653600000,246.7,247.48,246.45,246.96,52101.0
1672657200000,246.98,246.98,246.38,246.8,40457.0
1672660800000,246.89,247.84,246.89,247.16,84326.0
1672664400000,247.35,247.44,246.14,246.61,59314.0
1672668000000,246.6,246.76,246.01,246.07,50517.0
1672671600000,246.39,247.37,245.96,246.86,77172.0
1672675200000,246.87,247.03,246.04,246.09,51985.0
1672678800000,246.09,246.42,245.96,246.42,23799.0
1672682400000,246.44,246.76,246.23,246.43,24950.0
1672686000000,246.47,246.7,246.14,246.62,11772.0
1672689600000,246.58,247.33,246.33,247.32,44188.0
1672693200000,247.32,247.72,246.96,247.19,51765.0
1672696800000,247.31,247.39,246.0,246.0,55609.0
1672700400000,246.03,246.52,245.15,245.29,106735.0
1672704000000,245.13,246.03,244.7,245.88,83985.0
1672707600000,245.88,245.88,244.6,245.42,88713.0
1672711200000,245.41,245.75,245.19,245.49,55206.0
1672714800000,245.46,245.96,245.29,245.89,25870.0
1672718400000,245.9,245.99,245.34,245.35,23171.0
1672722000000,245.37,246.47,245.19,246.37,67374.0
1672725600000,246.37,247.05,246.06,246.24,57372.0
1672729200000,246.25,246.5,245.73,246.21,61844.0
1672732800000,246.2,246.52,245.5,245.87,68960.0
1672736400000,245.92,246.66,245.86,246.42,37269.0
1672740000000,246.43,246.6,245.43,245.8,93106.0
1672743600000,245.85,246.32,245.41,245.6,62153.0
1672747200000,245.59,245.87,244.94,245.27,75372.0
1672750800000,245.27,245.79,245.05,245.45,45676.0
1672754400000,245.41,246.36,244.35,244.91,129795.0
1672758000000,244.84,245.52,244.61,245.52,113179.0
1672761600000,245.41,246.01,244.6,244.67,91435.0
1672765200000,244.73,245.29,244.55,245.26,54607.0
1672768800000,245.32,245.5,244.61,245.21,63008.0
1672772400000,245.13,245.5,244.8,245.41,41223.0
1672776000000,245.31,245.64,245.22,245.58,37791.0
1672779600000,245.43,245.82,245.38,245.82,11008.0
1672783200000,245.79,246.0,245.63,245.81,24178.0
1672786800000,245.82,246.31,245.82,246.01,36011.0
1672790400000,246.03,246.32,245.54,245.93,36254.0
1672794000000,245.93,247.51,245.93,246.61,153764.0
1672797600000,246.51,253.17,246.34,251.12,613870.0
1672801200000,251.23,258.79,251.23,257.17,577179.0
1672804800000,257.17,257.43,255.29,255.8,135078.0
1672808400000,255.8,255.8,254.78,255.11,85738.0
1672812000000,255.17,255.18,253.87,254.99,117097.0
1672815600000,254.99,255.72,254.37,255.12,76269.0
1672819200000,255.04,256.0,254.0,255.16,126071.0
1672822800000,255.05,255.44,254.62,254.94,53949.0
1672826400000,254.95,255.34,254.21,254.93,80128.0
1672830000000,254.93,254.99,254.53,254.64,48054.0
1672833600000,254.85,256.13,254.62,255.0,110224.0
1672837200000,255.0,255.7,254.82,255.54,52030.0
1672840800000,255.53,256.28,254.77,255.43,140955.0
1672844400000,255.38,257.43,253.82,256.94,305650.0
1672848000000,256.93,260.24,255.95,257.65,421881.0
1672851600000,257.55,260.97,256.97,259.63,281108.0
1672855200000,259.64,260.73,259.1,259.47,155042.0
1672858800000,259.41,259.95,256.42,257.61,197581.0
1672862400000,257.55,257.55,254.61,255.76,128991.0
1672866000000,255.66,257.18,255.52,257.1,83369.0
1672869600000,257.11,258.0,256.67,257.5,65590.0
1672873200000,257.5,259.13,257.5,258.52,93630.0
1672876800000,258.52,258.92,257.22,257.29,184512.0
1672880400000,257.29,258.4,256.64,257.55,65701.0
1672884000000,257.68,258.31,257.12,258.01,45547.0
1672887600000,258.08,258.17,257.27,257.73,89660.0
1672891200000,257.74,259.2,257.69,258.69,137772.0
1672894800000,258.62,259.14,258.04,258.46,107801.0
1672898400000,258.5,258.5,257.32,257.82,88984.0
1672902000000,257.82,257.82,256.36,257.62,130490.0
1672905600000,257.62,257.63,256.5,257.13,86941.0
1672909200000,257.13,257.13,255.28,255.97,321078.0
1672912800000,255.97,257.09,255.97,256.96,218978.0
1672916400000,256.97,257.26,256.06,257.19,78377.0
1672920000000,257.09,257.18,256.24,256.58,57437.0
1672923600000,256.73,257.07,255.55,255.55,166678.0
1672927200000,255.57,256.79,254.99,256.33,195045.0
1672930800000,256.32,258.25,256.18,256.83,133628.0
1672934400000,256.76,256.96,255.87,256.56,71758.0
1672938000000,256.54,256.66,256.19,256.45,19785.0
1672941600000,256.53,257.33,256.4,256.95,26370.0
1672945200000,257.1,258.33,257.1,257.68,74029.0
1672948800000,257.77,258.03,257.45,257.76,15237.0
1672952400000,257.75,257.98,257.14,257.2,26283.0
1672956000000,257.16,257.64,256.52,256.74,48872.0
1672959600000,256.74,257.06,255.68,256.59,78064.0
1672963200000,256.58,257.8,256.06,257.65,85831.0
1672966800000,257.72,258.2,257.23,257.7,73764.0
1672970400000,257.69,258.5,256.9,258.29,143075.0
1672974000000,258.25,258.77,256.88,257.72,231173.0
1672977600000,257.73,258.02,256.71,257.54,160187.0
1672981200000,257.52,257.52,256.49,256.84,74126.0
1672984800000,256.72,256.8,255.18,255.51,131703.0
1672988400000,255.59,256.42,255.3,256.27,76693.0
1672992000000,256.28,257.27,256.15,256.85,131945.0
1672995600000,256.83,257.04,255.84,256.6,95553.0
1672999200000,256.6,256.81,255.72,255.93,54785.0
1673002800000,255.97,256.64,255.47,256.48,170504.0
1673006400000,256.36,256.38,254.14,255.75,227926.0
1673010000000,255.74,257.22,254.6,256.31,368585.0
1673013600000,256.35,256.95,255.73,256.46,70175.0
1673017200000,256.48,259.71,256.47,259.29,237919.0
1673020800000,259.18,260.31,257.96,258.9,325949.0
