ts,rate
1775548800000,4.42117392914e-05
1775577600000,5.82375398724e-05
1775606400000,0.0001
1775635200000,0.0001
1775664000000,0.0001
1775692800000,0.0001
1775721600000,0.0001
1775750400000,0.0001
1775779200000,0.0001
1775808000000,1.88200342414e-05
1775836800000,0.0001
1775865600000,0.0001
1775894400000,0.0001
1775923200000,1.19623242599e-05
1775952000000,0.0001
1775980800000,-0.0001382541242615
1776009600000,-2.1577091107e-05
1776038400000,6.5213037564e-06
1776067200000,5.23699146827e-05
1776096000000,0.0001
1776124800000,0.0001
1776153600000,0.0001
1776182400000,0.0001
1776211200000,0.0001
1776240000000,0.0001
1776268800000,0.0001
1776297600000,0.0001
1776326400000,0.0001
1776355200000,9.78249527625e-05
1776384000000,0.0001
1776412800000,0.0001
1776441600000,6.55575915122e-05
1776470400000,8.5358033171e-06
1776499200000,7.54862662345e-05
1776528000000,8.68885114497e-05
1776556800000,0.0001
1776585600000,-3.44645734453e-05
1776614400000,8.8560554439e-06
1776643200000,4.55979336615e-05
1776672000000,0.0001
1776700800000,2.5234317616e-06
1776729600000,0.0001
1776758400000,0.0001
1776787200000,3.76611488313e-05
1776816000000,1.08844506199e-05
1776844800000,0.0001
1776873600000,0.0001
1776902400000,9.58682285927e-05
1776931200000,-3.22883016175e-05
1776960000000,-0.0001040149894843
1776988800000,3.03982592611e-05
1777017600000,7.56020102796e-05
1777046400000,0.0001
1777075200000,3.66506954023e-05
1777104000000,7.78839845185e-05
1777132800000,-5.0499709335e-06
1777161600000,-5.95448051748e-05
1777190400000,3.10982026298e-05
1777219200000,-3.79213396873e-05
1777248000000,0.0001
1777276800000,-5.45006849415e-05
1777305600000,-8.44995459955e-05
1777334400000,4.5986954009e-06
1777363200000,5.89457511609e-05
1777392000000,5.41923208695e-05
1777420800000,7.60011347e-07
1777449600000,-7.34174475e-08
1777478400000,-5.43511875371e-05
1777507200000,-7.69533500107e-05
1777536000000,2.90546539385e-05
1777564800000,1.81103452846e-05
1777593600000,5.9360199359e-06
1777622400000,4.806905052e-05
1777651200000,0.0001
1777680000000,0.0001
1777708800000,-4.76961315826e-05
1777737600000,-1.50119891088e-05
1777766400000,8.89411015721e-05
1777795200000,4.36611198764e-05
1777824000000,0.0001
1777852800000,5.98099806194e-05
1777881600000,0.0001
1777910400000,5.34236591872e-05
1777939200000,8.53856821496e-05
1777968000000,0.0001
1777996800000,0.0001
1778025600000,0.0001
1778054400000,0.0001
1778083200000,0.0001
1778112000000,0.0001
1778140800000,0.0001
1778169600000,1.94932185473e-05
1778198400000,0.0001
1778227200000,2.37949743435e-05
1778256000000,4.95410031209e-05
1778284800000,0.0001
1778313600000,0.0001
1778342400000,1.99530854524e-05
1778371200000,0.0001
1778400000000,0.0001
1778428800000,0.0001
1778457600000,0.0001
1778486400000,0.0001
1778515200000,4.46870249442e-05
1778544000000,6.99610820214e-05
1778572800000,-4.32976358091e-05
1778601600000,3.94127380564e-05
1778630400000,7.77084367986e-05
1778659200000,-4.17840446565e-05
1778688000000,4.32925136622e-05
1778716800000,-7.38236099981e-05
1778745600000,-5.71469571531e-05
1778774400000,1.8177805574e-06
1778803200000,6.90925850488e-05
1778832000000,-7.15240171831e-05
1778860800000,-4.80597638594e-05
1778889600000,-0.0001272041606305
1778918400000,-0.0001186682227855
1778947200000,-4.4526668883e-06
1778976000000,1.80374107e-08
1779004800000,1.55593245576e-05
1779033600000,-0.0001215507978344
1779062400000,6.13507783321e-05
1779091200000,2.03866545504e-05
1779120000000,-9.42640149014e-05
1779148800000,-9.4106839578e-06
1779177600000,-2.52219242525e-05
1779206400000,4.27711514878e-05
1779235200000,-4.09364752727e-05
1779264000000,2.444968197e-06
1779292800000,5.2308892775e-06
1779321600000,-3.1138751655e-06
1779350400000,9.75141886761e-05
1779379200000,6.17286790795e-05
1779408000000,0.0001
1779436800000,0.0001
1779465600000,2.17370900553e-05
1779494400000,-5.62228126995e-05
1779523200000,-1.06391503979e-05
1779552000000,-4.58892704511e-05
1779580800000,0.0001
1779609600000,0.0001
1779638400000,0.0001
1779667200000,5.29028334007e-05
1779696000000,0.0001
1779724800000,0.0001
1779753600000,5.56939655476e-05
1779782400000,-1.7917078064e-06
1779811200000,4.367159842e-05
1779840000000,-2.40055112793e-05
1779868800000,2.8321391447e-05
1779897600000,1.25591951606e-05
1779926400000,-1.53211197857e-05
1779955200000,-0.0001210182205114
1779984000000,-0.0001143948709273
1780012800000,7.59337977237e-05
1780041600000,-7.8104497461e-06
1780070400000,-2.848204058e-05
1780099200000,5.56610073826e-05
1780128000000,0.0001
1780156800000,9.49811730512e-05
1780185600000,7.62430108474e-05
1780214400000,0.0001
1780243200000,0.0001
1780272000000,0.0001
1780300800000,0.0001
1780329600000,0.0001
1780358400000,0.0001
1780387200000,0.0001
1780416000000,0.0001
1780444800000,-9.7539049275e-06
1780473600000,-1.89156978561e-05
1780502400000,-2.30091056832e-05
1780531200000,-2.65742895273e-05
1780560000000,0.0001
1780588800000,-9.84888951122e-05
1780617600000,-9.3873963833e-06
1780646400000,-5.28963020485e-05
1780675200000,0.0001
1780704000000,7.07925484359e-05
1780732800000,-8.30733020458e-05
1780761600000,-0.0001012413883139
1780790400000,-7.47430816135e-05
1780819200000,-1.49560667189e-05
1780848000000,2.24367613899e-05
1780876800000,6.90618365008e-05
1780905600000,-3.20224809649e-05
1780934400000,5.3606636542e-06
1780963200000,3.21510129017e-05
1780992000000,9.3436084102e-06
1781020800000,5.16364867058e-05
1781049600000,8.74753105785e-05
1781078400000,3.0064039461e-06
1781107200000,3.30409540906e-05
1781136000000,-2.57122966819e-05
1781164800000,9.72197308966e-05
1781193600000,0.0001
1781222400000,0.0001
1781251200000,1.85045035096e-05
1781280000000,0.0001
1781308800000,-3.28700512089e-05
1781337600000,-2.52150196331e-05
1781366400000,9.23568298011e-05
1781395200000,3.50472725533e-05
1781424000000,5.45682038185e-05
1781452800000,-7.3169984835e-05
1781481600000,6.72647378045e-05
1781510400000,5.17267250449e-05
1781539200000,1.83425539829e-05
1781568000000,-7.99724083696e-05
1781596800000,-8.0752181571e-06
1781625600000,-0.0001174704847003
1781654400000,8.51856972964e-05
1781683200000,9.12118721762e-05
1781712000000,9.38056414923e-05
1781740800000,6.28691780554e-05
1781769600000,-1.90734588548e-05
1781798400000,-6.16941409331e-05
1781827200000,2.77704835466e-05
1781856000000,1.93901234826e-05
1781884800000,-1.01264586906e-05
1781913600000,-4.35632960726e-05
1781942400000,0.0001
1781971200000,0.0001
1782000000000,2.41185243225e-05
1782028800000,0.0001
1782057600000,0.0001
1782086400000,0.0001
1782115200000,0.0001
1782144000000,6.0885001524e-06
1782172800000,-4.9897911125e-06
1782201600000,-3.65201530069e-05
1782230400000,-7.60932694313e-05
1782259200000,1.1937779003e-06
1782288000000,-1.7265128794e-06
1782316800000,-4.54712748155e-05
1782345600000,-7.85526762017e-05
1782374400000,4.97623527264e-05
1782403200000,1.94422089607e-05
1782432000000,0.0001
1782460800000,0.0001
1782489600000,0.0001
1782518400000,0.0001
1782547200000,7.99977577323e-05
1782576000000,9.54052184436e-05
1782604800000,9.2059897729e-06
1782633600000,-4.6979023078e-06
1782662400000,-1.86010234023e-05
1782691200000,0.0001
1782720000000,6.76130334666e-05
1782748800000,8.06119062508e-05
1782777600000,0.0001
1782806400000,0.0001
1782835200000,-3.90242066838e-05
1782864000000,0.0001
1782892800000,7.28327806595e-05
1782921600000,8.23270256673e-05
1782950400000,0.0001
1782979200000,3.60883572378e-05
1783008000000,5.17537938459e-05
1783036800000,-3.6959683891e-05
1783065600000,0.0001
1783094400000,0.0001
1783123200000,0.0001
1783152000000,0.0001
1783180800000,4.00494364481e-05
1783209600000,2.6987638682e-06
1783238400000,8.10972208087e-05
1783267200000,0.0001
1783296000000,0.0001
1783324800000,8.81251656505e-05
1783353600000,0.0001
1783382400000,0.0001
1783411200000,2.8720879816e-06
1783440000000,7.112660124e-05
1783468800000,6.7775681306e-05
1783497600000,-1.79613105476e-05
1783526400000,-4.90495092102e-05
1783555200000,9.70799600456e-05
1783584000000,0.0001
1783612800000,3.76666133826e-05
1783641600000,-0.0001095677608887
1783670400000,0.0001
1783699200000,-6.11200936428e-05
1783728000000,5.74552362702e-05
1783756800000,0.0001
1783785600000,0.0001
1783814400000,0.0001
1783843200000,-0.0001122109809049
1783872000000,0.0001
1783900800000,-6.37280025171e-05
1783929600000,-8.12035606297e-05
1783958400000,5.07217410142e-05
1783987200000,4.7869703068e-06
1784016000000,5.0991015633e-05
1784044800000,0.0001
1784073600000,0.0001
1784102400000,0.0001
1784131200000,0.0001
1784160000000,0.0001
1784188800000,0.0001
1784217600000,4.50719874156e-05
1784246400000,-3.66656242205e-05
1784275200000,-3.39936764943e-05
1784304000000,-3.78496528799e-05
1784332800000,-1.40903652716e-05
1784361600000,-0.0001033169787814
1784390400000,6.60643319501e-05
1784419200000,0.0001
1784448000000,-0.0001029509185227
1784476800000,3.93810909369e-05
1784505600000,-3.25245915405e-05
1784534400000,-5.0697399096e-06
