ts,open,high,low,close,volume
1672531200000,16545.9,16549.3,16515.8,16536.5,82347.0
1672534800000,16536.4,16561.6,16533.1,16557.9,55810.0
1672538400000,16557.9,16568.5,16544.8,16552.7,64829.0
1672542000000,16552.6,16552.6,16525.0,16538.1,73049.0
1672545600000,16538.1,16539.6,16516.0,16524.0,92114.0
1672549200000,16524.0,16537.3,16514.5,16534.0,60545.0
1672552800000,16532.9,16553.8,16532.9,16545.0,57130.0
1672556400000,16545.0,16546.9,16503.5,16530.5,139977.0
1672560000000,16530.4,16535.1,16510.0,16513.9,71063.0
1672563600000,16513.8,16546.1,16506.0,16543.2,73749.0
1672567200000,16543.1,16548.8,16538.5,16548.8,66691.0
1672570800000,16548.8,16559.8,16543.6,16559.8,52810.0
1672574400000,16559.8,16575.4,16550.8,16563.6,99573.0
1672578000000,16563.5,16568.7,16538.3,16546.0,59486.0
1672581600000,16546.0,16555.4,16539.6,16539.8,39136.0
1672585200000,16539.9,16560.0,16532.2,16559.2,44256.0
1672588800000,16559.2,16586.2,16558.7,16564.2,128903.0
1672592400000,16564.2,16597.5,16564.2,16579.9,113085.0
1672596000000,16580.0,16602.5,16580.0,16592.0,98461.0
1672599600000,16592.0,16626.3,16592.0,16603.7,118685.0
1672603200000,16603.8,16626.9,16601.6,16601.6,50347.0
1672606800000,16601.7,16606.9,16590.1,16605.0,51946.0
1672610400000,16605.1,16610.7,16585.9,16601.9,51815.0
1672614000000,16602.0,16623.1,16601.9,16614.9,58798.0
1672617600000,16614.8,16624.8,16579.3,16584.8,77574.0
1672621200000,16584.8,16585.7,16545.9,16564.8,198618.0
1672624800000,16564.8,16595.4,16555.8,16588.6,55530.0
1672628400000,16588.5,16719.0,16583.5,16665.5,448554.0
1672632000000,16665.5,16674.9,16628.7,16638.6,158402.0
1672635600000,16638.7,16657.0,16619.4,16645.0,147301.0
1672639200000,16645.0,16660.0,16634.0,16638.9,68188.0
1672642800000,16638.9,16769.9,16636.6,16717.8,783394.0
1672646400000,16717.8,16768.3,16706.8,16731.6,280266.0
1672650000000,16731.5,16743.7,16713.3,16716.5,134405.0
1672653600000,16716.4,16762.2,16710.0,16725.7,151105.0
1672657200000,16725.7,16739.0,16702.9,16734.7,89626.0
1672660800000,16734.7,16743.2,16720.0,16720.1,58787.0
1672664400000,16720.0,16723.1,16682.6,16696.8,144404.0
1672668000000,16696.0,16712.1,16672.4,16701.4,178680.0
1672671600000,16701.4,16752.5,16695.8,16737.0,207813.0
1672675200000,16737.0,16739.6,16707.6,16708.8,104088.0
1672678800000,16708.9,16721.1,16707.0,16714.6,37212.0
1672682400000,16714.6,16733.3,16708.8,16724.7,38076.0
1672686000000,16725.1,16737.4,16719.2,16737.4,27623.0
1672689600000,16737.3,16737.4,16710.5,16730.2,37693.0
1672693200000,16730.2,16805.0,16721.2,16759.4,178749.0
1672696800000,16759.4,16763.9,16689.0,16701.1,135543.0
1672700400000,16701.2,16723.6,16660.0,16673.1,179039.0
1672704000000,16673.2,16708.0,16650.1,16695.9,151215.0
1672707600000,16694.8,16694.9,16652.1,16676.7,140689.0
1672711200000,16676.6,16687.3,16671.5,16672.1,63647.0
1672714800000,16672.2,16699.0,16667.0,16691.2,73005.0
1672718400000,16691.3,16696.6,16683.0,16686.9,44102.0
1672722000000,16686.8,16727.0,16685.0,16726.9,113777.0
1672725600000,16726.9,16777.0,16722.5,16725.1,306414.0
1672729200000,16725.1,16731.6,16706.5,16729.9,135384.0
1672732800000,16730.0,16734.5,16700.0,16716.7,110869.0
1672736400000,16716.7,16758.4,16716.7,16741.1,115153.0
1672740000000,16741.2,16747.5,16721.3,16723.5,78448.0
1672743600000,16723.4,16736.2,16710.5,16720.4,57357.0
1672747200000,16720.4,16725.7,16703.3,16710.5,85066.0
1672750800000,16710.1,16738.1,16710.0,16724.9,79475.0
1672754400000,16725.0,16775.9,16641.0,16663.0,570213.0
1672758000000,16663.0,16684.7,16620.1,16680.3,486995.0
1672761600000,16680.3,16690.3,16615.3,16625.5,351089.0
1672765200000,16625.5,16648.0,16611.4,16638.0,184706.0
1672768800000,16637.9,16657.0,16632.9,16649.4,56202.0
1672772400000,16649.4,16661.7,16628.5,16648.8,55197.0
1672776000000,16648.9,16676.5,16647.0,16668.2,122194.0
1672779600000,16668.2,16680.0,16665.4,16673.2,92182.0
1672783200000,16673.0,16683.0,16656.0,16681.0,65555.0
1672786800000,16681.1,16698.9,16672.9,16678.2,85889.0
1672790400000,16678.3,16678.4,16656.0,16665.0,87092.0
1672794000000,16665.0,16738.1,16661.5,16704.9,368006.0
1672797600000,16704.9,16758.0,16704.9,16734.4,333350.0
1672801200000,16734.5,16876.9,16734.4,16864.5,1027507.0
1672804800000,16862.8,16910.0,16847.2,16857.2,413933.0
1672808400000,16857.2,16862.2,16837.2,16858.2,163932.0
1672812000000,16858.2,16878.7,16850.1,16878.7,109508.0
1672815600000,16878.6,16890.0,16848.0,16872.2,187635.0
1672819200000,16872.1,16919.0,16832.8,16864.5,336509.0
1672822800000,16864.4,16866.7,16836.7,16848.2,128139.0
1672826400000,16848.2,16848.4,16834.7,16846.9,82365.0
1672830000000,16847.0,16855.9,16837.4,16837.5,72700.0
1672833600000,16837.5,16849.9,16812.0,16818.5,184562.0
1672837200000,16818.5,16840.6,16815.4,16828.9,131083.0
1672840800000,16828.9,16863.5,16798.0,16826.1,477215.0
1672844400000,16826.0,16856.7,16766.8,16853.4,538939.0
1672848000000,16854.4,16898.0,16831.8,16856.9,282668.0
1672851600000,16857.0,16942.9,16848.3,16891.3,366880.0
1672855200000,16891.3,16984.2,16870.5,16946.8,338716.0
1672858800000,16946.7,16988.9,16785.1,16839.8,677460.0
1672862400000,16839.8,16848.0,16775.2,16806.0,203422.0
1672866000000,16806.0,16826.9,16794.0,16826.3,75325.0
1672869600000,16826.3,16844.6,16814.8,16825.1,52952.0
1672873200000,16825.1,16866.0,16813.0,16850.6,124167.0
1672876800000,16850.7,16877.1,16830.0,16830.0,145772.0
1672880400000,16830.0,16852.6,16810.4,16837.8,126196.0
1672884000000,16837.8,16846.2,16828.0,16839.7,53309.0
1672887600000,16839.7,16840.3,16822.2,16829.0,59775.0
1672891200000,16829.0,16844.3,16825.3,16839.8,53412.0
1672894800000,16839.8,16850.8,16838.8,16846.0,61002.0
1672898400000,16846.1,16846.1,16814.1,16820.5,87493.0
1672902000000,16820.5,16827.1,16792.4,16827.0,170067.0
1672905600000,16827.1,16830.7,16794.5,16808.2,118509.0
1672909200000,16808.2,16812.0,16780.9,16806.6,186419.0
1672912800000,16806.6,16838.4,16803.6,16824.4,129070.0
1672916400000,16824.5,16836.9,16815.8,16833.0,59501.0
1672920000000,16832.9,16833.0,16816.3,16820.5,60593.0
1672923600000,16820.5,16828.6,16774.1,16779.2,278958.0
1672927200000,16779.1,16838.9,16755.9,16831.4,644006.0
1672930800000,16831.4,16881.0,16827.3,16846.2,591478.0
1672934400000,16846.2,16864.0,16825.1,16840.0,169363.0
1672938000000,16840.0,16846.8,16813.0,16814.2,60017.0
1672941600000,16814.2,16848.0,16802.0,16845.6,88353.0
1672945200000,16845.7,16879.8,16832.6,16869.1,163208.0
1672948800000,16869.1,16873.0,16851.9,16862.1,63456.0
1672952400000,16862.2,16865.0,16836.6,16851.5,42189.0
1672956000000,16851.5,16859.7,16837.1,16841.2,49716.0
1672959600000,16841.2,16849.7,16822.9,16834.4,90615.0
1672963200000,16834.3,16871.9,16827.5,16861.5,114278.0
1672966800000,16861.5,16863.0,16821.0,16825.7,128265.0
1672970400000,16825.6,16836.5,16799.9,16836.5,132395.0
1672974000000,16836.5,16839.0,16825.1,16831.0,67964.0
1672977600000,16831.0,16833.7,16802.5,16821.2,117259.0
1672981200000,16821.1,16821.5,16787.9,16809.1,142757.0
1672984800000,16809.1,16813.3,16779.9,16785.9,154418.0
1672988400000,16785.9,16802.1,16779.7,16792.5,82608.0
1672992000000,16792.5,16812.0,16792.5,16801.5,63896.0
1672995600000,16801.5,16801.5,16763.6,16788.9,136262.0
1672999200000,16788.9,16804.1,16766.0,16770.1,74507.0
1673002800000,16770.0,16774.7,16710.0,16744.3,502357.0
1673006400000,16744.3,16753.0,16724.0,16736.5,178788.0
1673010000000,16736.4,16819.5,16675.3,16778.4,984498.0
1673013600000,16778.4,16795.6,16724.3,16752.2,301872.0
1673017200000,16752.3,16849.8,16752.3,16844.7,512450.0
1673020800000,16844.7,16851.9,16810.0,16830.3,173157.0
1673024400000,16829.4,16845.7,16813.7,16821.0,93795.0
1673028000000,16821.0,16861.9,16821.0,16849.3,154195.0
1673031600000,16850.8,16961.9,16845.5,16934.4,381195.0
1673035200000,16935.0,17036.0,16884.8,16892.8,705700.0
1673038800000,16891.8,16944.0,16886.0,16925.3,168127.0
1673042400000,16925.4,16961.0,16925.4,16952.0,114332.0
1673046000000,16952.1,16975.2,16936.0,16944.6,150065.0
1673049600000,16944.6,16976.2,16931.7,16976.2,165333.0
1673053200000,16976.1,16981.2,16943.2,16950.1,142211.0
1673056800000,16950.0,16955.9,16938.6,16943.9,85214.0
1673060400000,16943.9,16955.5,16938.0,16955.0,57128.0
1673064000000,16955.0,16955.1,16937.5,16938.9,43218.0
1673067600000,16938.9,16943.7,16931.5,16938.3,36662.0
1673071200000,16938.3,16940.1,16924.6,16936.1,76948.0
1673074800000,16936.0,16951.1,16936.0,16950.4,54032.0
1673078400000,16950.4,16954.1,16928.4,16929.3,93539.0
1673082000000,16929.4,16933.1,16922.8,16929.1,74672.0
1673085600000,16929.2,16929.2,16912.2,16924.3,91875.0
1673089200000,16924.2,16927.1,16910.9,16920.5,61157.0
1673092800000,16920.5,16922.6,16910.7,16919.4,58357.0
1673096400000,16919.4,16939.7,16915.0,16920.0,82653.0
