ts,open,high,low,close,volume
1672531200000,0.07025,0.07035,0.06939,0.06981,156789.0
1672534800000,0.06981,0.07006,0.06948,0.06991,96151.0
1672538400000,0.06991,0.07042,0.06977,0.06983,105209.0
1672542000000,0.06983,0.06992,0.0696,0.06985,77377.0
1672545600000,0.06985,0.06987,0.06907,0.06921,154364.0
1672549200000,0.0692,0.06946,0.06907,0.06936,87828.0
1672552800000,0.06936,0.0695,0.06922,0.06927,79768.0
1672556400000,0.06927,0.0696,0.06905,0.06944,104528.0
1672560000000,0.06944,0.06954,0.06917,0.06924,78699.0
1672563600000,0.06924,0.06972,0.06916,0.06965,107095.0
1672567200000,0.06966,0.06972,0.06947,0.0697,59479.0
1672570800000,0.0697,0.06994,0.06952,0.06964,81919.0
1672574400000,0.06965,0.06981,0.06951,0.06957,83295.0
1672578000000,0.06958,0.06967,0.0694,0.06958,74814.0
1672581600000,0.06957,0.06986,0.06951,0.06956,62495.0
1672585200000,0.06956,0.06977,0.0695,0.06974,57615.0
1672588800000,0.06974,0.06994,0.06963,0.06963,71807.0
1672592400000,0.06964,0.07019,0.06956,0.06982,88553.0
1672596000000,0.06982,0.07084,0.06982,0.07032,111342.0
1672599600000,0.07031,0.07056,0.07017,0.07035,47641.0
1672603200000,0.07035,0.07088,0.07031,0.07041,59944.0
1672606800000,0.07042,0.07052,0.07026,0.07035,28050.0
1672610400000,0.07035,0.07043,0.06983,0.07012,33226.0
1672614000000,0.07012,0.07028,0.06988,0.07022,46322.0
1672617600000,0.07023,0.07033,0.06975,0.06983,58246.0
1672621200000,0.06983,0.06989,0.06901,0.06916,183761.0
1672624800000,0.06916,0.06962,0.06908,0.06945,73727.0
1672628400000,0.06945,0.07017,0.0694,0.07002,87744.0
1672632000000,0.07002,0.07007,0.06983,0.06995,56370.0
1672635600000,0.06995,0.07029,0.06985,0.07022,46959.0
1672639200000,0.07023,0.07039,0.07006,0.0701,44921.0
1672642800000,0.07009,0.0738,0.07008,0.07179,680965.0
1672646400000,0.0718,0.07255,0.07167,0.07208,207142.0
1672650000000,0.07207,0.07236,0.07187,0.07203,78520.0
1672653600000,0.07202,0.07225,0.07168,0.07197,84345.0
1672657200000,0.07197,0.07201,0.07137,0.07182,87225.0
1672660800000,0.07183,0.0722,0.0718,0.07196,82326.0
1672664400000,0.07195,0.07216,0.0716,0.07179,107507.0
1672668000000,0.07179,0.07202,0.07171,0.07192,56599.0
1672671600000,0.07193,0.0728,0.07176,0.0724,207348.0
1672675200000,0.07238,0.0725,0.07191,0.07199,60028.0
1672678800000,0.07199,0.07207,0.07183,0.07204,34980.0
1672682400000,0.07203,0.07224,0.07192,0.07216,29831.0
1672686000000,0.07216,0.07235,0.07197,0.07219,35488.0
1672689600000,0.07219,0.07225,0.07202,0.07214,14310.0
1672693200000,0.07215,0.07273,0.07207,0.07247,50258.0
1672696800000,0.07248,0.0725,0.07175,0.0718,38203.0
