ts,rate
1775577600000,3.04524560141e-05
1775606400000,0.0001
1775635200000,0.0001
1775664000000,-3.0199277383e-06
1775692800000,0.0001
1775721600000,-5.38303885255e-05
1775750400000,0.0001
1775779200000,0.0001
1775808000000,0.0001
1775836800000,1.85979082087e-05
1775865600000,9.78370176838e-05
1775894400000,2.71172195119e-05
1775923200000,3.91381975411e-05
1775952000000,0.0001
1775980800000,4.73111997072e-05
1776009600000,-1.2678714392e-05
1776038400000,3.3117964025e-05
1776067200000,2.22155691028e-05
1776096000000,0.0001
1776124800000,0.0001
1776153600000,0.0001
1776182400000,0.0001
1776211200000,-3.76870016524e-05
1776240000000,6.04610739699e-05
1776268800000,-4.06759179241e-05
1776297600000,0.0001
1776326400000,6.70822611334e-05
1776355200000,3.74555856779e-05
1776384000000,7.29296704712e-05
1776412800000,9.34604015374e-05
1776441600000,3.39279698378e-05
1776470400000,0.0001
1776499200000,0.0001
1776528000000,6.69101536292e-05
1776556800000,-2.51356297165e-05
1776585600000,-1.96859961181e-05
1776614400000,6.43968191191e-05
1776643200000,-2.6517388674e-06
1776672000000,3.44780809853e-05
1776700800000,1.78692911003e-05
1776729600000,0.0001
1776758400000,0.0001
1776787200000,7.9549048931e-05
1776816000000,4.44086707457e-05
1776844800000,0.0001
1776873600000,0.0001
1776902400000,-7.16601789635e-05
1776931200000,-7.00794310408e-05
1776960000000,-7.07195190151e-05
1776988800000,-8.76073279782e-05
1777017600000,-3.28934642055e-05
1777046400000,5.21474604502e-05
1777075200000,-4.6449116772e-05
1777104000000,1.36726425876e-05
1777132800000,2.33006106272e-05
1777161600000,1.99723439294e-05
1777190400000,-9.20425052839e-05
1777219200000,-1.36707008097e-05
1777248000000,3.40244926562e-05
1777276800000,3.35653726e-06
1777305600000,1.21183250764e-05
1777334400000,5.20894097631e-05
1777363200000,-5.09933063781e-05
1777392000000,0.0001
1777420800000,-7.17676187927e-05
1777449600000,-5.38335434174e-05
1777478400000,1.45471575085e-05
1777507200000,7.05827608218e-05
1777536000000,3.89975424695e-05
1777564800000,7.12355031302e-05
1777593600000,-2.03577527505e-05
1777622400000,-2.26123596589e-05
1777651200000,-2.13105175742e-05
1777680000000,3.14169589267e-05
1777708800000,9.81873073129e-05
1777737600000,-7.7516840413e-06
1777766400000,-7.0368977125e-06
1777795200000,7.09967383395e-05
1777824000000,5.65152004181e-05
1777852800000,6.4477960715e-05
1777881600000,-2.08818902581e-05
1777910400000,2.12409653544e-05
1777939200000,0.0001
1777968000000,-6.38760063672e-05
1777996800000,-5.41833121978e-05
1778025600000,3.22772958146e-05
1778054400000,6.72670470267e-05
1778083200000,0.0001
1778112000000,0.0001
1778140800000,8.69399661979e-05
1778169600000,0.0001
1778198400000,0.0001
1778227200000,0.0001
1778256000000,6.57725835347e-05
1778284800000,8.74253462918e-05
1778313600000,9.22538271797e-05
1778342400000,0.0001
1778371200000,0.0001
1778400000000,8.70906807943e-05
1778428800000,0.0001
1778457600000,8.66280457928e-05
1778486400000,0.0001
1778515200000,1.48630852131e-05
1778544000000,-4.26208165382e-05
1778572800000,3.1186146588e-05
1778601600000,1.00672756281e-05
