ts,open,high,low,close,volume
1672531200000,1196.59,1197.09,1192.68,1194.05,548311.0
1672534800000,1194.06,1196.66,1193.79,1196.22,234736.0
1672538400000,1196.21,1197.29,1194.21,1195.96,246215.0
1672542000000,1195.96,1195.96,1191.67,1194.4,640762.0
1672545600000,1194.4,1194.41,1191.0,1193.42,434929.0
1672549200000,1193.41,1195.0,1193.13,1194.69,245315.0
1672552800000,1194.69,1195.5,1194.01,1194.58,193541.0
1672556400000,1194.57,1195.74,1193.0,1194.86,327788.0
1672560000000,1194.87,1195.99,1193.87,1194.04,203585.0
1672563600000,1194.04,1196.79,1193.5,1196.55,282288.0
1672567200000,1196.53,1197.12,1195.07,1196.89,204811.0
1672570800000,1196.89,1197.42,1195.5,1196.15,188986.0
1672574400000,1196.14,1198.25,1195.5,1197.0,322550.0
1672578000000,1197.0,1197.16,1193.2,1195.02,385830.0
1672581600000,1195.02,1195.7,1194.04,1194.28,143278.0
1672585200000,1194.27,1196.5,1194.02,1196.34,159910.0
1672588800000,1196.34,1198.52,1195.64,1197.3,437196.0
1672592400000,1197.3,1204.0,1197.3,1200.63,863891.0
1672596000000,1200.62,1202.92,1200.62,1200.87,267320.0
1672599600000,1200.87,1204.78,1200.87,1201.77,396724.0
1672603200000,1201.77,1204.73,1201.05,1201.32,180959.0
1672606800000,1201.35,1202.89,1200.29,1202.47,131339.0
1672610400000,1202.47,1202.9,1200.2,1201.0,113363.0
1672614000000,1201.0,1202.56,1199.0,1200.45,229809.0
1672617600000,1200.27,1200.86,1197.08,1198.22,348720.0
1672621200000,1198.21,1198.28,1193.0,1194.84,919159.0
1672624800000,1194.83,1197.22,1194.2,1196.68,243884.0
1672628400000,1196.67,1203.67,1196.38,1201.68,713574.0
1672632000000,1201.68,1202.86,1199.67,1201.48,614623.0
1672635600000,1201.48,1202.5,1199.87,1201.95,318381.0
1672639200000,1201.95,1203.8,1200.06,1201.18,412864.0
1672642800000,1201.19,1221.75,1201.0,1212.96,3473992.0
1672646400000,1212.94,1216.89,1212.5,1215.31,828374.0
1672650000000,1215.32,1219.01,1215.16,1216.74,1025034.0
1672653600000,1216.73,1225.42,1216.21,1217.5,1140629.0
1672657200000,1217.5,1217.75,1214.01,1217.38,544646.0
1672660800000,1217.38,1218.6,1216.27,1216.51,319678.0
1672664400000,1216.51,1216.85,1214.01,1215.05,410721.0
1672668000000,1215.06,1218.83,1214.69,1216.79,495531.0
1672671600000,1216.78,1221.0,1215.56,1218.76,880687.0
1672675200000,1218.76,1219.25,1215.51,1215.97,361477.0
1672678800000,1215.96,1217.07,1215.38,1216.78,208796.0
1672682400000,1216.79,1219.1,1216.46,1217.85,158803.0
1672686000000,1217.92,1219.18,1217.09,1218.96,108128.0
1672689600000,1218.96,1219.01,1216.28,1218.36,107474.0
1672693200000,1218.36,1223.98,1218.03,1219.98,384460.0
1672696800000,1219.87,1220.37,1210.75,1214.91,550278.0
1672700400000,1214.9,1217.19,1212.59,1213.87,426651.0
1672704000000,1213.87,1216.69,1212.68,1215.59,344042.0
1672707600000,1215.58,1215.84,1211.22,1214.2,627727.0
1672711200000,1214.2,1215.42,1213.03,1214.0,224828.0
1672714800000,1214.01,1216.28,1212.92,1215.62,272026.0
