ts,rate
1775548800000,-1.21339042567e-05
1775577600000,4.81418566444e-05
1775606400000,6.57957036669e-05
1775635200000,6.05508619451e-05
1775664000000,9.98773890668e-05
1775692800000,0.0001
1775721600000,-3.90246899054e-05
1775750400000,0.0001
1775779200000,0.0001
1775808000000,0.0001
1775836800000,-1.11168462566e-05
1775865600000,-6.33167842272e-05
1775894400000,7.25670565697e-05
1775923200000,-3.90668770469e-05
1775952000000,8.1362987413e-05
1775980800000,7.64129686246e-05
1776009600000,1.77746144566e-05
1776038400000,-1.16794654647e-05
1776067200000,2.77366949822e-05
1776096000000,3.49914360104e-05
1776124800000,9.7481741966e-05
1776153600000,3.59476919661e-05
1776182400000,5.47814609277e-05
1776211200000,-2.0582582461e-05
1776240000000,7.81826299608e-05
1776268800000,-2.23026705103e-05
1776297600000,-3.06846161233e-05
1776326400000,-3.24645122707e-05
1776355200000,-4.16342922707e-05
1776384000000,-2.1117684104e-06
1776412800000,4.37197212342e-05
1776441600000,-5.90114269263e-05
1776470400000,2.0690757062e-05
1776499200000,6.42999467899e-05
1776528000000,0.0001
1776556800000,-0.0001047193253269
1776585600000,-3.62577017788e-05
1776614400000,-0.0001312788206064
1776643200000,3.17615385154e-05
1776672000000,-3.39560086422e-05
1776700800000,3.57797157923e-05
1776729600000,-5.8778697071e-05
1776758400000,-2.01064386203e-05
1776787200000,-3.49711536406e-05
1776816000000,-1.74181959113e-05
1776844800000,6.53846168056e-05
1776873600000,-2.87941602719e-05
1776902400000,2.22588623466e-05
1776931200000,-3.78413703615e-05
1776960000000,-7.17975050658e-05
1776988800000,-3.35490466586e-05
1777017600000,-3.15256781745e-05
1777046400000,-4.70710267256e-05
1777075200000,6.7112764548e-05
1777104000000,5.02694801941e-05
1777132800000,-2.9112961464e-06
1777161600000,8.60667748344e-05
1777190400000,-1.10889437727e-05
1777219200000,-2.37150850001e-05
1777248000000,-3.24023094876e-05
1777276800000,-4.80903039272e-05
1777305600000,-4.77373345271e-05
1777334400000,-0.00010266704403
1777363200000,-6.76004576448e-05
1777392000000,-3.2101829619e-06
1777420800000,2.7213588524e-06
1777449600000,7.31792614134e-05
1777478400000,6.6511834034e-05
1777507200000,-1.18463527658e-05
1777536000000,-5.2657289665e-06
1777564800000,-3.3452953834e-05
1777593600000,-3.15515617476e-05
1777622400000,-3.9506209792e-05
1777651200000,-5.84186335223e-05
