ts,open,high,low,close,volume
2025-02-21 07:00:00+00:00,25.83,25.83,24.691,24.864,141386.4
2025-02-21 08:00:00+00:00,24.864,25.076,24.808,24.995,37880.4
2025-02-21 09:00:00+00:00,24.995,25.449,24.995,25.225,67724.3
2025-02-21 10:00:00+00:00,25.225,25.397,25.063,25.338,23291.3
2025-02-21 11:00:00+00:00,25.335,25.393,24.961,24.975,67339.3
2025-02-21 12:00:00+00:00,24.996,25.191,24.966,25.153,13743.4
2025-02-21 13:00:00+00:00,25.153,25.452,24.73,25.438,44979.0
2025-02-21 14:00:00+00:00,25.438,25.451,25.063,25.162,25980.4
2025-02-21 15:00:00+00:00,25.16,25.315,23.658,25.243,113843.0
2025-02-21 16:00:00+00:00,25.243,26.096,25.114,25.55,140133.1
2025-02-21 17:00:00+00:00,25.536,25.623,24.721,24.913,42960.7
2025-02-21 18:00:00+00:00,24.895,25.265,24.646,24.647,39296.9
2025-02-21 19:00:00+00:00,24.647,24.703,23.742,24.178,56166.5
2025-02-21 20:00:00+00:00,24.181,24.656,24.063,24.568,25217.5
2025-02-21 21:00:00+00:00,24.566,24.887,24.403,24.73,23919.7
2025-02-21 22:00:00+00:00,24.725,25.177,24.712,24.855,14175.0
2025-02-21 23:00:00+00:00,24.861,25.1,24.675,25.04,13903.3
2025-02-22 00:00:00+00:00,25.046,25.049,24.668,24.981,19372.8
2025-02-22 01:00:00+00:00,24.989,25.175,24.891,24.901,10729.4
2025-02-22 02:00:00+00:00,24.9,25.092,24.861,24.902,25212.3
2025-02-22 03:00:00+00:00,24.902,25.02,24.837,24.857,10472.0
2025-02-22 04:00:00+00:00,24.859,24.892,24.792,24.848,8496.7
2025-02-22 05:00:00+00:00,24.85,24.914,24.764,24.873,5137.0
2025-02-22 06:00:00+00:00,24.877,24.925,24.74,24.76,13203.2
2025-02-22 07:00:00+00:00,24.76,24.76,24.445,24.474,11408.8
2025-02-22 08:00:00+00:00,24.479,24.536,24.293,24.33,26661.3
2025-02-22 09:00:00+00:00,24.331,24.514,24.224,24.37,19511.3
2025-02-22 10:00:00+00:00,24.366,24.59,24.366,24.522,17086.1
2025-02-22 11:00:00+00:00,24.527,24.614,24.489,24.576,12281.0
2025-02-22 12:00:00+00:00,24.569,24.688,24.5,24.665,18175.0
