,funding
2026-04-07 08:00:00+00:00,5e-05
2026-04-07 12:00:00+00:00,5e-05
2026-04-07 16:00:00+00:00,5e-05
2026-04-07 20:00:00+00:00,5e-05
2026-04-08 00:00:00+00:00,5e-05
2026-04-08 04:00:00+00:00,5e-05
2026-04-08 08:00:00+00:00,5e-05
2026-04-08 12:00:00+00:00,5e-05
2026-04-08 16:00:00+00:00,5e-05
2026-04-08 20:00:00+00:00,5e-05
2026-04-09 00:00:00+00:00,-7.52519915456e-05
2026-04-09 04:00:00+00:00,3.2126284433e-06
2026-04-09 08:00:00+00:00,-0.0001007464124083
2026-04-09 12:00:00+00:00,-9.1107881589e-06
2026-04-09 16:00:00+00:00,5e-05
2026-04-09 20:00:00+00:00,5e-05
2026-04-10 00:00:00+00:00,5.9752582199e-06
2026-04-10 04:00:00+00:00,-2.79478493791e-05
2026-04-10 08:00:00+00:00,-1.70931590786e-05
2026-04-10 12:00:00+00:00,-3.20566397513e-05
2026-04-10 16:00:00+00:00,-2.74639393227e-05
2026-04-10 20:00:00+00:00,2.82752459576e-05
2026-04-11 00:00:00+00:00,5e-05
2026-04-11 04:00:00+00:00,5e-05
2026-04-11 08:00:00+00:00,5e-05
2026-04-11 12:00:00+00:00,-8.386045822e-07
2026-04-11 16:00:00+00:00,5e-05
2026-04-11 20:00:00+00:00,5e-05
2026-04-12 00:00:00+00:00,4.84396419607e-05
2026-04-12 04:00:00+00:00,5e-05
2026-04-12 08:00:00+00:00,5e-05
2026-04-12 12:00:00+00:00,5e-05
2026-04-12 16:00:00+00:00,5e-05
2026-04-12 20:00:00+00:00,3.64995234452e-05
2026-04-13 00:00:00+00:00,3.82650623856e-05
2026-04-13 04:00:00+00:00,2.13740931007e-05
2026-04-13 08:00:00+00:00,6.3287311108e-06
2026-04-13 12:00:00+00:00,-4.63288426644e-05
2026-04-13 16:00:00+00:00,-0.0001007792753632
2026-04-13 20:00:00+00:00,-0.0001283571944143
2026-04-14 00:00:00+00:00,-4.0019273146e-05
2026-04-14 04:00:00+00:00,-0.0001010560682199
2026-04-14 08:00:00+00:00,-3.40088964533e-05
2026-04-14 12:00:00+00:00,4.1698783066e-05
2026-04-14 16:00:00+00:00,-5.95675230626e-05
2026-04-15 00:00:00+00:00,-3.64702837996e-05
2026-04-15 08:00:00+00:00,-0.0001487760431259
2026-04-15 16:00:00+00:00,-0.0001357849813959
2026-04-16 00:00:00+00:00,-0.0001711354565741
2026-04-16 08:00:00+00:00,-0.0001936549403001
2026-04-16 16:00:00+00:00,-0.0001548905794056
2026-04-17 00:00:00+00:00,-0.0003548169342457
2026-04-17 08:00:00+00:00,-9.76120342173e-05
2026-04-17 16:00:00+00:00,-8.09748931454e-05
2026-04-18 00:00:00+00:00,1.83479408435e-05
2026-04-18 08:00:00+00:00,-4.89254801112e-05
2026-04-18 16:00:00+00:00,8.34892016033e-05
2026-04-19 00:00:00+00:00,6.7657883016e-05
2026-04-19 08:00:00+00:00,0.0001
2026-04-19 16:00:00+00:00,0.0001
2026-04-20 00:00:00+00:00,0.0001
2026-04-20 08:00:00+00:00,0.0001
2026-04-20 16:00:00+00:00,0.0001
2026-04-21 00:00:00+00:00,0.0001
2026-04-21 08:00:00+00:00,0.0001
2026-04-21 16:00:00+00:00,0.0001
2026-04-22 00:00:00+00:00,0.0001
2026-04-22 08:00:00+00:00,-3.86964996744e-05
2026-04-22 16:00:00+00:00,-4.55378377224e-05
2026-04-23 00:00:00+00:00,1.18452792207e-05
2026-04-23 08:00:00+00:00,2.92631413518e-05
2026-04-23 16:00:00+00:00,3.07449997587e-05
2026-04-24 00:00:00+00:00,0.0001
2026-04-24 08:00:00+00:00,0.0001
2026-04-24 16:00:00+00:00,4.46278115409e-05
2026-04-25 00:00:00+00:00,0.0001
2026-04-25 08:00:00+00:00,0.0001
2026-04-25 16:00:00+00:00,9.17406913651e-05
2026-04-26 00:00:00+00:00,0.0001
