ts,open,high,low,close,volume
1672531200000,5.575,5.581,5.513,5.525,155881.0
1672534800000,5.525,5.566,5.523,5.555,108014.0
1672538400000,5.555,5.566,5.546,5.546,92518.0
1672542000000,5.546,5.558,5.533,5.552,79702.0
1672545600000,5.552,5.554,5.504,5.517,158174.0
1672549200000,5.516,5.546,5.512,5.535,99296.0
1672552800000,5.536,5.547,5.53,5.545,48606.0
1672556400000,5.545,5.548,5.517,5.53,69558.0
1672560000000,5.53,5.539,5.511,5.514,75793.0
1672563600000,5.514,5.58,5.511,5.576,101083.0
1672567200000,5.576,5.579,5.555,5.569,105569.0
1672570800000,5.569,5.591,5.569,5.575,133280.0
1672574400000,5.575,5.588,5.563,5.572,97671.0
1672578000000,5.571,5.577,5.55,5.561,94814.0
1672581600000,5.561,5.577,5.554,5.555,31163.0
1672585200000,5.554,5.599,5.554,5.595,130469.0
1672588800000,5.595,5.605,5.582,5.596,113630.0
1672592400000,5.596,5.62,5.595,5.609,119279.0
1672596000000,5.609,5.638,5.609,5.617,168808.0
1672599600000,5.616,5.621,5.599,5.605,96683.0
1672603200000,5.605,5.64,5.605,5.615,57936.0
1672606800000,5.615,5.629,5.611,5.628,41922.0
1672610400000,5.626,5.63,5.605,5.614,53855.0
1672614000000,5.614,5.631,5.61,5.629,71587.0
1672617600000,5.629,5.662,5.601,5.603,190372.0
1672621200000,5.603,5.608,5.546,5.561,369382.0
1672624800000,5.561,5.594,5.557,5.576,120391.0
1672628400000,5.576,5.632,5.575,5.626,163827.0
1672632000000,5.627,5.636,5.599,5.611,71560.0
1672635600000,5.611,5.638,5.605,5.632,95174.0
1672639200000,5.634,5.649,5.608,5.614,106974.0
1672642800000,5.613,5.739,5.612,5.681,712453.0
1672646400000,5.682,5.722,5.676,5.688,250764.0
1672650000000,5.689,5.711,5.684,5.694,106133.0
1672653600000,5.695,5.727,5.683,5.69,139953.0
1672657200000,5.69,5.699,5.659,5.694,108567.0
1672660800000,5.694,5.712,5.677,5.684,84197.0
1672664400000,5.683,5.702,5.654,5.666,135791.0
1672668000000,5.665,5.685,5.66,5.683,88863.0
1672671600000,5.678,5.715,5.672,5.7,152315.0
1672675200000,5.699,5.713,5.688,5.691,63729.0
1672678800000,5.695,5.727,5.683,5.716,113083.0
1672682400000,5.716,5.74,5.698,5.699,169465.0
1672686000000,5.704,5.734,5.698,5.729,105223.0
1672689600000,5.73,5.731,5.711,5.718,21676.0
1672693200000,5.72,5.762,5.72,5.745,104064.0
1672696800000,5.743,5.749,5.682,5.692,112199.0
1672700400000,5.691,5.712,5.67,5.693,108428.0
1672704000000,5.691,5.715,5.684,5.701,76913.0
1672707600000,5.7,5.705,5.639,5.672,155373.0
1672711200000,5.671,5.682,5.663,5.668,46324.0
1672714800000,5.668,5.686,5.657,5.679,66108.0
1672718400000,5.678,5.686,5.648,5.65,94259.0
1672722000000,5.651,5.696,5.649,5.695,147891.0
1672725600000,5.695,5.722,5.676,5.683,216309.0
1672729200000,5.682,5.69,5.666,5.686,98949.0
1672732800000,5.686,5.694,5.631,5.649,180126.0
1672736400000,5.649,5.685,5.647,5.674,141631.0
1672740000000,5.675,5.683,5.667,5.667,77264.0
1672743600000,5.667,5.678,5.65,5.664,95811.0
1672747200000,5.664,5.673,5.65,5.658,72553.0
1672750800000,5.659,5.702,5.656,5.691,157704.0
1672754400000,5.691,5.712,5.588,5.62,519450.0
1672758000000,5.62,5.648,5.601,5.633,205762.0
1672761600000,5.632,5.649,5.595,5.598,149302.0
1672765200000,5.597,5.621,5.564,5.599,151504.0
1672768800000,5.598,5.599,5.567,5.594,122603.0
1672772400000,5.594,5.606,5.578,5.597,69033.0
1672776000000,5.596,5.613,5.592,5.593,85427.0
1672779600000,5.594,5.607,5.592,5.606,43876.0
1672783200000,5.608,5.614,5.571,5.598,73860.0
1672786800000,5.598,5.629,5.598,5.622,72725.0
1672790400000,5.622,5.632,5.611,5.626,119430.0
1672794000000,5.626,5.703,5.622,5.681,296637.0
1672797600000,5.683,5.751,5.683,5.749,278819.0
1672801200000,5.751,5.816,5.747,5.79,526164.0
1672804800000,5.79,5.801,5.76,5.79,133329.0
1672808400000,5.789,5.81,5.764,5.806,201791.0
1672812000000,5.807,5.822,5.788,5.815,233909.0
1672815600000,5.815,5.838,5.787,5.8,354439.0
1672819200000,5.799,5.824,5.758,5.79,231640.0
1672822800000,5.79,5.79,5.759,5.77,138388.0
1672826400000,5.77,5.78,5.764,5.773,110397.0
1672830000000,5.772,5.775,5.759,5.766,48327.0
1672833600000,5.767,5.794,5.754,5.763,125715.0
1672837200000,5.763,5.846,5.762,5.806,317190.0
1672840800000,5.807,5.814,5.774,5.788,181029.0
1672844400000,5.79,5.812,5.72,5.812,315585.0
1672848000000,5.812,5.837,5.79,5.819,344235.0
1672851600000,5.818,5.857,5.798,5.799,216866.0
1672855200000,5.801,5.846,5.797,5.814,92140.0
1672858800000,5.813,5.837,5.745,5.77,348069.0
1672862400000,5.769,5.77,5.707,5.738,143049.0
1672866000000,5.737,5.753,5.729,5.748,45293.0
1672869600000,5.75,5.763,5.736,5.749,50443.0
1672873200000,5.749,5.815,5.749,5.809,99951.0
1672876800000,5.808,5.817,5.764,5.765,131639.0
1672880400000,5.764,5.792,5.741,5.776,158254.0
1672884000000,5.776,5.782,5.754,5.772,63953.0
1672887600000,5.773,5.779,5.746,5.762,65809.0
1672891200000,5.765,5.789,5.761,5.784,157213.0
1672894800000,5.785,5.802,5.779,5.788,185538.0
1672898400000,5.788,5.793,5.745,5.758,114320.0
1672902000000,5.757,5.767,5.729,5.764,128327.0
1672905600000,5.765,5.765,5.718,5.741,137312.0
1672909200000,5.741,5.741,5.684,5.717,198572.0
1672912800000,5.717,5.734,5.707,5.722,119545.0
1672916400000,5.722,5.728,5.7,5.721,79577.0
1672920000000,5.72,5.72,5.686,5.707,110135.0
1672923600000,5.707,5.718,5.662,5.675,245738.0
1672927200000,5.674,5.715,5.67,5.711,175637.0
1672930800000,5.711,5.739,5.7,5.716,181331.0
1672934400000,5.716,5.738,5.704,5.73,95245.0
1672938000000,5.731,5.746,5.715,5.719,80797.0
1672941600000,5.721,5.761,5.72,5.759,103115.0
1672945200000,5.759,5.763,5.742,5.752,98337.0
1672948800000,5.752,5.758,5.734,5.747,47450.0
1672952400000,5.747,5.754,5.722,5.735,102123.0
1672956000000,5.735,5.737,5.602,5.655,335202.0
1672959600000,5.653,5.674,5.604,5.66,421761.0
1672963200000,5.66,5.677,5.628,5.67,235417.0
1672966800000,5.67,5.682,5.637,5.645,119960.0
1672970400000,5.645,5.659,5.616,5.653,153676.0
1672974000000,5.653,5.658,5.635,5.636,94697.0
1672977600000,5.635,5.641,5.583,5.623,236081.0
1672981200000,5.623,5.626,5.589,5.606,115295.0
1672984800000,5.605,5.617,5.575,5.613,174349.0
1672988400000,5.613,5.619,5.604,5.618,69553.0
1672992000000,5.62,5.63,5.603,5.626,133113.0
1672995600000,5.627,5.627,5.594,5.622,67307.0
1672999200000,5.623,5.624,5.594,5.601,37863.0
1673002800000,5.602,5.613,5.578,5.606,163105.0
1673006400000,5.606,5.608,5.587,5.597,95792.0
1673010000000,5.597,5.641,5.517,5.6,898429.0
1673013600000,5.603,5.628,5.589,5.617,155672.0
1673017200000,5.618,5.659,5.614,5.652,247356.0
1673020800000,5.652,5.674,5.631,5.665,187196.0
1673024400000,5.667,5.675,5.653,5.655,67321.0
1673028000000,5.659,5.69,5.659,5.674,123385.0
1673031600000,5.676,5.726,5.659,5.714,226007.0
1673035200000,5.714,5.727,5.672,5.676,146694.0
1673038800000,5.677,5.696,5.672,5.687,45028.0
1673042400000,5.686,5.715,5.686,5.713,68197.0
1673046000000,5.714,5.729,5.696,5.711,229428.0
1673049600000,5.712,5.741,5.691,5.734,243983.0
1673053200000,5.734,5.805,5.733,5.799,468316.0
1673056800000,5.798,5.804,5.759,5.765,162402.0
1673060400000,5.765,5.775,5.753,5.769,123666.0
1673064000000,5.769,5.789,5.76,5.785,62831.0
1673067600000,5.785,5.788,5.748,5.75,221545.0
1673071200000,5.75,5.761,5.736,5.756,95908.0
1673074800000,5.757,5.778,5.753,5.778,99048.0
1673078400000,5.779,5.779,5.746,5.75,132805.0
1673082000000,5.751,5.772,5.743,5.765,75127.0
1673085600000,5.764,5.782,5.762,5.768,128722.0
1673089200000,5.769,5.777,5.757,5.762,126064.0
1673092800000,5.763,5.776,5.757,5.766,83972.0
1673096400000,5.767,5.813,5.766,5.774,257907.0
1673100000000,5.774,5.795,5.771,5.794,60141.0
1673103600000,5.794,5.824,5.79,5.816,210797.0
1673107200000,5.816,5.837,5.781,5.792,312973.0
1673110800000,5.792,5.8,5.777,5.786,121939.0
1673114400000,5.786,5.808,5.786,5.791,133970.0
1673118000000,5.791,5.814,5.79,5.803,65710.0
1673121600000,5.803,5.812,5.775,5.786,81638.0
1673125200000,5.785,5.793,5.777,5.781,52666.0
1673128800000,5.781,5.822,5.774,5.806,130076.0
1673132400000,5.806,5.845,5.797,5.83,186937.0
1673136000000,5.83,5.846,5.753,5.784,314177.0
1673139600000,5.783,5.809,5.763,5.801,204324.0
1673143200000,5.802,5.808,5.768,5.786,72806.0
1673146800000,5.787,5.823,5.779,5.82,148099.0
1673150400000,5.821,5.826,5.812,5.818,99857.0
1673154000000,5.818,5.884,5.808,5.866,325448.0
1673157600000,5.866,5.868,5.833,5.839,144275.0
1673161200000,5.839,5.85,5.823,5.828,124962.0
1673164800000,5.828,5.862,5.821,5.838,229511.0
1673168400000,5.838,5.875,5.82,5.829,176023.0
1673172000000,5.83,5.84,5.807,5.81,92047.0
1673175600000,5.811,5.82,5.783,5.784,161868.0
1673179200000,5.784,5.803,5.775,5.784,86036.0
1673182800000,5.783,5.794,5.777,5.79,94886.0
1673186400000,5.79,5.843,5.787,5.838,165631.0
1673190000000,5.838,5.862,5.811,5.849,160949.0
1673193600000,5.851,5.863,5.789,5.808,176970.0
1673197200000,5.807,5.816,5.788,5.792,68038.0
1673200800000,5.791,5.818,5.783,5.816,90515.0
1673204400000,5.817,5.834,5.811,5.827,72899.0
1673208000000,5.826,5.881,5.821,5.863,222354.0
1673211600000,5.863,5.882,5.83,5.831,126328.0
1673215200000,5.832,5.863,5.826,5.857,59558.0
1673218800000,5.859,5.998,5.859,5.965,527432.0
1673222400000,5.963,6.033,5.934,6.027,556914.0
1673226000000,6.027,6.108,5.996,6.087,767068.0
1673229600000,6.085,6.139,6.054,6.081,565302.0
1673233200000,6.082,6.113,6.058,6.09,179864.0
1673236800000,6.091,6.127,6.091,6.12,162959.0
1673240400000,6.12,6.141,6.106,6.113,259374.0
1673244000000,6.113,6.122,6.073,6.08,251051.0
1673247600000,6.08,6.13,6.08,6.127,146320.0
1673251200000,6.127,6.18,6.11,6.143,280207.0
1673254800000,6.142,6.212,6.14,6.184,319385.0
1673258400000,6.184,6.236,6.16,6.187,538355.0
1673262000000,6.187,6.214,6.155,6.155,214312.0
1673265600000,6.157,6.195,6.156,6.172,136823.0
1673269200000,6.172,6.197,6.079,6.132,320333.0
1673272800000,6.132,6.193,6.089,6.182,320149.0
1673276400000,6.183,6.23,6.134,6.204,354467.0
1673280000000,6.204,6.257,6.163,6.199,400423.0
1673283600000,6.199,6.237,6.176,6.221,264395.0
1673287200000,6.222,6.237,6.137,6.165,272716.0
1673290800000,6.165,6.165,6.103,6.103,113115.0
1673294400000,6.102,6.111,6.012,6.074,434375.0
1673298000000,6.075,6.124,6.061,6.099,215649.0
1673301600000,6.1,6.1,6.022,6.062,241698.0
1673305200000,6.06,6.082,6.019,6.066,215627.0
1673308800000,6.067,6.135,6.066,6.133,168499.0
1673312400000,6.133,6.133,6.081,6.093,186761.0
1673316000000,6.094,6.122,5.97,6.038,508302.0
1673319600000,6.04,6.083,6.021,6.081,173101.0
1673323200000,6.08,6.098,6.058,6.097,208709.0
1673326800000,6.098,6.109,6.08,6.102,113340.0
1673330400000,6.104,6.11,6.071,6.093,106459.0
1673334000000,6.094,6.098,6.062,6.076,117264.0
1673337600000,6.077,6.112,6.054,6.112,162120.0
