ts,open,high,low,close,volume
1766545200000,3.7,4.0,3.18,3.572,315474.0
1766548800000,3.573,3.68,3.349,3.371,316662.0
1766552400000,3.37,3.499,3.337,3.457,229071.0
1766556000000,3.457,3.642,3.442,3.584,193547.0
1766559600000,3.581,3.592,3.405,3.439,249931.0
1766563200000,3.439,3.547,3.435,3.463,100090.0
1766566800000,3.463,3.533,3.428,3.449,96047.0
1766570400000,3.448,3.45,3.312,3.358,240687.0
1766574000000,3.357,3.458,3.318,3.342,110344.0
1766577600000,3.342,3.506,3.329,3.442,107959.0
1766581200000,3.444,3.563,3.353,3.494,193815.0
1766584800000,3.493,3.65,3.442,3.613,218942.0
1766588400000,3.614,3.615,3.431,3.465,110957.0
1766592000000,3.465,3.55,3.402,3.427,134107.0
1766595600000,3.428,3.483,3.402,3.424,58672.0
1766599200000,3.426,3.482,3.409,3.46,36275.0
1766602800000,3.46,3.505,3.435,3.476,29259.0
1766606400000,3.476,3.476,3.425,3.43,17402.0
1766610000000,3.432,3.445,3.406,3.412,12859.0
1766613600000,3.412,3.475,3.41,3.419,29147.0
1766617200000,3.419,3.432,3.393,3.415,33806.0
1766620800000,3.415,3.454,3.394,3.401,34466.0
1766624400000,3.4,3.403,3.376,3.386,40965.0
1766628000000,3.387,3.465,3.38,3.412,36410.0
1766631600000,3.411,3.488,3.411,3.424,36847.0
1766635200000,3.427,3.46,3.424,3.438,31240.0
1766638800000,3.44,3.516,3.435,3.497,58942.0
1766642400000,3.495,3.527,3.468,3.517,65725.0
1766646000000,3.517,3.533,3.478,3.519,42911.0
1766649600000,3.52,3.579,3.463,3.472,87130.0
1766653200000,3.473,3.506,3.463,3.469,34434.0
1766656800000,3.469,3.51,3.465,3.487,24879.0
1766660400000,3.487,3.514,3.482,3.507,27955.0
1766664000000,3.507,3.511,3.457,3.461,31268.0
1766667600000,3.462,3.48,3.448,3.474,19204.0
1766671200000,3.475,3.479,3.456,3.474,16639.0
1766674800000,3.475,3.517,3.388,3.468,117798.0
1766678400000,3.468,3.535,3.412,3.511,77374.0
1766682000000,3.512,3.517,3.299,3.408,141772.0
1766685600000,3.408,3.45,3.337,3.364,59460.0
1766689200000,3.364,3.393,3.341,3.347,21463.0
1766692800000,3.347,3.363,3.332,3.336,18886.0
1766696400000,3.334,3.34,3.31,3.315,16430.0
1766700000000,3.314,3.329,3.276,3.279,25703.0
1766703600000,3.277,3.349,3.273,3.309,53774.0
1766707200000,3.309,3.355,3.274,3.342,53203.0
1766710800000,3.343,3.411,3.322,3.332,37788.0
1766714400000,3.333,3.333,3.254,3.293,75133.0
1766718000000,3.295,3.388,3.292,3.36,54478.0
1766721600000,3.36,3.439,3.348,3.384,37135.0
1766725200000,3.385,3.396,3.35,3.367,14043.0
1766728800000,3.368,3.374,3.351,3.354,10107.0
1766732400000,3.353,3.357,3.335,3.34,8944.0
1766736000000,3.338,3.373,3.333,3.358,14802.0
1766739600000,3.358,3.373,3.336,3.349,12242.0
1766743200000,3.349,3.358,3.323,3.338,10247.0
1766746800000,3.337,3.357,3.326,3.335,18253.0
1766750400000,3.337,3.359,3.332,3.343,14925.0
1766754000000,3.347,3.36,3.334,3.338,14453.0
1766757600000,3.339,3.352,3.321,3.341,19401.0
1766761200000,3.34,3.346,3.316,3.318,22571.0
1766764800000,3.317,3.331,3.311,3.311,10568.0
1766768400000,3.311,3.318,3.213,3.221,55115.0
1766772000000,3.221,3.228,3.198,3.203,22930.0
1766775600000,3.205,3.27,3.204,3.26,22165.0
1766779200000,3.261,3.388,3.259,3.37,54937.0
1766782800000,3.37,3.376,3.307,3.333,19471.0
1766786400000,3.331,3.337,3.256,3.316,21749.0
1766790000000,3.315,3.319,3.23,3.254,33062.0
1766793600000,3.254,3.357,3.254,3.297,38084.0
1766797200000,3.297,3.358,3.281,3.31,21538.0
1766800800000,3.309,3.372,3.293,3.357,25464.0
1766804400000,3.357,3.393,3.34,3.385,13830.0
1766808000000,3.384,3.388,3.349,3.357,17410.0
1766811600000,3.354,3.386,3.339,3.345,23664.0
1766815200000,3.345,3.357,3.317,3.332,12328.0
1766818800000,3.333,3.344,3.321,3.325,6258.0
1766822400000,3.325,3.339,3.3,3.321,18687.0
1766826000000,3.32,3.353,3.301,3.308,12310.0
1766829600000,3.309,3.327,3.296,3.301,13437.0
1766833200000,3.301,3.31,3.281,3.287,13357.0
1766836800000,3.289,3.292,3.276,3.283,11480.0
1766840400000,3.285,3.295,3.271,3.281,11434.0
1766844000000,3.28,3.304,3.279,3.287,8625.0
1766847600000,3.29,3.325,3.27,3.318,16842.0
1766851200000,3.321,3.371,3.317,3.352,28374.0
1766854800000,3.351,3.361,3.322,3.334,14140.0
1766858400000,3.332,3.34,3.301,3.308,8883.0
1766862000000,3.309,3.334,3.303,3.323,6134.0
