,funding
2026-04-07 08:00:00+00:00,5e-05
2026-04-07 12:00:00+00:00,1.73652201165e-05
2026-04-07 16:00:00+00:00,5e-05
2026-04-07 20:00:00+00:00,5e-05
2026-04-08 00:00:00+00:00,5e-05
2026-04-08 04:00:00+00:00,3.79541106957e-05
2026-04-08 08:00:00+00:00,-0.000130087888133
2026-04-08 12:00:00+00:00,-0.0002065342421375
2026-04-08 16:00:00+00:00,5e-05
2026-04-08 20:00:00+00:00,5e-05
2026-04-09 00:00:00+00:00,5e-05
2026-04-09 04:00:00+00:00,3.96365562137e-05
2026-04-09 08:00:00+00:00,-1.73728211189e-05
2026-04-09 12:00:00+00:00,6.820706332e-06
2026-04-09 16:00:00+00:00,5e-05
2026-04-09 20:00:00+00:00,-0.0001029336690484
2026-04-10 00:00:00+00:00,-7.49082647624e-05
2026-04-10 04:00:00+00:00,-6.58787024123e-05
2026-04-10 08:00:00+00:00,5e-05
2026-04-10 12:00:00+00:00,5e-05
2026-04-10 16:00:00+00:00,5e-05
2026-04-10 20:00:00+00:00,-1.95147996352e-05
2026-04-11 00:00:00+00:00,5e-05
2026-04-11 04:00:00+00:00,-0.0003064202698549
2026-04-11 08:00:00+00:00,3.96683318972e-05
2026-04-11 12:00:00+00:00,2.76748352587e-05
2026-04-11 16:00:00+00:00,-0.0001508863794467
2026-04-11 20:00:00+00:00,-1.1824222576e-06
2026-04-12 00:00:00+00:00,-8.3696928231e-06
2026-04-12 04:00:00+00:00,5e-05
2026-04-12 08:00:00+00:00,-7.71840526438e-05
2026-04-12 12:00:00+00:00,5e-05
2026-04-12 16:00:00+00:00,5e-05
2026-04-12 20:00:00+00:00,5e-05
2026-04-13 00:00:00+00:00,5e-05
2026-04-13 04:00:00+00:00,5e-05
2026-04-13 08:00:00+00:00,5e-05
2026-04-13 12:00:00+00:00,5e-05
2026-04-13 16:00:00+00:00,5e-05
2026-04-13 20:00:00+00:00,5e-05
2026-04-14 00:00:00+00:00,5e-05
2026-04-14 04:00:00+00:00,5e-05
2026-04-14 08:00:00+00:00,5e-05
2026-04-14 12:00:00+00:00,5e-05
2026-04-14 16:00:00+00:00,5e-05
2026-04-14 20:00:00+00:00,5e-05
2026-04-15 00:00:00+00:00,5e-05
2026-04-15 04:00:00+00:00,5e-05
2026-04-15 08:00:00+00:00,5e-05
2026-04-15 12:00:00+00:00,5e-05
2026-04-15 16:00:00+00:00,5e-05
2026-04-15 20:00:00+00:00,5e-05
2026-04-16 00:00:00+00:00,5e-05
2026-04-16 04:00:00+00:00,5e-05
2026-04-16 08:00:00+00:00,5e-05
2026-04-16 12:00:00+00:00,5e-05
2026-04-16 16:00:00+00:00,5e-05
2026-04-16 20:00:00+00:00,5e-05
2026-04-17 00:00:00+00:00,5e-05
2026-04-17 04:00:00+00:00,5e-05
