ts,open,high,low,close,volume
2026-01-01 00:00:00+00:00,1.0912,1.1018,1.0898,1.0995,33279.0
2026-01-01 01:00:00+00:00,1.0992,1.103,1.0971,1.1011,30526.0
2026-01-01 02:00:00+00:00,1.1016,1.1047,1.0977,1.0988,35207.0
2026-01-01 03:00:00+00:00,1.0991,1.0992,1.0951,1.0973,13254.0
2026-01-01 04:00:00+00:00,1.0976,1.1012,1.0963,1.0997,14444.0
2026-01-01 05:00:00+00:00,1.1003,1.1109,1.1003,1.1064,24483.0
2026-01-01 06:00:00+00:00,1.1064,1.107,1.1035,1.1062,10790.0
2026-01-01 07:00:00+00:00,1.1066,1.1071,1.1039,1.1068,17570.0
2026-01-01 08:00:00+00:00,1.1068,1.1116,1.1056,1.1113,23692.0
2026-01-01 09:00:00+00:00,1.1115,1.1129,1.1084,1.111,14386.0
2026-01-01 10:00:00+00:00,1.1107,1.1127,1.1086,1.1123,6790.0
2026-01-01 11:00:00+00:00,1.1123,1.1169,1.1123,1.1164,20271.0
2026-01-01 12:00:00+00:00,1.1169,1.1169,1.1063,1.1074,15327.0
2026-01-01 13:00:00+00:00,1.1067,1.114,1.1065,1.1122,12627.0
2026-01-01 14:00:00+00:00,1.1124,1.1134,1.1033,1.1069,38740.0
2026-01-01 15:00:00+00:00,1.1065,1.112,1.1004,1.1048,28747.0
2026-01-01 16:00:00+00:00,1.1048,1.1052,1.0873,1.0887,159728.0
2026-01-01 17:00:00+00:00,1.0883,1.0986,1.0838,1.0952,61297.0
2026-01-01 18:00:00+00:00,1.0951,1.0971,1.0862,1.0872,24810.0
2026-01-01 19:00:00+00:00,1.0875,1.0981,1.0861,1.0969,40413.0
2026-01-01 20:00:00+00:00,1.0967,1.1,1.0922,1.0936,13280.0
2026-01-01 21:00:00+00:00,1.0935,1.0961,1.0927,1.0958,10832.0
2026-01-01 22:00:00+00:00,1.0956,1.0998,1.0946,1.0998,15730.0
2026-01-01 23:00:00+00:00,1.1003,1.1026,1.0978,1.1017,30038.0
2026-01-02 00:00:00+00:00,1.1012,1.102,1.0938,1.0949,17795.0
2026-01-02 01:00:00+00:00,1.0955,1.0972,1.0924,1.0939,13964.0
2026-01-02 02:00:00+00:00,1.0938,1.0948,1.0905,1.0939,23443.0
2026-01-02 03:00:00+00:00,1.0935,1.1061,1.0922,1.1014,44181.0
2026-01-02 04:00:00+00:00,1.1012,1.1028,1.092,1.0941,27896.0
2026-01-02 05:00:00+00:00,1.0942,1.0967,1.0916,1.096,15860.0
2026-01-02 06:00:00+00:00,1.0959,1.1037,1.0953,1.0961,21780.0
2026-01-02 07:00:00+00:00,1.0962,1.1078,1.0962,1.1039,54698.0
2026-01-02 08:00:00+00:00,1.1042,1.109,1.1007,1.1032,26440.0
