ts,open,high,low,close,volume
2026-01-01 00:00:00+00:00,0.3587,0.3618,0.3587,0.3612,1064330.0
2026-01-01 01:00:00+00:00,0.3612,0.3617,0.3595,0.3602,582560.0
2026-01-01 02:00:00+00:00,0.3603,0.3612,0.3598,0.3598,397570.0
2026-01-01 03:00:00+00:00,0.3598,0.3598,0.3574,0.3584,745790.0
2026-01-01 04:00:00+00:00,0.3584,0.3584,0.3546,0.3556,1947190.0
2026-01-01 05:00:00+00:00,0.3556,0.3603,0.3556,0.3602,430070.0
2026-01-01 06:00:00+00:00,0.3602,0.3605,0.3584,0.3586,372830.0
2026-01-01 07:00:00+00:00,0.3587,0.3595,0.3582,0.3586,361030.0
2026-01-01 08:00:00+00:00,0.3587,0.3612,0.3585,0.3612,370990.0
2026-01-01 09:00:00+00:00,0.3612,0.3634,0.3612,0.3622,715700.0
2026-01-01 10:00:00+00:00,0.3622,0.3636,0.3619,0.3635,304020.0
2026-01-01 11:00:00+00:00,0.3635,0.3649,0.3631,0.3644,541130.0
2026-01-01 12:00:00+00:00,0.3645,0.3647,0.3625,0.363,343990.0
2026-01-01 13:00:00+00:00,0.363,0.3669,0.3628,0.3669,471270.0
2026-01-01 14:00:00+00:00,0.3668,0.3709,0.3668,0.37,994720.0
2026-01-01 15:00:00+00:00,0.3701,0.3761,0.37,0.3729,1300800.0
2026-01-01 16:00:00+00:00,0.373,0.3745,0.3717,0.374,767460.0
2026-01-01 17:00:00+00:00,0.374,0.3792,0.3739,0.3784,1159000.0
2026-01-01 18:00:00+00:00,0.3784,0.379,0.3774,0.3786,309080.0
2026-01-01 19:00:00+00:00,0.3786,0.3825,0.3775,0.3825,418970.0
2026-01-01 20:00:00+00:00,0.3825,0.3839,0.3795,0.3804,718510.0
2026-01-01 21:00:00+00:00,0.3805,0.3814,0.3787,0.3802,502440.0
2026-01-01 22:00:00+00:00,0.3802,0.3848,0.3802,0.3846,513990.0
2026-01-01 23:00:00+00:00,0.3846,0.3873,0.3843,0.3868,707050.0
2026-01-02 00:00:00+00:00,0.3869,0.3874,0.3838,0.385,1303940.0
2026-01-02 01:00:00+00:00,0.3851,0.3873,0.3849,0.3857,562070.0
2026-01-02 02:00:00+00:00,0.3857,0.3868,0.3837,0.3868,1272180.0
2026-01-02 03:00:00+00:00,0.3867,0.3963,0.3862,0.3943,2001110.0
2026-01-02 04:00:00+00:00,0.3943,0.3951,0.3896,0.3914,761210.0
2026-01-02 05:00:00+00:00,0.3913,0.3925,0.3894,0.3925,747450.0
2026-01-02 06:00:00+00:00,0.3926,0.3938,0.3919,0.3921,1012310.0
2026-01-02 07:00:00+00:00,0.3922,0.3934,0.3899,0.3918,517370.0
2026-01-02 08:00:00+00:00,0.3919,0.3936,0.3916,0.3934,368230.0
2026-01-02 09:00:00+00:00,0.3935,0.4016,0.3933,0.4006,2094610.0
2026-01-02 10:00:00+00:00,0.4007,0.4052,0.4004,0.4043,2477470.0
2026-01-02 11:00:00+00:00,0.4043,0.4044,0.3978,0.3987,1612860.0
2026-01-02 12:00:00+00:00,0.3987,0.4038,0.397,0.4027,1026340.0
2026-01-02 13:00:00+00:00,0.4027,0.4036,0.4,0.4022,795020.0
2026-01-02 14:00:00+00:00,0.4022,0.4087,0.3977,0.4049,3010240.0
2026-01-02 15:00:00+00:00,0.405,0.4107,0.4009,0.4073,2367050.0
