ts,rate
1775563200000,-2.91827459612e-05
1775577600000,5e-05
1775592000000,-0.0001206015468995
1775606400000,2.46368995928e-05
1775620800000,5e-05
1775635200000,5e-05
1775649600000,5e-05
1775664000000,5e-05
1775678400000,5e-05
1775692800000,5e-05
1775707200000,5e-05
1775721600000,5e-05
1775736000000,-5.34607416288e-05
1775750400000,-0.0001103197121647
1775764800000,-0.0001332889000827
1775779200000,5e-05
1775793600000,-2.91011968475e-05
1775808000000,-0.000141173631889
1775822400000,-1.23421385883e-05
1775836800000,-0.0002559891500324
1775851200000,-7.2589364044e-06
1775865600000,5e-05
1775880000000,1.74054982845e-05
1775894400000,5e-05
1775908800000,5e-05
1775923200000,-6.22673797132e-05
1775937600000,1.98806572584e-05
1775952000000,5e-05
1775966400000,-0.0001579912974702
1775980800000,-1.44628818475e-05
1775995200000,5e-05
1776009600000,-3.02240294181e-05
1776024000000,-7.48437479424e-05
1776038400000,-9.62544702456e-05
1776052800000,-0.0001035514924978
1776067200000,-0.0001192305040701
1776081600000,5e-05
1776096000000,5e-05
1776110400000,-0.0001912722590202
1776124800000,5e-05
1776139200000,5e-05
1776153600000,5e-05
1776168000000,5e-05
1776182400000,-2.01560705841e-05
1776196800000,-7.84951006453e-05
1776211200000,5e-05
1776225600000,5e-05
1776240000000,3.64078018863e-05
1776254400000,5e-05
1776268800000,5e-05
1776283200000,-1.28571889669e-05
1776297600000,5e-05
1776312000000,5e-05
1776326400000,5e-05
1776340800000,5e-05
1776355200000,5e-05
1776369600000,5e-05
1776384000000,5e-05
1776398400000,5e-05
1776412800000,5e-05
1776427200000,-0.0001111985185721
1776441600000,5e-05
1776456000000,5e-05
1776470400000,5e-05
1776484800000,5e-05
1776499200000,5e-05
1776513600000,-2.55709774696e-05
1776528000000,-8.3301435075e-05
1776542400000,-9.16249751663e-05
1776556800000,-0.0002848589404348
1776571200000,5e-05
1776585600000,-9.40741692803e-05
1776600000000,5e-05
1776614400000,2.754233305e-06
1776628800000,5e-05
1776643200000,-3.79716225471e-05
1776657600000,-0.0001300271940658
1776672000000,-1.4624938425e-06
1776686400000,-9.41502423253e-05
1776700800000,-9.57133876869e-05
1776715200000,-8.17627730957e-05
1776729600000,5e-05
1776744000000,5e-05
1776758400000,5e-05
1776772800000,5e-05
1776787200000,5e-05
1776801600000,-0.0001083900781199
1776816000000,-7.91859243955e-05
1776830400000,3.62180399212e-05
1776844800000,5e-05
1776859200000,5e-05
1776873600000,2.67950941257e-05
1776888000000,5e-05
1776902400000,5e-05
1776916800000,4.97137707279e-05
1776931200000,5e-05
1776945600000,5e-05
1776960000000,5e-05
1776974400000,1.40611155736e-05
1776988800000,4.57432179249e-05
1777003200000,-1.3316827377e-06
1777017600000,5e-05
1777032000000,5e-05
1777046400000,5e-05
1777060800000,5e-05
1777075200000,5e-05
1777089600000,5e-05
1777104000000,5e-05
1777118400000,5e-05
1777132800000,5e-05
1777147200000,-2.61056760573e-05
1777161600000,5e-05
1777176000000,5e-05
1777190400000,5e-05
1777204800000,5e-05
1777219200000,-4.65139441332e-05
1777233600000,-2.67292063197e-05
1777248000000,5e-05
1777262400000,5e-05
1777276800000,5e-05
1777291200000,-3.88114374797e-05
1777305600000,5e-05
1777320000000,5e-05
1777334400000,5e-05
1777348800000,5e-05
1777363200000,5e-05
1777377600000,5e-05
1777392000000,5e-05
1777406400000,5e-05
1777420800000,5e-05
1777435200000,5e-05
1777449600000,5e-05
1777464000000,5e-05
1777478400000,3.73115340299e-05
1777492800000,9.6439191279e-06
1777507200000,5e-05
1777521600000,5e-05
1777536000000,5e-05
1777550400000,5e-05
1777564800000,5e-05
1777579200000,5e-05
1777593600000,5e-05
1777608000000,5e-05
