ts,open,high,low,close,volume
1683255600000,1.26,1.2879,1.2546,1.2701,24502.0
1683259200000,1.27,1.2843,1.2593,1.2843,1544184.0
1683262800000,1.2842,1.2903,1.2709,1.2868,1236763.0
1683266400000,1.2868,1.2912,1.2675,1.2729,1174927.0
1683270000000,1.2729,1.2842,1.2664,1.2761,1129615.0
1683273600000,1.2761,1.2794,1.2627,1.27,1048913.0
1683277200000,1.27,1.3244,1.2689,1.3059,4150463.0
1683280800000,1.3059,1.3744,1.292,1.3684,5025124.0
1683284400000,1.3681,1.3825,1.3216,1.3434,7146324.0
1683288000000,1.3434,1.37,1.3135,1.3355,6136858.0
1683291600000,1.3368,1.366,1.331,1.3492,3816267.0
1683295200000,1.3496,1.3569,1.3063,1.3239,4887643.0
1683298800000,1.324,1.3278,1.2852,1.307,4122477.0
1683302400000,1.3069,1.325,1.299,1.3096,3293309.0
1683306000000,1.3096,1.319,1.2934,1.2966,2755305.0
1683309600000,1.2969,1.3081,1.2756,1.3023,3313548.0
1683313200000,1.3022,1.3107,1.2977,1.3085,908136.0
1683316800000,1.3085,1.3087,1.2867,1.2965,1487177.0
1683320400000,1.2965,1.308,1.2928,1.2969,1014368.0
1683324000000,1.2963,1.317,1.2963,1.3101,1031687.0
1683327600000,1.3102,1.3176,1.2982,1.3059,1134090.0
1683331200000,1.306,1.353,1.2911,1.3444,3649549.0
1683334800000,1.3443,1.3537,1.3085,1.3143,5355677.0
1683338400000,1.3143,1.3398,1.305,1.3363,2855193.0
1683342000000,1.3363,1.3632,1.3181,1.3438,6913862.0
1683345600000,1.3438,1.3641,1.3329,1.3368,4295593.0
1683349200000,1.3373,1.3426,1.3267,1.3307,1877029.0
1683352800000,1.3307,1.3611,1.3239,1.3549,4141024.0
1683356400000,1.3551,1.378,1.3399,1.3457,7627816.0
1683360000000,1.3458,1.3488,1.3122,1.3269,5541844.0
1683363600000,1.3267,1.33,1.3091,1.3233,2408413.0
1683367200000,1.3237,1.3345,1.3,1.3133,4269555.0
1683370800000,1.3135,1.328,1.3075,1.3248,2001518.0
1683374400000,1.3243,1.3389,1.3052,1.3115,4848026.0
1683378000000,1.3115,1.3152,1.2751,1.2898,5957531.0
1683381600000,1.2897,1.3056,1.2654,1.3002,4211198.0
1683385200000,1.3001,1.3508,1.2856,1.3351,8142585.0
1683388800000,1.3352,1.3455,1.301,1.3122,5625843.0
1683392400000,1.3123,1.3298,1.3069,1.3136,1888753.0
1683396000000,1.3133,1.3244,1.302,1.3218,1813095.0
1683399600000,1.3219,1.3379,1.3063,1.3282,2410363.0
1683403200000,1.3283,1.3362,1.3146,1.3202,1206821.0
1683406800000,1.3199,1.3296,1.3073,1.3129,1430482.0
1683410400000,1.3129,1.3392,1.3049,1.329,1775590.0
1683414000000,1.3297,1.3382,1.3241,1.3298,1466673.0
1683417600000,1.3293,1.348,1.3154,1.3305,3022726.0
1683421200000,1.3304,1.3431,1.2938,1.3004,4994779.0
1683424800000,1.2997,1.3137,1.2967,1.304,1832892.0
1683428400000,1.3039,1.3115,1.287,1.2962,2303576.0
1683432000000,1.2962,1.3061,1.2931,1.3002,1163460.0
1683435600000,1.2999,1.309,1.2992,1.3019,1053425.0
