ts,rate
1775548800000,-4.23887017399e-05
1775577600000,2.24016510051e-05
1775606400000,0.0001
1775635200000,0.0001
1775664000000,7.44602325365e-05
1775692800000,0.0001
1775721600000,-8.36486438137e-05
1775750400000,0.0001
1775779200000,0.0001
1775808000000,9.17736792248e-05
1775836800000,6.8918153855e-05
1775865600000,0.0001
1775894400000,5.69949398166e-05
1775923200000,-2.57853271021e-05
1775952000000,0.0001
1775980800000,-0.000113461400976
1776009600000,6.70366176093e-05
1776038400000,7.09673483209e-05
1776067200000,-2.63339690736e-05
1776096000000,8.54039495522e-05
1776124800000,0.0001
1776153600000,0.0001
1776182400000,8.84574034462e-05
1776211200000,1.68348254063e-05
1776240000000,0.0001
1776268800000,6.00136054606e-05
1776297600000,0.0001
1776326400000,0.0001
1776355200000,0.0001
1776384000000,0.0001
1776412800000,0.0001
1776441600000,9.02089161907e-05
1776470400000,5.29633601438e-05
1776499200000,2.49898582142e-05
1776528000000,3.14660959502e-05
1776556800000,-5.4131763915e-06
1776585600000,1.52672840227e-05
1776614400000,-4.81855612453e-05
1776643200000,0.0001
1776672000000,-2.13940397929e-05
1776700800000,0.0001
1776729600000,4.54106802288e-05
1776758400000,6.92824215811e-05
1776787200000,-4.16216403823e-05
1776816000000,8.968702791e-06
1776844800000,0.0001
1776873600000,3.38481231037e-05
1776902400000,-7.56742564682e-05
1776931200000,-0.0001528212330416
1776960000000,-1.88270449096e-05
1776988800000,4.05014640317e-05
1777017600000,0.0001
1777046400000,4.51152334725e-05
1777075200000,0.0001
1777104000000,6.25974703676e-05
1777132800000,-6.70175689252e-05
1777161600000,0.0001
1777190400000,8.42108382794e-05
1777219200000,6.65987946591e-05
1777248000000,3.1355703735e-05
1777276800000,-0.0001098003644813
1777305600000,-0.0001840781568517
1777334400000,3.7041137312e-05
1777363200000,-4.60927478581e-05
1777392000000,1.7265849445e-06
1777420800000,2.56046323066e-05
1777449600000,0.0001
1777478400000,-9.54135902542e-05
1777507200000,-2.7368453828e-05
1777536000000,3.57857582325e-05
1777564800000,-1.2145101301e-05
1777593600000,9.11728405252e-05
1777622400000,7.87127445068e-05
1777651200000,9.6507216948e-05
1777680000000,3.58197894438e-05
1777708800000,1.7156641792e-06
1777737600000,6.41277107624e-05
1777766400000,0.0001
1777795200000,-7.63166143945e-05
1777824000000,0.0001
1777852800000,2.82073558881e-05
1777881600000,0.0001
1777910400000,4.2347904422e-05
1777939200000,8.98888299819e-05
1777968000000,0.0001
1777996800000,0.0001
1778025600000,0.0001
1778054400000,0.0001
1778083200000,0.0001
1778112000000,8.57388608469e-05
1778140800000,8.52987378578e-05
1778169600000,0.0001
1778198400000,5.88300227876e-05
1778227200000,6.43634699598e-05
1778256000000,0.0001
1778284800000,0.0001
1778313600000,0.0001
1778342400000,2.9523957788e-05
1778371200000,-3.43071749409e-05
1778400000000,4.99509705733e-05
1778428800000,0.0001
1778457600000,0.0001
1778486400000,0.0001
1778515200000,2.4490175076e-06
1778544000000,0.0001
1778572800000,6.1137777732e-05
1778601600000,6.35320308835e-05
1778630400000,-4.39041418768e-05
1778659200000,-5.6384099888e-06
1778688000000,-2.63900593962e-05
1778716800000,-1.5363185924e-05
1778745600000,-5.59499223292e-05
1778774400000,-1.51280560499e-05
1778803200000,2.0397078375e-06
1778832000000,0.0001
1778860800000,0.0001
1778889600000,-1.10334372154e-05
1778918400000,0.0001
1778947200000,9.20553773987e-05
1778976000000,4.76959511781e-05
1779004800000,3.31045755732e-05
1779033600000,3.54292363966e-05
1779062400000,0.0001
1779091200000,0.0001
1779120000000,7.85252922016e-05
1779148800000,-3.82637336504e-05
1779177600000,-6.77458193357e-05
1779206400000,-4.87555951036e-05
1779235200000,-9.1090758e-07
1779264000000,0.0001
1779292800000,4.98140373164e-05
1779321600000,8.15596220284e-05
1779350400000,-3.1728240468e-05
1779379200000,2.11051298316e-05
1779408000000,0.0001
1779436800000,0.0001
1779465600000,6.96783578404e-05
1779494400000,5.13464542574e-05
1779523200000,0.0001
1779552000000,-0.0001234374464809
1779580800000,1.58804584188e-05
1779609600000,-3.35217884639e-05
1779638400000,-2.08305579513e-05
1779667200000,4.60830319342e-05
1779696000000,-1.68669573181e-05
1779724800000,4.18569462187e-05
1779753600000,0.0001
1779782400000,5.0143863346e-05
1779811200000,0.0001
1779840000000,3.00523994972e-05
1779868800000,0.0001
1779897600000,0.0001
1779926400000,0.0001
1779955200000,4.1296135055e-05
1779984000000,4.37280097151e-05
1780012800000,7.54736047499e-05
1780041600000,7.73951295939e-05
1780070400000,0.0001
1780099200000,0.0001
1780128000000,0.0001
1780156800000,7.08329778678e-05
1780185600000,6.07675415054e-05
1780214400000,9.37587960097e-05
1780243200000,4.23058467492e-05
1780272000000,-6.16298482912e-05
1780300800000,2.67036141784e-05
1780329600000,8.18144956475e-05
1780358400000,8.63307005948e-05
1780387200000,4.91390027202e-05
1780416000000,-4.74326791543e-05
1780444800000,-7.5460475342e-05
1780473600000,-0.0001096500163195
1780502400000,0.0001
1780531200000,-3.41963113052e-05
1780560000000,6.49329492401e-05
1780588800000,3.685095116e-05
1780617600000,7.92271302217e-05
1780646400000,8.29296591803e-05
1780675200000,-1.4823323046e-06
1780704000000,-1.37544531233e-05
1780732800000,-3.20161998058e-05
1780761600000,-5.09220353919e-05
1780790400000,-0.0001290505582583
1780819200000,2.07370386924e-05
1780848000000,9.37598392348e-05
1780876800000,-4.7240704441e-06
1780905600000,-3.73003084079e-05
1780934400000,1.78781484719e-05
1780963200000,4.53898862619e-05
1780992000000,0.0001
1781020800000,6.08273589766e-05
1781049600000,5.64821779268e-05
1781078400000,2.92810022386e-05
1781107200000,0.0001
1781136000000,3.08043544998e-05
1781164800000,0.0001
1781193600000,8.95929091348e-05
1781222400000,8.07692554342e-05
1781251200000,5.61838287468e-05
1781280000000,0.0001
1781308800000,6.02507958055e-05
1781337600000,5.17699868594e-05
1781366400000,0.0001
1781395200000,-4.74771580168e-05
1781424000000,-3.1154491184e-06
1781452800000,2.29870866528e-05
1781481600000,1.96719804673e-05
1781510400000,2.05570181952e-05
1781539200000,-1.42175056946e-05
1781568000000,4.44164688571e-05
1781596800000,5.29445720495e-05
1781625600000,2.83683191183e-05
1781654400000,0.0001
1781683200000,9.69224519007e-05
1781712000000,3.74971891493e-05
1781740800000,-4.18836840731e-05
1781769600000,-2.5023378782e-06
1781798400000,1.68129131368e-05
1781827200000,7.85448259118e-05
1781856000000,2.51327085794e-05
1781884800000,1.80301436446e-05
1781913600000,-1.3825202045e-05
1781942400000,0.0001
1781971200000,8.32818988321e-05
1782000000000,1.67207002784e-05
1782028800000,1.77886504145e-05
1782057600000,6.60572735927e-05
1782086400000,-4.94688371854e-05
1782115200000,9.17428760398e-05
1782144000000,7.26156772451e-05
1782172800000,-6.25368211961e-05
1782201600000,-4.7798446387e-05
1782230400000,2.07612597629e-05
1782259200000,3.116813602e-06
1782288000000,7.28757084341e-05
1782316800000,8.2010722693e-06
1782345600000,1.6215196058e-05
1782374400000,5.00349280993e-05
1782403200000,-7.69549089308e-05
1782432000000,-3.89874418562e-05
1782460800000,4.78137420246e-05
1782489600000,4.83769528766e-05
1782518400000,6.42807057304e-05
1782547200000,6.68183644788e-05
1782576000000,5.289797309e-07
1782604800000,-7.5372430482e-06
1782633600000,-2.32029433079e-05
1782662400000,7.21199560291e-05
1782691200000,-1.09858119444e-05
1782720000000,7.68749628261e-05
1782748800000,4.71240359751e-05
1782777600000,0.0001
1782806400000,-5.98265223584e-05
1782835200000,-5.98912259966e-05
