,funding
2026-04-07 08:00:00+00:00,5e-05
2026-04-07 12:00:00+00:00,-0.0002517355371454
2026-04-07 16:00:00+00:00,4.31928130865e-05
2026-04-07 20:00:00+00:00,5e-05
2026-04-08 00:00:00+00:00,5e-05
2026-04-08 04:00:00+00:00,5e-05
2026-04-08 08:00:00+00:00,5e-05
2026-04-08 12:00:00+00:00,5e-05
2026-04-08 16:00:00+00:00,5e-05
2026-04-08 20:00:00+00:00,5e-05
2026-04-09 00:00:00+00:00,5e-05
2026-04-09 04:00:00+00:00,5e-05
2026-04-09 08:00:00+00:00,-7.26900103294e-05
2026-04-09 12:00:00+00:00,-0.0003248795715194
2026-04-09 16:00:00+00:00,-0.0001543917457336
2026-04-09 20:00:00+00:00,-4.19531056191e-05
2026-04-10 00:00:00+00:00,5e-05
2026-04-10 04:00:00+00:00,5e-05
2026-04-10 08:00:00+00:00,5e-05
2026-04-10 12:00:00+00:00,5e-05
2026-04-10 16:00:00+00:00,-0.000770428812662
2026-04-10 20:00:00+00:00,-0.000536025360307
2026-04-11 00:00:00+00:00,5e-05
2026-04-11 04:00:00+00:00,5e-05
2026-04-11 08:00:00+00:00,5e-05
2026-04-11 12:00:00+00:00,5e-05
2026-04-11 16:00:00+00:00,5e-05
2026-04-11 20:00:00+00:00,-2.67350477567e-05
2026-04-12 00:00:00+00:00,5e-05
2026-04-12 04:00:00+00:00,5e-05
2026-04-12 08:00:00+00:00,5e-05
2026-04-12 12:00:00+00:00,-0.0001819069131471
2026-04-12 16:00:00+00:00,1.12081408539e-05
2026-04-12 20:00:00+00:00,5e-05
2026-04-13 00:00:00+00:00,-3.4934423382e-06
2026-04-13 04:00:00+00:00,-0.0001235944489576
2026-04-13 08:00:00+00:00,-0.0001773033651075
2026-04-13 12:00:00+00:00,5e-05
2026-04-13 16:00:00+00:00,-0.000141690236976
2026-04-13 20:00:00+00:00,5e-05
2026-04-14 00:00:00+00:00,5e-05
2026-04-14 04:00:00+00:00,5e-05
2026-04-14 08:00:00+00:00,5e-05
2026-04-14 12:00:00+00:00,-4.51016468311e-05
2026-04-14 16:00:00+00:00,-2.47145824389e-05
2026-04-15 00:00:00+00:00,0.0001
2026-04-15 08:00:00+00:00,0.0001
2026-04-15 16:00:00+00:00,0.0001
2026-04-16 00:00:00+00:00,4.4647040433e-06
2026-04-16 08:00:00+00:00,-2.33503048304e-05
2026-04-16 16:00:00+00:00,7.64561623776e-05
2026-04-17 00:00:00+00:00,0.0001
2026-04-17 08:00:00+00:00,-0.0001861485249775
2026-04-17 16:00:00+00:00,-0.0004551753582635
2026-04-18 00:00:00+00:00,-0.0001740230526964
2026-04-18 08:00:00+00:00,-3.74034557963e-05
2026-04-18 16:00:00+00:00,-0.0001276193369415
2026-04-19 00:00:00+00:00,3.36545232885e-05
2026-04-19 08:00:00+00:00,-5.78638170844e-05
2026-04-19 16:00:00+00:00,-4.46799060523e-05
2026-04-20 00:00:00+00:00,-0.000116364907815
2026-04-20 08:00:00+00:00,-0.0002238023123974
2026-04-20 16:00:00+00:00,-0.0001593176699947
2026-04-21 00:00:00+00:00,0.0001
2026-04-21 08:00:00+00:00,5.76397130358e-05
2026-04-21 16:00:00+00:00,-0.0002444932221922
2026-04-22 00:00:00+00:00,-0.0001037018375674
2026-04-22 08:00:00+00:00,-4.22582370894e-05
2026-04-22 16:00:00+00:00,4.17642558197e-05
2026-04-23 00:00:00+00:00,0.0001
2026-04-23 08:00:00+00:00,-0.0002146911468043
2026-04-23 16:00:00+00:00,-0.0002684095628541
2026-04-24 00:00:00+00:00,-8.69216226534e-05
2026-04-24 08:00:00+00:00,-0.0006658831839119
2026-04-24 16:00:00+00:00,3.2712131953e-06
2026-04-25 00:00:00+00:00,3.92786349077e-05
2026-04-25 08:00:00+00:00,5.2279857134e-06
2026-04-25 16:00:00+00:00,9.0772336756e-06
2026-04-26 00:00:00+00:00,-0.0004036750584037
2026-04-26 08:00:00+00:00,-4.38270937638e-05
2026-04-26 16:00:00+00:00,-4.84353401484e-05
2026-04-27 00:00:00+00:00,0.0001
2026-04-27 08:00:00+00:00,-7.14178369603e-05
2026-04-27 16:00:00+00:00,-0.0001248317361363
2026-04-28 00:00:00+00:00,-0.0001457172798849
2026-04-28 08:00:00+00:00,-1.15589020014e-05
2026-04-28 16:00:00+00:00,0.0001
2026-04-29 00:00:00+00:00,0.0001
2026-04-29 08:00:00+00:00,0.0001
2026-04-29 16:00:00+00:00,8.16939273269e-05
2026-04-30 00:00:00+00:00,0.0001
2026-04-30 08:00:00+00:00,0.0001
2026-04-30 16:00:00+00:00,0.0001
2026-05-01 00:00:00+00:00,0.0001
2026-05-01 08:00:00+00:00,6.59820278108e-05
2026-05-01 16:00:00+00:00,2.80098885486e-05
2026-05-02 00:00:00+00:00,8.38827673728e-05
2026-05-02 08:00:00+00:00,-9.14593285464e-05
2026-05-02 16:00:00+00:00,-0.0001108022745587
2026-05-03 00:00:00+00:00,0.0001
2026-05-03 08:00:00+00:00,-6.75662040602e-05
2026-05-03 16:00:00+00:00,3.76186702618e-05
2026-05-04 00:00:00+00:00,3.61299673681e-05
2026-05-04 08:00:00+00:00,-0.0002331623511893
2026-05-04 16:00:00+00:00,0.0001
2026-05-05 00:00:00+00:00,0.0001
2026-05-05 08:00:00+00:00,9.2848656465e-05
2026-05-05 16:00:00+00:00,0.0001
2026-05-06 00:00:00+00:00,0.0001
2026-05-06 08:00:00+00:00,0.0001
2026-05-06 16:00:00+00:00,0.0001
2026-05-07 00:00:00+00:00,0.0001
2026-05-07 08:00:00+00:00,0.0001
2026-05-07 16:00:00+00:00,0.0001
2026-05-08 00:00:00+00:00,0.0001
2026-05-08 08:00:00+00:00,0.0001
2026-05-08 16:00:00+00:00,0.0001
2026-05-09 00:00:00+00:00,0.0001
2026-05-09 08:00:00+00:00,0.0001
2026-05-09 16:00:00+00:00,0.0001
2026-05-10 00:00:00+00:00,0.0001
2026-05-10 08:00:00+00:00,0.0001
2026-05-10 16:00:00+00:00,0.0001
2026-05-11 00:00:00+00:00,0.0001
2026-05-11 08:00:00+00:00,0.0001
2026-05-11 16:00:00+00:00,0.0001
2026-05-12 00:00:00+00:00,0.0001
2026-05-12 08:00:00+00:00,0.0001
2026-05-12 16:00:00+00:00,0.0001
2026-05-13 00:00:00+00:00,0.0001
2026-05-13 08:00:00+00:00,0.0001
2026-05-13 16:00:00+00:00,0.0001
2026-05-14 00:00:00+00:00,0.0001
2026-05-14 08:00:00+00:00,-2.27916152507e-05
2026-05-14 16:00:00+00:00,-6.80428694063e-05
2026-05-15 00:00:00+00:00,5.85257609401e-05
2026-05-15 08:00:00+00:00,9.57446918765e-05
2026-05-15 16:00:00+00:00,0.0001
2026-05-16 00:00:00+00:00,0.0001
2026-05-16 08:00:00+00:00,0.0001
2026-05-16 16:00:00+00:00,0.0001
2026-05-17 00:00:00+00:00,0.0001
2026-05-17 08:00:00+00:00,0.0001
2026-05-17 16:00:00+00:00,-0.000153550498757
2026-05-18 00:00:00+00:00,0.0001
2026-05-18 08:00:00+00:00,0.0001
2026-05-18 16:00:00+00:00,0.0001
2026-05-19 00:00:00+00:00,-8.12859828806e-05
2026-05-19 08:00:00+00:00,-5.30697617008e-05
2026-05-19 16:00:00+00:00,5.35263981083e-05
2026-05-20 00:00:00+00:00,0.0001
2026-05-20 08:00:00+00:00,5.38597469391e-05
2026-05-20 16:00:00+00:00,-4.491916983e-06
2026-05-21 00:00:00+00:00,1.30116058855e-05
2026-05-21 08:00:00+00:00,-0.0001893764709098
2026-05-21 16:00:00+00:00,9.25020437735e-05
2026-05-22 00:00:00+00:00,0.0001
2026-05-22 08:00:00+00:00,0.0001
2026-05-22 16:00:00+00:00,0.0001
2026-05-23 00:00:00+00:00,0.0001
2026-05-23 08:00:00+00:00,0.0001
2026-05-23 16:00:00+00:00,-5.96060082106e-05
2026-05-24 00:00:00+00:00,0.0001
2026-05-24 08:00:00+00:00,0.0001
2026-05-24 16:00:00+00:00,0.0001
2026-05-25 00:00:00+00:00,0.0001
2026-05-25 08:00:00+00:00,0.0001
2026-05-25 16:00:00+00:00,0.0001
2026-05-26 00:00:00+00:00,0.0001
2026-05-26 08:00:00+00:00,0.0001
2026-05-26 16:00:00+00:00,0.0001
2026-05-27 00:00:00+00:00,0.0001
2026-05-27 08:00:00+00:00,0.0001
2026-05-27 16:00:00+00:00,0.0001
2026-05-28 00:00:00+00:00,0.0001
2026-05-28 08:00:00+00:00,0.0001
2026-05-28 16:00:00+00:00,0.0001
2026-05-29 00:00:00+00:00,0.0001
2026-05-29 08:00:00+00:00,0.0001
2026-05-29 16:00:00+00:00,0.0001
2026-05-30 00:00:00+00:00,0.0001
2026-05-30 08:00:00+00:00,0.0001
2026-05-30 16:00:00+00:00,0.0001
2026-05-31 00:00:00+00:00,0.0001
2026-05-31 08:00:00+00:00,0.0001
2026-05-31 16:00:00+00:00,0.0001
2026-06-01 00:00:00+00:00,0.0001
2026-06-01 08:00:00+00:00,0.0001
2026-06-01 16:00:00+00:00,0.0001
2026-06-02 00:00:00+00:00,-1.26505554545e-05
2026-06-02 08:00:00+00:00,7.38894803422e-05
2026-06-02 16:00:00+00:00,0.0001
2026-06-03 00:00:00+00:00,0.0001
2026-06-03 08:00:00+00:00,0.0001
2026-06-03 16:00:00+00:00,0.0001
2026-06-04 00:00:00+00:00,0.0001
2026-06-04 08:00:00+00:00,-5.36144518814e-05
2026-06-04 16:00:00+00:00,-2.181822174e-06
2026-06-05 00:00:00+00:00,8.99057764656e-05
2026-06-05 08:00:00+00:00,0.0001
2026-06-05 16:00:00+00:00,0.0001
2026-06-06 00:00:00+00:00,0.0001
2026-06-06 08:00:00+00:00,2.3287534587e-06
2026-06-06 16:00:00+00:00,7.82139401083e-05
2026-06-07 00:00:00+00:00,-9.91291246256e-05
2026-06-07 08:00:00+00:00,-8.45175853034e-05
2026-06-07 16:00:00+00:00,3.48300122369e-05
2026-06-08 00:00:00+00:00,1.46135144097e-05
2026-06-08 08:00:00+00:00,-0.0001124501102886
2026-06-08 16:00:00+00:00,-0.0001071419413179
2026-06-09 00:00:00+00:00,-0.0001807879011466
2026-06-09 08:00:00+00:00,0.0001
2026-06-09 16:00:00+00:00,0.0001
2026-06-10 00:00:00+00:00,0.0001
2026-06-10 08:00:00+00:00,0.0001
2026-06-10 16:00:00+00:00,0.0001
2026-06-11 00:00:00+00:00,3.7567906813e-05
2026-06-11 08:00:00+00:00,0.0001
2026-06-11 16:00:00+00:00,0.0001
2026-06-12 00:00:00+00:00,0.0001
2026-06-12 08:00:00+00:00,1.48256973299e-05
2026-06-12 16:00:00+00:00,0.0001
2026-06-13 00:00:00+00:00,0.0001
2026-06-13 08:00:00+00:00,0.0001
2026-06-13 16:00:00+00:00,0.0001
2026-06-14 00:00:00+00:00,-9.20640729121e-05
2026-06-14 08:00:00+00:00,0.0001
2026-06-14 16:00:00+00:00,0.0001
2026-06-15 00:00:00+00:00,0.0001
2026-06-15 08:00:00+00:00,0.0001
2026-06-15 16:00:00+00:00,0.0001
2026-06-16 00:00:00+00:00,0.0001
2026-06-16 08:00:00+00:00,0.0001
2026-06-16 16:00:00+00:00,0.0001
2026-06-17 00:00:00+00:00,0.0001
2026-06-17 08:00:00+00:00,0.0001
2026-06-17 16:00:00+00:00,0.0001
2026-06-18 00:00:00+00:00,0.0001
2026-06-18 08:00:00+00:00,0.0001
2026-06-18 16:00:00+00:00,0.0001
2026-06-19 00:00:00+00:00,0.0001
2026-06-19 08:00:00+00:00,0.0001
2026-06-19 16:00:00+00:00,0.0001
2026-06-20 00:00:00+00:00,0.0001
2026-06-20 08:00:00+00:00,-0.0001026011252446
2026-06-20 16:00:00+00:00,0.0001
2026-06-21 00:00:00+00:00,-6.1173566985e-06
2026-06-21 08:00:00+00:00,-0.0001086833168545
2026-06-21 16:00:00+00:00,8.86069432104e-05
2026-06-22 00:00:00+00:00,0.0001
2026-06-22 08:00:00+00:00,3.0127045634e-06
2026-06-22 16:00:00+00:00,-4.55726958512e-05
2026-06-23 00:00:00+00:00,-2.76197866427e-05
2026-06-23 08:00:00+00:00,8.73727233848e-05
2026-06-23 16:00:00+00:00,0.0001
2026-06-24 00:00:00+00:00,0.0001
2026-06-24 08:00:00+00:00,0.0001
2026-06-24 16:00:00+00:00,0.0001
2026-06-25 00:00:00+00:00,0.0001
2026-06-25 08:00:00+00:00,0.0001
2026-06-25 16:00:00+00:00,0.0001
2026-06-26 00:00:00+00:00,0.0001
2026-06-26 08:00:00+00:00,0.0001
2026-06-26 16:00:00+00:00,0.0001
2026-06-27 00:00:00+00:00,0.0001
2026-06-27 08:00:00+00:00,0.0001
2026-06-27 16:00:00+00:00,0.0001
2026-06-28 00:00:00+00:00,0.0001
2026-06-28 08:00:00+00:00,0.0001
2026-06-28 16:00:00+00:00,0.0001
2026-06-29 00:00:00+00:00,0.0001
2026-06-29 08:00:00+00:00,0.0001
2026-06-29 16:00:00+00:00,0.0001
2026-06-30 00:00:00+00:00,0.0001
2026-06-30 08:00:00+00:00,0.0001
2026-06-30 16:00:00+00:00,3.5076227316e-06
2026-07-01 00:00:00+00:00,0.0001
2026-07-01 08:00:00+00:00,0.0001
2026-07-01 16:00:00+00:00,-3.84815036559e-05
2026-07-02 00:00:00+00:00,-4.68298579863e-05
2026-07-02 08:00:00+00:00,0.0001
2026-07-02 16:00:00+00:00,0.0001
2026-07-03 00:00:00+00:00,-0.0001088441550699
2026-07-03 08:00:00+00:00,0.0001
2026-07-03 16:00:00+00:00,7.06291856795e-05
2026-07-04 00:00:00+00:00,0.0001
2026-07-04 08:00:00+00:00,5.0791548136e-05
2026-07-04 16:00:00+00:00,0.0001
2026-07-05 00:00:00+00:00,-9.63475309306e-05
2026-07-05 08:00:00+00:00,8.67371764973e-05
2026-07-05 16:00:00+00:00,-0.0001962412842538
2026-07-06 00:00:00+00:00,4.39349710446e-05
2026-07-06 08:00:00+00:00,0.0001
2026-07-06 16:00:00+00:00,-7.647843251e-06
2026-07-07 00:00:00+00:00,0.0001
2026-07-07 08:00:00+00:00,-1.22859848748e-05
2026-07-07 16:00:00+00:00,0.0001
2026-07-08 00:00:00+00:00,0.0001
2026-07-08 08:00:00+00:00,0.0001
2026-07-08 16:00:00+00:00,0.0001
2026-07-09 00:00:00+00:00,0.0001
2026-07-09 08:00:00+00:00,0.0001
2026-07-09 16:00:00+00:00,0.0001
2026-07-10 00:00:00+00:00,0.0001
2026-07-10 08:00:00+00:00,0.0001
2026-07-10 16:00:00+00:00,0.0001
2026-07-11 00:00:00+00:00,0.0001
2026-07-11 08:00:00+00:00,0.0001
