ts,open,high,low,close,volume
2026-01-01 00:00:00+00:00,4.797,4.811,4.797,4.808,205224.6
2026-01-01 01:00:00+00:00,4.808,4.822,4.8,4.805,185410.6
2026-01-01 02:00:00+00:00,4.805,4.806,4.776,4.784,506710.6
2026-01-01 03:00:00+00:00,4.783,4.783,4.661,4.729,1580200.5
2026-01-01 04:00:00+00:00,4.729,4.729,4.701,4.711,365216.1
2026-01-01 05:00:00+00:00,4.711,4.732,4.71,4.714,164372.9
2026-01-01 06:00:00+00:00,4.714,4.735,4.714,4.722,134940.8
2026-01-01 07:00:00+00:00,4.722,4.732,4.722,4.726,113272.4
2026-01-01 08:00:00+00:00,4.727,4.73,4.698,4.72,311633.4
2026-01-01 09:00:00+00:00,4.719,4.749,4.719,4.736,333699.3
2026-01-01 10:00:00+00:00,4.737,4.74,4.712,4.714,150555.4
2026-01-01 11:00:00+00:00,4.714,4.732,4.707,4.729,143092.8
2026-01-01 12:00:00+00:00,4.729,4.73,4.709,4.712,183767.7
2026-01-01 13:00:00+00:00,4.713,4.74,4.71,4.738,196685.9
2026-01-01 14:00:00+00:00,4.739,4.745,4.728,4.741,299658.8
2026-01-01 15:00:00+00:00,4.742,4.762,4.722,4.745,493040.2
2026-01-01 16:00:00+00:00,4.745,4.766,4.733,4.765,258954.3
2026-01-01 17:00:00+00:00,4.764,4.821,4.764,4.801,621329.3
2026-01-01 18:00:00+00:00,4.801,4.811,4.764,4.786,342706.6
2026-01-01 19:00:00+00:00,4.785,4.821,4.783,4.816,110132.4
2026-01-01 20:00:00+00:00,4.817,4.827,4.803,4.807,187643.0
2026-01-01 21:00:00+00:00,4.807,4.832,4.803,4.822,115610.9
2026-01-01 22:00:00+00:00,4.822,4.892,4.821,4.892,406696.9
2026-01-01 23:00:00+00:00,4.892,4.918,4.874,4.887,427627.1
2026-01-02 00:00:00+00:00,4.887,4.894,4.853,4.866,309865.1
2026-01-02 01:00:00+00:00,4.866,4.868,4.83,4.84,170426.1
2026-01-02 02:00:00+00:00,4.839,4.848,4.831,4.845,130556.8
2026-01-02 03:00:00+00:00,4.844,4.885,4.831,4.875,243817.9
2026-01-02 04:00:00+00:00,4.876,4.881,4.856,4.869,212711.2
2026-01-02 05:00:00+00:00,4.868,4.869,4.837,4.866,197411.8
2026-01-02 06:00:00+00:00,4.866,4.886,4.865,4.866,178864.5
2026-01-02 07:00:00+00:00,4.867,4.873,4.851,4.86,156708.6
2026-01-02 08:00:00+00:00,4.861,4.88,4.855,4.88,146279.0
2026-01-02 09:00:00+00:00,4.88,4.95,4.879,4.933,448228.3
2026-01-02 10:00:00+00:00,4.934,4.972,4.929,4.957,516883.5
2026-01-02 11:00:00+00:00,4.958,4.961,4.913,4.924,378901.3
2026-01-02 12:00:00+00:00,4.924,4.991,4.915,4.991,465721.9
2026-01-02 13:00:00+00:00,4.991,4.993,4.973,4.978,255670.3
2026-01-02 14:00:00+00:00,4.978,4.999,4.931,4.983,864449.5
2026-01-02 15:00:00+00:00,4.984,4.996,4.944,4.98,339291.1
2026-01-02 16:00:00+00:00,4.98,5.037,4.977,5.017,814108.6
2026-01-02 17:00:00+00:00,5.018,5.048,5.013,5.034,474087.7
2026-01-02 18:00:00+00:00,5.033,5.044,4.97,4.992,379312.7
2026-01-02 19:00:00+00:00,4.992,5.019,4.989,5.013,208653.5
2026-01-02 20:00:00+00:00,5.014,5.024,4.995,5.003,161421.4
2026-01-02 21:00:00+00:00,5.002,5.018,4.998,5.009,77491.0
2026-01-02 22:00:00+00:00,5.01,5.059,5.009,5.05,293084.9
2026-01-02 23:00:00+00:00,5.051,5.071,5.038,5.048,257653.0
2026-01-03 00:00:00+00:00,5.049,5.092,5.047,5.076,235501.3
2026-01-03 01:00:00+00:00,5.077,5.104,5.052,5.069,364042.3
2026-01-03 02:00:00+00:00,5.069,5.092,5.05,5.078,197419.3
2026-01-03 03:00:00+00:00,5.078,5.113,5.068,5.107,228586.1
