,funding
2026-04-07 08:00:00+00:00,-0.0002678125407177
2026-04-07 12:00:00+00:00,-5.73108257895e-05
2026-04-07 16:00:00+00:00,-0.000203727414526
2026-04-07 20:00:00+00:00,5e-05
2026-04-08 00:00:00+00:00,5e-05
2026-04-08 04:00:00+00:00,5e-05
2026-04-08 08:00:00+00:00,5e-05
2026-04-08 12:00:00+00:00,5e-05
2026-04-08 16:00:00+00:00,1.5708681915e-05
2026-04-08 20:00:00+00:00,-1.5408904296e-06
2026-04-09 00:00:00+00:00,2.24450665865e-05
2026-04-09 04:00:00+00:00,-0.0001127045533315
2026-04-09 08:00:00+00:00,-0.000257868391099
2026-04-09 12:00:00+00:00,-9.82956028672e-05
2026-04-09 16:00:00+00:00,5e-05
2026-04-09 20:00:00+00:00,5e-05
2026-04-10 00:00:00+00:00,5e-05
2026-04-10 04:00:00+00:00,-4.73179276184e-05
2026-04-10 08:00:00+00:00,2.39068989469e-05
2026-04-10 12:00:00+00:00,5e-05
2026-04-10 16:00:00+00:00,3.28892276203e-05
2026-04-10 20:00:00+00:00,-7.69252071579e-05
2026-04-11 00:00:00+00:00,5e-05
2026-04-11 04:00:00+00:00,5e-05
2026-04-11 08:00:00+00:00,5e-05
2026-04-11 12:00:00+00:00,-3.29145381188e-05
2026-04-11 16:00:00+00:00,5e-05
2026-04-11 20:00:00+00:00,5e-05
2026-04-12 00:00:00+00:00,5e-05
2026-04-12 04:00:00+00:00,-0.0002252420780293
2026-04-12 08:00:00+00:00,-0.000312496242692
2026-04-12 12:00:00+00:00,-0.000203749640674
2026-04-12 16:00:00+00:00,-9.38240674702e-05
2026-04-12 20:00:00+00:00,-0.0001495078572377
2026-04-13 00:00:00+00:00,-0.0001359760999179
2026-04-13 04:00:00+00:00,-0.0001191136232039
2026-04-13 08:00:00+00:00,-5.09480501418e-05
2026-04-13 12:00:00+00:00,-9.92082993216e-05
2026-04-13 16:00:00+00:00,5e-05
2026-04-13 20:00:00+00:00,5e-05
2026-04-14 00:00:00+00:00,5e-05
2026-04-14 04:00:00+00:00,5e-05
2026-04-14 08:00:00+00:00,5e-05
2026-04-14 12:00:00+00:00,5e-05
2026-04-14 16:00:00+00:00,5e-05
2026-04-14 20:00:00+00:00,5e-05
2026-04-15 00:00:00+00:00,1.99836287409e-05
2026-04-15 04:00:00+00:00,-2.96779430309e-05
2026-04-15 08:00:00+00:00,5e-05
2026-04-15 12:00:00+00:00,-3.54545814163e-05
2026-04-15 16:00:00+00:00,5e-05
2026-04-15 20:00:00+00:00,-7.50598496909e-05
2026-04-16 00:00:00+00:00,5e-05
2026-04-16 04:00:00+00:00,5e-05
2026-04-16 08:00:00+00:00,5e-05
2026-04-16 12:00:00+00:00,5e-05
2026-04-16 16:00:00+00:00,4.66300930418e-05
2026-04-16 20:00:00+00:00,5e-05
2026-04-17 00:00:00+00:00,4.47847419269e-05
2026-04-17 04:00:00+00:00,5e-05
2026-04-17 08:00:00+00:00,5e-05
2026-04-17 12:00:00+00:00,-5.9979908985e-05
2026-04-17 16:00:00+00:00,-5.09525256417e-05
2026-04-17 20:00:00+00:00,1.1202585562e-05
2026-04-18 00:00:00+00:00,5e-05
2026-04-18 04:00:00+00:00,-9.68780295586e-05
2026-04-18 08:00:00+00:00,-0.0001826867163314
2026-04-18 12:00:00+00:00,-9.54773188752e-05
2026-04-18 16:00:00+00:00,-8.87360474878e-05
2026-04-18 20:00:00+00:00,-8.42765227853e-05
2026-04-19 00:00:00+00:00,5e-05
2026-04-19 04:00:00+00:00,-5.51401790724e-05
2026-04-19 08:00:00+00:00,-6.92162319678e-05
2026-04-19 12:00:00+00:00,-0.0001291803490202
2026-04-19 16:00:00+00:00,-2.0820681253e-06
2026-04-19 20:00:00+00:00,-4.66201875494e-05
2026-04-20 00:00:00+00:00,5e-05
2026-04-20 04:00:00+00:00,-0.0002198891691884
2026-04-20 08:00:00+00:00,-0.000143258374047
2026-04-20 12:00:00+00:00,-5.91828514851e-05
2026-04-20 16:00:00+00:00,5e-05
2026-04-20 20:00:00+00:00,-4.563406081e-06
2026-04-21 00:00:00+00:00,5e-05
2026-04-21 04:00:00+00:00,5e-05
2026-04-21 08:00:00+00:00,-1.17703319555e-05
2026-04-21 12:00:00+00:00,4.0644337914e-06
2026-04-21 16:00:00+00:00,-0.0001284588927535
2026-04-21 20:00:00+00:00,-0.00012613104399
2026-04-22 00:00:00+00:00,5e-05
2026-04-22 04:00:00+00:00,-4.27201491369e-05
2026-04-22 08:00:00+00:00,5e-05
2026-04-22 12:00:00+00:00,5e-05
2026-04-22 16:00:00+00:00,-7.8750971623e-05
2026-04-22 20:00:00+00:00,5e-05
2026-04-23 00:00:00+00:00,5e-05
2026-04-23 04:00:00+00:00,5e-05
2026-04-23 08:00:00+00:00,-0.000244262978252
2026-04-23 12:00:00+00:00,-0.0002185754671771
2026-04-23 16:00:00+00:00,5e-05
2026-04-23 20:00:00+00:00,-1.4389727673e-05
2026-04-24 00:00:00+00:00,5e-05
2026-04-24 04:00:00+00:00,5e-05
2026-04-24 08:00:00+00:00,5e-05
2026-04-24 12:00:00+00:00,5e-05
2026-04-24 16:00:00+00:00,5e-05
2026-04-24 20:00:00+00:00,5e-05
2026-04-25 00:00:00+00:00,5e-05
2026-04-25 04:00:00+00:00,5.1530390535e-06
2026-04-25 08:00:00+00:00,5e-05
2026-04-25 12:00:00+00:00,5e-05
2026-04-25 16:00:00+00:00,5e-05
2026-04-25 20:00:00+00:00,5e-05
2026-04-26 00:00:00+00:00,5e-05
2026-04-26 04:00:00+00:00,5e-05
2026-04-26 08:00:00+00:00,5e-05
2026-04-26 12:00:00+00:00,-9.1827719448e-06
2026-04-26 16:00:00+00:00,-2.36723159208e-05
2026-04-26 20:00:00+00:00,1.09437570972e-05
2026-04-27 00:00:00+00:00,-2.15287323204e-05
2026-04-27 04:00:00+00:00,5e-05
2026-04-27 08:00:00+00:00,-0.0002949492493742
2026-04-27 12:00:00+00:00,-0.0002418868889287
2026-04-27 16:00:00+00:00,2.81959444974e-05
2026-04-27 20:00:00+00:00,3.39622819852e-05
2026-04-28 00:00:00+00:00,5e-05
2026-04-28 04:00:00+00:00,5e-05
2026-04-28 08:00:00+00:00,-1.52559982702e-05
2026-04-28 12:00:00+00:00,2.22941155554e-05
2026-04-28 16:00:00+00:00,-0.0001488930040621
