ts,open,high,low,close,volume
1690243200000,2.1612,2.271,2.1312,2.2016,7944987.0
1690246800000,2.2033,2.2221,2.088,2.1242,6662780.0
1690250400000,2.1241,2.16,1.8433,1.9374,17318678.0
1690254000000,1.9367,1.9899,1.9,1.9638,7773304.0
1690257600000,1.9638,1.98,1.9201,1.9498,6258721.0
1690261200000,1.9498,2.0999,1.9498,2.0502,12488917.0
1690264800000,2.0503,2.0519,1.9903,2.0359,7371178.0
1690268400000,2.0354,2.0874,1.962,2.0023,7105100.0
1690272000000,2.0029,2.0447,1.9367,2.0108,9033030.0
1690275600000,2.0108,2.0376,1.989,2.0151,5373827.0
1690279200000,2.0151,2.1867,1.9919,2.0875,12390078.0
1690282800000,2.0872,2.162,2.0858,2.1345,8951245.0
1690286400000,2.1345,2.1355,2.0861,2.1201,6382312.0
1690290000000,2.121,2.2677,2.1103,2.243,16923766.0
1690293600000,2.2434,2.46,2.212,2.4,33920195.0
1690297200000,2.4,2.436,2.2382,2.2775,29198388.0
1690300800000,2.2765,2.3566,2.1819,2.2036,23607949.0
1690304400000,2.2035,2.269,2.16,2.1876,12483674.0
1690308000000,2.1883,2.238,2.1702,2.1991,5926408.0
1690311600000,2.199,2.2564,2.1674,2.2076,4566293.0
1690315200000,2.2075,2.2702,2.1851,2.2395,4699870.0
1690318800000,2.2396,2.345,2.2357,2.2574,5915434.0
1690322400000,2.2576,2.3159,2.245,2.2941,3487596.0
1690326000000,2.2941,2.2998,2.2227,2.2571,3312841.0
1690329600000,2.2577,2.3997,2.2275,2.3666,9534447.0
1690333200000,2.3668,2.399,2.3,2.3197,9453169.0
1690336800000,2.3198,2.44,2.2882,2.3968,10525417.0
1690340400000,2.3969,2.5,2.3836,2.4639,16248052.0
1690344000000,2.4645,2.5731,2.42,2.4748,14393420.0
1690347600000,2.4747,2.5306,2.4,2.4992,12821815.0
1690351200000,2.4999,2.516,2.341,2.3836,13754519.0
1690354800000,2.3836,2.42,2.3422,2.3847,9738911.0
1690358400000,2.3847,2.395,2.3111,2.3599,8720571.0
1690362000000,2.3599,2.392,2.3418,2.3566,6738092.0
1690365600000,2.3566,2.45,2.35,2.4227,7309379.0
1690369200000,2.4221,2.4325,2.3,2.3429,10343727.0
1690372800000,2.3431,2.3566,2.3168,2.3244,6235265.0
1690376400000,2.3245,2.3321,2.2191,2.2606,16204797.0
1690380000000,2.2604,2.285,2.2415,2.251,6510717.0
1690383600000,2.251,2.3265,2.251,2.302,5909929.0
1690387200000,2.302,2.3246,2.2423,2.2772,7823631.0
1690390800000,2.2764,2.3123,2.2613,2.2789,5146633.0
1690394400000,2.2798,2.3657,2.2732,2.3376,10119959.0
1690398000000,2.3376,2.3387,2.2914,2.3263,3501615.0
1690401600000,2.3266,2.3875,2.14,2.203,12591948.0
1690405200000,2.2031,2.3534,2.1909,2.2636,7865410.0
1690408800000,2.2635,2.2762,2.2295,2.2622,2821933.0
1690412400000,2.2617,2.2634,2.2259,2.2502,2694689.0
1690416000000,2.2505,2.32,2.226,2.2906,6259253.0
1690419600000,2.2906,2.3022,2.2494,2.2664,3882629.0
1690423200000,2.2662,2.2976,2.244,2.2781,3732112.0
1690426800000,2.2779,2.2883,2.26,2.2637,3405837.0
1690430400000,2.2637,2.2637,2.23,2.2513,4785308.0
1690434000000,2.2513,2.274,2.2222,2.2503,4724349.0
1690437600000,2.25,2.2792,2.2035,2.2243,5192299.0
1690441200000,2.2239,2.2328,2.19,2.2132,7011629.0
1690444800000,2.2133,2.217,2.1507,2.2119,7596631.0
1690448400000,2.2118,2.2491,2.2044,2.2345,5676216.0
1690452000000,2.2345,2.2494,2.2184,2.2409,4409644.0
1690455600000,2.2409,2.2682,2.2333,2.2426,4252903.0
1690459200000,2.2426,2.2455,2.1897,2.2229,7029191.0
1690462800000,2.2239,2.2441,2.2061,2.2177,4751084.0
1690466400000,2.2177,2.2194,2.13,2.1646,10325537.0
1690470000000,2.1645,2.1937,2.1547,2.1865,6714148.0
1690473600000,2.1862,2.1917,2.1409,2.1521,6165318.0
1690477200000,2.1523,2.1681,2.138,2.1535,5173258.0
1690480800000,2.1536,2.1549,2.0633,2.0956,10969667.0
1690484400000,2.0956,2.1205,2.0821,2.1096,3777998.0
1690488000000,2.1095,2.12,2.0875,2.1005,2141680.0
1690491600000,2.1005,2.1145,2.0928,2.1083,1711273.0
1690495200000,2.1081,2.1219,2.0872,2.0903,1964816.0
1690498800000,2.0912,2.11,2.091,2.0968,1969200.0
1690502400000,2.0969,2.0987,2.03,2.0716,6324774.0
1690506000000,2.0719,2.1352,2.068,2.1175,6413994.0
1690509600000,2.1175,2.14,2.0759,2.0922,5703003.0
1690513200000,2.0921,2.1021,2.0795,2.1003,2670145.0
1690516800000,2.1001,2.1666,2.0865,2.1509,7688011.0
1690520400000,2.151,2.1561,2.1151,2.1408,6180887.0
1690524000000,2.1404,2.15,2.1158,2.1189,4028707.0
1690527600000,2.1192,2.1587,2.1127,2.1385,5432425.0
1690531200000,2.1388,2.21,2.1364,2.1845,13475226.0
1690534800000,2.1844,2.208,2.166,2.1926,6550602.0
1690538400000,2.1925,2.2442,2.1736,2.2126,9319185.0
1690542000000,2.2126,2.2276,2.203,2.216,5224689.0
1690545600000,2.2161,2.2254,2.16,2.1777,9859848.0
1690549200000,2.1776,2.1812,2.1416,2.1513,6610306.0
1690552800000,2.1513,2.1857,2.1482,2.1694,5635977.0
1690556400000,2.1695,2.1973,2.163,2.1716,5625013.0
1690560000000,2.1716,2.1991,2.148,2.1825,8383986.0
1690563600000,2.1824,2.1925,2.1566,2.1624,4308211.0
1690567200000,2.1624,2.1739,2.1535,2.1605,2477720.0
1690570800000,2.1604,2.18,2.1602,2.1727,1658264.0
1690574400000,2.1728,2.2113,2.1714,2.207,3811488.0
1690578000000,2.2072,2.2089,2.1818,2.186,1842268.0
1690581600000,2.1857,2.2366,2.1828,2.2199,4321649.0
1690585200000,2.2202,2.2323,2.2088,2.2165,2779327.0
1690588800000,2.2165,2.2389,2.193,2.2096,7721690.0
1690592400000,2.2097,2.2135,2.1722,2.1863,5250170.0
1690596000000,2.1864,2.35,2.1864,2.2886,21267964.0
1690599600000,2.2886,2.3025,2.2652,2.2889,6250075.0
1690603200000,2.289,2.34,2.271,2.276,9842559.0
1690606800000,2.2756,2.2866,2.26,2.2748,4484512.0
1690610400000,2.2747,2.2834,2.2413,2.2571,7397035.0
1690614000000,2.2572,2.2742,2.2484,2.2631,5119542.0
1690617600000,2.2634,2.273,2.2601,2.2682,3055503.0
1690621200000,2.2684,2.2684,2.2497,2.2663,3382979.0
1690624800000,2.2664,2.3,2.2583,2.2813,5092651.0
1690628400000,2.2812,2.32,2.2723,2.278,9052111.0
1690632000000,2.2783,2.2974,2.27,2.2804,5878434.0
1690635600000,2.2806,2.3096,2.2748,2.2977,4195388.0
1690639200000,2.2976,2.325,2.2902,2.3167,8296580.0
1690642800000,2.3168,2.33,2.27,2.2916,9381683.0
1690646400000,2.2916,2.3107,2.2768,2.3055,6271547.0
1690650000000,2.3057,2.377,2.299,2.3579,11655135.0
1690653600000,2.358,2.3789,2.3477,2.3639,6479418.0
1690657200000,2.3639,2.3707,2.3489,2.3611,3256955.0
1690660800000,2.3613,2.365,2.3477,2.36,2276490.0
1690664400000,2.3601,2.3649,2.33,2.3428,3263266.0
1690668000000,2.3429,2.3587,2.3429,2.3494,1507795.0
1690671600000,2.3494,2.3614,2.3381,2.3464,1747023.0
1690675200000,2.3467,2.4951,2.3381,2.4157,17356072.0
1690678800000,2.4155,2.4413,2.3981,2.4304,7841002.0
1690682400000,2.4304,2.4777,2.4201,2.4278,10212500.0
1690686000000,2.428,2.4285,2.395,2.4174,6645599.0
1690689600000,2.4171,2.4173,2.389,2.4154,3970551.0
1690693200000,2.4153,2.4384,2.4058,2.4283,4732027.0
1690696800000,2.4285,2.4496,2.3838,2.3926,9041636.0
1690700400000,2.3925,2.4087,2.3684,2.3966,6118081.0
1690704000000,2.3964,2.4014,2.3778,2.3911,6105026.0
1690707600000,2.3915,2.4215,2.3818,2.4057,4962776.0
1690711200000,2.4061,2.43,2.3668,2.3741,8816236.0
1690714800000,2.3741,2.3866,2.3346,2.3667,7714251.0
1690718400000,2.3666,2.3731,2.3516,2.3659,3666357.0
1690722000000,2.366,2.3736,2.306,2.3222,9477406.0
1690725600000,2.3224,2.336,2.2836,2.3216,10053772.0
