ts,open,high,low,close,volume
2026-01-01 00:00:00+00:00,0.1613,0.1642,0.16,0.1628,24403250.0
2026-01-01 01:00:00+00:00,0.1628,0.1716,0.1625,0.1684,52470990.0
2026-01-01 02:00:00+00:00,0.1684,0.1687,0.1658,0.1665,24286780.0
2026-01-01 03:00:00+00:00,0.1665,0.1666,0.1596,0.1623,42276200.0
2026-01-01 04:00:00+00:00,0.1623,0.1625,0.16,0.1614,15445730.0
2026-01-01 05:00:00+00:00,0.1614,0.1636,0.1614,0.1631,8814410.0
2026-01-01 06:00:00+00:00,0.1631,0.165,0.1615,0.1627,15294150.0
2026-01-01 07:00:00+00:00,0.1626,0.1644,0.1624,0.1636,7314540.0
2026-01-01 08:00:00+00:00,0.1636,0.1671,0.1634,0.1666,13103010.0
2026-01-01 09:00:00+00:00,0.1667,0.1687,0.1659,0.1664,15386460.0
2026-01-01 10:00:00+00:00,0.1663,0.1667,0.1648,0.1655,11045260.0
2026-01-01 11:00:00+00:00,0.1654,0.1707,0.1654,0.17,12851340.0
2026-01-01 12:00:00+00:00,0.17,0.1742,0.1696,0.1697,34045900.0
2026-01-01 13:00:00+00:00,0.1696,0.1732,0.1684,0.1717,19657460.0
2026-01-01 14:00:00+00:00,0.1717,0.174,0.1691,0.1694,19034400.0
2026-01-01 15:00:00+00:00,0.1694,0.1739,0.1692,0.1721,20201100.0
2026-01-01 16:00:00+00:00,0.1721,0.1729,0.1702,0.1719,16919560.0
2026-01-01 17:00:00+00:00,0.1719,0.1731,0.1712,0.1719,7273620.0
2026-01-01 18:00:00+00:00,0.1718,0.1729,0.1707,0.1724,8039490.0
2026-01-01 19:00:00+00:00,0.1723,0.177,0.1717,0.1725,23609350.0
2026-01-01 20:00:00+00:00,0.1724,0.1737,0.1704,0.171,7339490.0
2026-01-01 21:00:00+00:00,0.1711,0.1739,0.1704,0.1732,7784430.0
2026-01-01 22:00:00+00:00,0.1733,0.1736,0.1705,0.171,5785880.0
2026-01-01 23:00:00+00:00,0.1711,0.1717,0.1674,0.1709,25318320.0
2026-01-02 00:00:00+00:00,0.171,0.171,0.169,0.17,8511790.0
2026-01-02 01:00:00+00:00,0.17,0.1702,0.1686,0.1693,5666790.0
2026-01-02 02:00:00+00:00,0.1693,0.1704,0.1683,0.1696,7938790.0
2026-01-02 03:00:00+00:00,0.1696,0.1719,0.169,0.1714,15839380.0
2026-01-02 04:00:00+00:00,0.1713,0.1746,0.1707,0.1743,12799420.0
2026-01-02 05:00:00+00:00,0.1743,0.1757,0.1713,0.1736,15010170.0
2026-01-02 06:00:00+00:00,0.1736,0.1834,0.1723,0.1798,65070670.0
2026-01-02 07:00:00+00:00,0.1797,0.1857,0.1782,0.1809,51256140.0
