,funding
2026-04-08 08:00:00+00:00,5e-05
2026-04-08 12:00:00+00:00,-6.71362215792e-05
2026-04-08 16:00:00+00:00,-1.5638218728e-05
2026-04-08 20:00:00+00:00,5e-05
2026-04-09 00:00:00+00:00,5e-05
2026-04-09 04:00:00+00:00,5e-05
2026-04-09 08:00:00+00:00,5e-05
2026-04-09 12:00:00+00:00,-1.9245614615e-05
2026-04-09 16:00:00+00:00,5e-05
2026-04-09 20:00:00+00:00,2.08811369854e-05
2026-04-10 00:00:00+00:00,5e-05
2026-04-10 04:00:00+00:00,5e-05
2026-04-10 08:00:00+00:00,5e-05
2026-04-10 12:00:00+00:00,5e-05
2026-04-10 16:00:00+00:00,5e-05
2026-04-10 20:00:00+00:00,5e-05
2026-04-11 00:00:00+00:00,-8.08430753469e-05
2026-04-11 04:00:00+00:00,5e-05
2026-04-11 08:00:00+00:00,8.0955732364e-06
2026-04-11 12:00:00+00:00,1.25189223358e-05
2026-04-11 16:00:00+00:00,-2.83631653323e-05
2026-04-11 20:00:00+00:00,-0.0002100883703991
2026-04-12 00:00:00+00:00,-0.0001175244152102
2026-04-12 04:00:00+00:00,5e-05
2026-04-12 08:00:00+00:00,5e-05
2026-04-12 12:00:00+00:00,2.59482280504e-05
2026-04-12 16:00:00+00:00,5e-05
2026-04-12 20:00:00+00:00,5e-05
2026-04-13 00:00:00+00:00,5e-05
2026-04-13 04:00:00+00:00,2.82194636713e-05
2026-04-13 08:00:00+00:00,-2.38117139825e-05
2026-04-13 12:00:00+00:00,5e-05
2026-04-13 16:00:00+00:00,1.87251189338e-05
2026-04-13 20:00:00+00:00,5e-05
2026-04-14 00:00:00+00:00,5e-05
2026-04-14 04:00:00+00:00,5e-05
2026-04-14 08:00:00+00:00,5e-05
2026-04-14 12:00:00+00:00,1.6508384403e-06
2026-04-14 16:00:00+00:00,5e-05
2026-04-14 20:00:00+00:00,5e-05
2026-04-15 00:00:00+00:00,5e-05
2026-04-15 04:00:00+00:00,-0.0001287864576892
2026-04-15 08:00:00+00:00,5e-05
2026-04-15 12:00:00+00:00,5e-05
2026-04-15 16:00:00+00:00,5e-05
2026-04-15 20:00:00+00:00,5e-05
2026-04-16 00:00:00+00:00,-7.60880868698e-05
2026-04-16 04:00:00+00:00,-9.18100901809e-05
2026-04-16 08:00:00+00:00,-9.91972700564e-05
2026-04-16 12:00:00+00:00,5e-05
2026-04-16 16:00:00+00:00,5e-05
2026-04-16 20:00:00+00:00,5e-05
2026-04-17 00:00:00+00:00,5e-05
2026-04-17 04:00:00+00:00,5e-05
2026-04-17 08:00:00+00:00,5e-05
2026-04-17 12:00:00+00:00,-9.47500680748e-05
2026-04-17 16:00:00+00:00,1.4609603107e-06
2026-04-17 20:00:00+00:00,5e-05
2026-04-18 00:00:00+00:00,-6.42204582278e-05
2026-04-18 04:00:00+00:00,-0.0002244528348482
2026-04-18 08:00:00+00:00,5e-05
2026-04-18 12:00:00+00:00,5e-05
2026-04-18 16:00:00+00:00,-8.91124818463e-05
2026-04-18 20:00:00+00:00,5e-05
2026-04-19 00:00:00+00:00,5e-05
2026-04-19 04:00:00+00:00,4.18645183945e-05
2026-04-19 08:00:00+00:00,1.50926336e-08
2026-04-19 12:00:00+00:00,5e-05
2026-04-19 16:00:00+00:00,-0.0001501263756975
2026-04-19 20:00:00+00:00,5e-05
2026-04-20 00:00:00+00:00,5e-05
2026-04-20 04:00:00+00:00,5e-05
2026-04-20 08:00:00+00:00,5e-05
2026-04-20 12:00:00+00:00,-0.0001275520010656
2026-04-20 16:00:00+00:00,5e-05
2026-04-20 20:00:00+00:00,4.68444157353e-05
2026-04-21 00:00:00+00:00,5e-05
2026-04-21 04:00:00+00:00,-6.17093135594e-05
2026-04-21 08:00:00+00:00,-5.6223528822e-06
2026-04-21 12:00:00+00:00,-0.0001160644163529
2026-04-21 16:00:00+00:00,5e-05
2026-04-21 20:00:00+00:00,5e-05
2026-04-22 00:00:00+00:00,5e-05
2026-04-22 04:00:00+00:00,1.276449309e-05
2026-04-22 08:00:00+00:00,-4.15473357519e-05
2026-04-22 12:00:00+00:00,-0.0001193231830173
2026-04-22 16:00:00+00:00,-4.07572837341e-05
2026-04-22 20:00:00+00:00,1.92305054571e-05
2026-04-23 00:00:00+00:00,-8.84249985496e-05
2026-04-23 04:00:00+00:00,5e-05
2026-04-23 08:00:00+00:00,5e-05
2026-04-23 12:00:00+00:00,5e-05
2026-04-23 16:00:00+00:00,-1.15540850036e-05
2026-04-23 20:00:00+00:00,5e-05
2026-04-24 00:00:00+00:00,5e-05
2026-04-24 04:00:00+00:00,5e-05
2026-04-24 08:00:00+00:00,5e-05
2026-04-24 12:00:00+00:00,2.47276838558e-05
2026-04-24 16:00:00+00:00,5e-05
2026-04-24 20:00:00+00:00,1.94476957905e-05
2026-04-25 00:00:00+00:00,5e-05
2026-04-25 04:00:00+00:00,5e-05
2026-04-25 08:00:00+00:00,-7.95350647857e-05
2026-04-25 12:00:00+00:00,5e-05
2026-04-25 16:00:00+00:00,5e-05
2026-04-25 20:00:00+00:00,5e-05
2026-04-26 00:00:00+00:00,5e-05
2026-04-26 04:00:00+00:00,5e-05
2026-04-26 08:00:00+00:00,5e-05
2026-04-26 12:00:00+00:00,5e-05
2026-04-26 16:00:00+00:00,5e-05
2026-04-26 20:00:00+00:00,-3.2605916097e-06
2026-04-27 00:00:00+00:00,3.2022016231e-06
2026-04-27 04:00:00+00:00,5e-05
2026-04-27 08:00:00+00:00,5e-05
2026-04-27 12:00:00+00:00,4.53484754363e-05
2026-04-27 16:00:00+00:00,5e-05
2026-04-27 20:00:00+00:00,5e-05
2026-04-28 00:00:00+00:00,5e-05
2026-04-28 04:00:00+00:00,5e-05
2026-04-28 08:00:00+00:00,3.72536637258e-05
2026-04-28 12:00:00+00:00,5e-05
2026-04-28 16:00:00+00:00,5e-05
2026-04-28 20:00:00+00:00,4.69247172818e-05
2026-04-29 00:00:00+00:00,2.10362738485e-05
2026-04-29 04:00:00+00:00,-1.6149536829e-06
2026-04-29 08:00:00+00:00,9.1658987687e-06
2026-04-29 12:00:00+00:00,-0.0002924919182423
2026-04-29 16:00:00+00:00,-0.0002290860228883
2026-04-29 20:00:00+00:00,2.41008618946e-05
2026-04-30 00:00:00+00:00,1.85199941326e-05
2026-04-30 04:00:00+00:00,5e-05
2026-04-30 08:00:00+00:00,5e-05
2026-04-30 12:00:00+00:00,5e-05
2026-04-30 16:00:00+00:00,5e-05
2026-04-30 20:00:00+00:00,5e-05
2026-05-01 00:00:00+00:00,5e-05
2026-05-01 04:00:00+00:00,5e-05
2026-05-01 08:00:00+00:00,5e-05
2026-05-01 12:00:00+00:00,5e-05
2026-05-01 16:00:00+00:00,9.7828745812e-06
2026-05-01 20:00:00+00:00,5e-05
2026-05-02 00:00:00+00:00,5e-05
2026-05-02 04:00:00+00:00,-8.35304623864e-05
2026-05-02 08:00:00+00:00,-2.5470924707e-06
2026-05-02 12:00:00+00:00,1.58239984898e-05
2026-05-02 16:00:00+00:00,5e-05
2026-05-02 20:00:00+00:00,5e-05
2026-05-03 00:00:00+00:00,5e-05
2026-05-03 04:00:00+00:00,5e-05
2026-05-03 08:00:00+00:00,3.39910566646e-05
2026-05-03 12:00:00+00:00,-6.0909992287e-06
2026-05-03 16:00:00+00:00,5e-05
2026-05-03 20:00:00+00:00,3.7336339106e-06
2026-05-04 00:00:00+00:00,5e-05
2026-05-04 04:00:00+00:00,5e-05
2026-05-04 08:00:00+00:00,-8.82069771734e-05
2026-05-04 12:00:00+00:00,-0.0001359876289485
2026-05-04 16:00:00+00:00,-0.0001030393515533
2026-05-04 20:00:00+00:00,5e-05
2026-05-05 00:00:00+00:00,5e-05
2026-05-05 04:00:00+00:00,2.69467881557e-05
2026-05-05 08:00:00+00:00,3.41218593651e-05
2026-05-05 12:00:00+00:00,5e-05
2026-05-05 16:00:00+00:00,-5.4954022819e-06
2026-05-05 20:00:00+00:00,5e-05
2026-05-06 00:00:00+00:00,5e-05
2026-05-06 04:00:00+00:00,-6.88555723888e-05
2026-05-06 08:00:00+00:00,-1.98940561253e-05
2026-05-06 12:00:00+00:00,-0.0002627432101454
2026-05-06 16:00:00+00:00,5e-05
2026-05-06 20:00:00+00:00,5e-05
2026-05-07 00:00:00+00:00,5e-05
2026-05-07 04:00:00+00:00,-9.94818096981e-05
2026-05-07 08:00:00+00:00,5e-05
2026-05-07 12:00:00+00:00,5e-05
2026-05-07 16:00:00+00:00,5e-05
2026-05-07 20:00:00+00:00,5e-05
2026-05-08 00:00:00+00:00,5e-05
2026-05-08 04:00:00+00:00,5e-05
2026-05-08 08:00:00+00:00,5e-05
2026-05-08 12:00:00+00:00,5e-05
2026-05-08 16:00:00+00:00,-1.90326063752e-05
2026-05-08 20:00:00+00:00,5e-05
2026-05-09 00:00:00+00:00,5e-05
2026-05-09 04:00:00+00:00,5e-05
2026-05-09 08:00:00+00:00,5e-05
2026-05-09 12:00:00+00:00,5e-05
2026-05-09 16:00:00+00:00,3.19768267544e-05
2026-05-09 20:00:00+00:00,-6.33277712385e-05
2026-05-10 00:00:00+00:00,5e-05
2026-05-10 04:00:00+00:00,5e-05
2026-05-10 08:00:00+00:00,5e-05
2026-05-10 12:00:00+00:00,5e-05
2026-05-10 16:00:00+00:00,5e-05
2026-05-10 20:00:00+00:00,5e-05
2026-05-11 00:00:00+00:00,5e-05
2026-05-11 04:00:00+00:00,4.62177531599e-05
2026-05-11 08:00:00+00:00,-0.0001560434525344
2026-05-11 12:00:00+00:00,5e-05
2026-05-11 16:00:00+00:00,5e-05
2026-05-11 20:00:00+00:00,5e-05
2026-05-12 00:00:00+00:00,5e-05
2026-05-12 04:00:00+00:00,-0.000143172453263
2026-05-12 08:00:00+00:00,-1.92220553779e-05
2026-05-12 12:00:00+00:00,5e-05
2026-05-12 16:00:00+00:00,-4.16195735493e-05
