,funding
2026-04-07 08:00:00+00:00,-0.0002323790399751
2026-04-07 12:00:00+00:00,-0.0003381833364003
2026-04-07 16:00:00+00:00,-0.0001898490153342
2026-04-07 20:00:00+00:00,-0.0002260138281921
2026-04-08 00:00:00+00:00,-0.0011503731660161
2026-04-08 04:00:00+00:00,-0.0006675930301425
2026-04-08 08:00:00+00:00,-0.0006752340380275
2026-04-08 12:00:00+00:00,-0.0009428543711967
2026-04-08 16:00:00+00:00,-0.0004812892973159
2026-04-08 20:00:00+00:00,-0.000313771586645
2026-04-09 00:00:00+00:00,-0.0001483400417284
2026-04-09 04:00:00+00:00,-0.0001023939434614
2026-04-09 08:00:00+00:00,-0.0001157610879654
2026-04-09 12:00:00+00:00,5e-05
2026-04-09 16:00:00+00:00,-2.1892472623e-06
2026-04-09 20:00:00+00:00,-2.15163225698e-05
2026-04-10 00:00:00+00:00,-0.0003618623678659
2026-04-10 04:00:00+00:00,-0.0002711042156801
2026-04-10 08:00:00+00:00,-0.0004469942659485
2026-04-10 12:00:00+00:00,-0.0007728316192555
2026-04-10 16:00:00+00:00,-0.000662069372867
2026-04-10 20:00:00+00:00,-0.000124322483216
2026-04-11 00:00:00+00:00,2.91627120499e-05
2026-04-11 04:00:00+00:00,-2.88634963503e-05
2026-04-11 08:00:00+00:00,-8.01659733011e-05
2026-04-11 12:00:00+00:00,-0.0001985255977092
2026-04-11 16:00:00+00:00,5e-05
2026-04-11 20:00:00+00:00,-4.58929533774e-05
2026-04-12 00:00:00+00:00,-7.42181505091e-05
2026-04-12 04:00:00+00:00,5e-05
2026-04-12 08:00:00+00:00,5e-05
2026-04-12 12:00:00+00:00,5e-05
2026-04-12 16:00:00+00:00,5e-05
2026-04-12 20:00:00+00:00,5e-05
2026-04-13 00:00:00+00:00,5e-05
2026-04-13 04:00:00+00:00,5e-05
2026-04-13 08:00:00+00:00,5e-05
2026-04-13 12:00:00+00:00,5e-05
2026-04-13 16:00:00+00:00,5e-05
2026-04-13 20:00:00+00:00,5e-05
2026-04-14 00:00:00+00:00,5e-05
2026-04-14 04:00:00+00:00,5e-05
2026-04-14 08:00:00+00:00,5e-05
2026-04-14 12:00:00+00:00,5e-05
2026-04-14 16:00:00+00:00,5e-05
2026-04-15 00:00:00+00:00,0.0001
2026-04-15 08:00:00+00:00,0.0001
2026-04-15 16:00:00+00:00,0.0001
2026-04-16 00:00:00+00:00,0.0001
2026-04-16 08:00:00+00:00,0.0001
2026-04-16 16:00:00+00:00,0.0001
2026-04-17 00:00:00+00:00,0.0001
2026-04-17 08:00:00+00:00,0.0001
2026-04-17 16:00:00+00:00,0.0001
2026-04-18 00:00:00+00:00,0.0001
2026-04-18 08:00:00+00:00,0.0001
2026-04-18 16:00:00+00:00,0.0001
2026-04-19 00:00:00+00:00,0.0001
2026-04-19 08:00:00+00:00,0.0001
2026-04-19 16:00:00+00:00,7.93875650661e-05
2026-04-20 00:00:00+00:00,0.0001
2026-04-20 08:00:00+00:00,0.0001
2026-04-20 16:00:00+00:00,0.0001
2026-04-21 00:00:00+00:00,0.0001
2026-04-21 08:00:00+00:00,0.0001
2026-04-21 16:00:00+00:00,-4.3234328083e-06
2026-04-22 00:00:00+00:00,0.0001
2026-04-22 08:00:00+00:00,-9.6259899011e-06
2026-04-22 16:00:00+00:00,-5.94283257813e-05
2026-04-23 00:00:00+00:00,-3.88493319923e-05
2026-04-23 08:00:00+00:00,-2.142128394e-07
2026-04-23 16:00:00+00:00,2.17786520002e-05
2026-04-24 00:00:00+00:00,8.55158529415e-05
2026-04-24 08:00:00+00:00,7.93375926725e-05
2026-04-24 16:00:00+00:00,0.0001
2026-04-25 00:00:00+00:00,0.0001
2026-04-25 08:00:00+00:00,0.0001
2026-04-25 16:00:00+00:00,2.78547682408e-05
2026-04-26 00:00:00+00:00,0.0001
2026-04-26 08:00:00+00:00,1.22480721144e-05
2026-04-26 16:00:00+00:00,4.01495509089e-05
2026-04-27 00:00:00+00:00,2.04659839538e-05
2026-04-27 08:00:00+00:00,7.9066298994e-06
2026-04-27 16:00:00+00:00,1.49650435602e-05
2026-04-28 00:00:00+00:00,9.31596726247e-05
2026-04-28 08:00:00+00:00,0.0001
2026-04-28 16:00:00+00:00,9.32797781669e-05
2026-04-29 00:00:00+00:00,-2.9032579925e-06
2026-04-29 08:00:00+00:00,-7.69286109108e-05
2026-04-29 16:00:00+00:00,2.54009127716e-05
2026-04-30 00:00:00+00:00,0.0001
2026-04-30 08:00:00+00:00,-0.0001327290405838
2026-04-30 16:00:00+00:00,-5.773205589e-05
2026-05-01 00:00:00+00:00,0.0001
2026-05-01 08:00:00+00:00,4.86775600552e-05
2026-05-01 16:00:00+00:00,-0.0001918624431865
2026-05-02 00:00:00+00:00,0.0001
2026-05-02 08:00:00+00:00,-1.71747929846e-05
2026-05-02 16:00:00+00:00,1.19964803878e-05
2026-05-03 00:00:00+00:00,-0.0001800545282137
2026-05-03 08:00:00+00:00,-4.01682416364e-05
2026-05-03 16:00:00+00:00,-0.000230408476638
2026-05-04 00:00:00+00:00,-0.0003092948257822
2026-05-04 08:00:00+00:00,-7.00546585736e-05
2026-05-04 16:00:00+00:00,-1.41730398747e-05
2026-05-05 00:00:00+00:00,4.16505625082e-05
2026-05-05 08:00:00+00:00,-9.55645464616e-05
2026-05-05 16:00:00+00:00,-9.74871534174e-05
2026-05-06 00:00:00+00:00,0.0001
2026-05-06 08:00:00+00:00,-7.3309914314e-06
2026-05-06 16:00:00+00:00,7.65988103832e-05
2026-05-07 00:00:00+00:00,0.0001
2026-05-07 08:00:00+00:00,0.0001
2026-05-07 16:00:00+00:00,9.9513317531e-05
2026-05-08 00:00:00+00:00,0.0001
2026-05-08 08:00:00+00:00,0.0001
2026-05-08 16:00:00+00:00,2.96564028167e-05
2026-05-09 00:00:00+00:00,0.0001
2026-05-09 08:00:00+00:00,7.61905113529e-05
2026-05-09 16:00:00+00:00,8.01385270214e-05
2026-05-10 00:00:00+00:00,-1.53299688432e-05
2026-05-10 08:00:00+00:00,1.34088413186e-05
2026-05-10 16:00:00+00:00,4.83646869596e-05
2026-05-11 00:00:00+00:00,0.0001
2026-05-11 08:00:00+00:00,0.0001
2026-05-11 16:00:00+00:00,0.0001
2026-05-12 00:00:00+00:00,0.0001
2026-05-12 08:00:00+00:00,-1.13662757695e-05
2026-05-12 16:00:00+00:00,6.35841322075e-05
2026-05-13 00:00:00+00:00,-1.5443808137e-06
2026-05-13 08:00:00+00:00,0.0001
2026-05-13 16:00:00+00:00,6.6529602802e-05
2026-05-14 00:00:00+00:00,0.0001
2026-05-14 08:00:00+00:00,-1.97841995951e-05
2026-05-14 16:00:00+00:00,-9.94168509157e-05
2026-05-15 00:00:00+00:00,2.34555720208e-05
2026-05-15 08:00:00+00:00,-3.84422349239e-05
2026-05-15 16:00:00+00:00,7.25207498772e-05
2026-05-16 00:00:00+00:00,4.09785641356e-05
2026-05-16 08:00:00+00:00,0.0001
2026-05-16 16:00:00+00:00,-1.81847543995e-05
2026-05-17 00:00:00+00:00,5.6234351913e-06
2026-05-17 08:00:00+00:00,-0.0001089189845536
2026-05-17 16:00:00+00:00,-1.53005497772e-05
2026-05-18 00:00:00+00:00,-6.55125678798e-05
2026-05-18 08:00:00+00:00,2.73450632616e-05
2026-05-18 16:00:00+00:00,7.5592724873e-06
2026-05-19 00:00:00+00:00,-1.96623995919e-05
2026-05-19 08:00:00+00:00,0.0001
2026-05-19 16:00:00+00:00,-7.93514857669e-05
2026-05-20 00:00:00+00:00,-0.0001513799209667
2026-05-20 08:00:00+00:00,-0.0001102657983576
2026-05-20 16:00:00+00:00,-0.000233603347695
2026-05-21 00:00:00+00:00,-0.0002744743935556
2026-05-21 08:00:00+00:00,3.92076698939e-05
2026-05-21 16:00:00+00:00,-3.26519732938e-05
2026-05-22 00:00:00+00:00,-0.0002712474270052
2026-05-22 08:00:00+00:00,-0.0001280850332875
2026-05-22 16:00:00+00:00,0.0001
2026-05-23 00:00:00+00:00,0.0001
2026-05-23 08:00:00+00:00,0.0001
2026-05-23 16:00:00+00:00,0.0001
2026-05-24 00:00:00+00:00,-1.16712288105e-05
2026-05-24 08:00:00+00:00,-0.0001249299241202
2026-05-24 16:00:00+00:00,-0.0001611374172504
2026-05-25 00:00:00+00:00,3.90064910751e-05
2026-05-25 08:00:00+00:00,-5.74983060864e-05
2026-05-25 16:00:00+00:00,-1.60818740619e-05
2026-05-26 00:00:00+00:00,-1.45842294894e-05
2026-05-26 08:00:00+00:00,0.0001
2026-05-26 16:00:00+00:00,0.0001
2026-05-27 00:00:00+00:00,0.0001
2026-05-27 08:00:00+00:00,0.0001
2026-05-27 16:00:00+00:00,0.0001
2026-05-28 00:00:00+00:00,0.0001
2026-05-28 08:00:00+00:00,0.0001
2026-05-28 16:00:00+00:00,0.0001
2026-05-29 00:00:00+00:00,-3.7853566855e-06
2026-05-29 08:00:00+00:00,0.0001
2026-05-29 16:00:00+00:00,0.0001
2026-05-30 00:00:00+00:00,6.48794972522e-05
2026-05-30 08:00:00+00:00,0.0001
2026-05-30 16:00:00+00:00,0.0001
2026-05-31 00:00:00+00:00,1.02284571338e-05
2026-05-31 08:00:00+00:00,-0.0002531724622179
2026-05-31 16:00:00+00:00,-0.0001507507329207
2026-06-01 00:00:00+00:00,-7.42196230271e-05
2026-06-01 08:00:00+00:00,-9.9266833588e-05
2026-06-01 16:00:00+00:00,0.0001
2026-06-02 00:00:00+00:00,0.0001
2026-06-02 08:00:00+00:00,0.0001
2026-06-02 16:00:00+00:00,0.0001
2026-06-03 00:00:00+00:00,8.97027105935e-05
2026-06-03 08:00:00+00:00,-4.69267426503e-05
2026-06-03 16:00:00+00:00,0.0001
2026-06-04 00:00:00+00:00,-0.0003536283506752
2026-06-04 08:00:00+00:00,0.0001
2026-06-04 16:00:00+00:00,-0.0002006138481806
2026-06-05 00:00:00+00:00,0.0001
2026-06-05 08:00:00+00:00,0.0001
2026-06-05 16:00:00+00:00,2.9684160894e-06
2026-06-06 00:00:00+00:00,-0.0009365318688096
2026-06-06 08:00:00+00:00,-0.0004861167885358
2026-06-06 16:00:00+00:00,-0.0003000033992208
2026-06-07 00:00:00+00:00,-0.0001472121065485
2026-06-07 08:00:00+00:00,-0.0002105826149136
2026-06-07 16:00:00+00:00,-0.0005768083131288
2026-06-08 00:00:00+00:00,-0.0008207772870117
2026-06-08 08:00:00+00:00,-0.0009019443807145
2026-06-08 16:00:00+00:00,-0.0008381654145564
2026-06-09 00:00:00+00:00,-0.0008895590058372
2026-06-09 08:00:00+00:00,-0.0009561214870254
2026-06-09 16:00:00+00:00,-0.0010463418103245
2026-06-10 00:00:00+00:00,-0.0005166468979219
2026-06-10 08:00:00+00:00,-0.000628819324087
2026-06-10 16:00:00+00:00,-0.0006006269988506
2026-06-11 00:00:00+00:00,-0.0003868567567298
2026-06-11 08:00:00+00:00,-0.0005837081233676
2026-06-11 16:00:00+00:00,-0.0003636052299689
2026-06-12 00:00:00+00:00,-0.0002189985690984
2026-06-12 08:00:00+00:00,-0.000242034425318
2026-06-12 16:00:00+00:00,-3.48000029771e-05
2026-06-13 00:00:00+00:00,-0.0003767836860426
2026-06-13 08:00:00+00:00,-0.0002232852703545
2026-06-13 16:00:00+00:00,-0.0001933295759159
2026-06-14 00:00:00+00:00,-0.0001952767273391
2026-06-14 08:00:00+00:00,-0.00011479707694
2026-06-14 16:00:00+00:00,-0.0002263153436424
2026-06-15 00:00:00+00:00,1.90480685421e-05
2026-06-15 08:00:00+00:00,9.603207384e-06
2026-06-15 16:00:00+00:00,2.50698259327e-05
2026-06-16 00:00:00+00:00,0.0001
2026-06-16 08:00:00+00:00,-5.69081119228e-05
2026-06-16 16:00:00+00:00,0.0001
2026-06-17 00:00:00+00:00,8.63808614121e-05
2026-06-17 08:00:00+00:00,1.20093579604e-05
2026-06-17 16:00:00+00:00,-4.64497332893e-05
2026-06-18 00:00:00+00:00,-9.21893379444e-05
2026-06-18 08:00:00+00:00,-2.97658531217e-05
2026-06-18 16:00:00+00:00,-7.00729271987e-05
2026-06-19 00:00:00+00:00,-0.0001561600269935
2026-06-19 08:00:00+00:00,-0.0001211417572206
2026-06-19 16:00:00+00:00,-0.0001978362524587
2026-06-20 00:00:00+00:00,-6.61072199258e-05
2026-06-20 08:00:00+00:00,-7.88415566217e-05
2026-06-20 16:00:00+00:00,-8.07211903539e-05
2026-06-21 00:00:00+00:00,-0.0001505367232592
2026-06-21 08:00:00+00:00,-0.0001469877063863
2026-06-21 16:00:00+00:00,-6.28398335223e-05
2026-06-22 00:00:00+00:00,-0.0001841407598398
